REGIAO:;N
UF:;AM
ESTACAO:;MANAUS
CODIGO (WMO):;A101
LATITUDE:;-3,10333333
LONGITUDE:;-60,01638888
ALTITUDE:;61,25
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2002-01-01,0.14,1002.52,1003.09,1002.40,28.38,23.53,28.76,27.71,24.03,23.11,79.70,74.06,76.08,125.02,3.67,1.43
2002-01-02,0.12,1002.98,1003.34,1002.70,26.97,23.59,27.48,26.67,23.87,23.29,83.69,79.88,82.39,125.21,3.40,1.30
2002-01-03,1.35,1003.80,1004.20,1003.53,27.15,23.47,27.81,26.65,23.88,23.13,83.88,78.29,81.30,207.25,3.74,1.18
2002-01-04,1.26,1003.70,1004.13,1003.39,27.55,23.57,28.21,26.97,24.06,23.05,82.56,76.97,80.00,147.02,3.65,1.31
2002-01-05,0.43,1003.65,1004.01,1003.33,26.38,23.59,27.08,25.86,24.01,23.19,87.69,82.05,85.52,179.42,3.42,1.09
2002-01-06,0.13,1003.47,1003.84,1003.13,28.21,23.49,28.72,27.66,23.97,23.06,79.51,74.26,76.70,110.23,3.98,1.48
2002-01-07,2.38,1003.61,1003.98,1003.23,26.64,23.43,27.41,26.13,23.94,23.03,85.69,79.88,83.22,115.25,4.78,1.64
2002-01-08,0.71,1003.50,1003.96,1003.31,27.12,22.99,27.55,26.61,23.35,22.62,81.56,77.06,79.04,119.64,3.96,1.59
2002-01-09,0.54,1003.20,1003.53,1002.90,27.95,22.76,28.61,27.46,23.35,22.32,77.25,71.58,74.72,136.92,4.44,1.49
2002-01-10,2.06,1003.82,1004.20,1003.40,26.63,23.12,27.23,26.18,23.58,22.73,84.25,79.77,82.30,147.27,3.76,1.24
2002-01-11,0.19,1003.51,1003.84,1003.14,27.34,23.14,28.05,26.73,23.62,22.70,81.46,75.54,78.71,164.60,3.91,1.39
2002-01-12,1.22,1004.19,1004.58,1003.93,26.34,22.34,26.87,25.85,22.86,21.86,81.92,76.60,79.80,163.54,4.32,1.73
2002-01-13,0.06,1003.30,1003.70,1003.03,27.85,23.46,28.33,27.41,23.87,23.03,80.20,75.36,78.03,120.60,4.49,1.86
2002-01-14,0.12,1003.55,1004.02,1003.30,26.84,23.34,27.48,26.51,23.75,22.95,83.40,78.63,81.70,129.73,3.40,1.27
2002-01-15,1.24,1003.28,1003.69,1003.01,26.56,23.29,27.47,25.90,23.95,22.72,85.59,79.64,83.10,175.46,3.73,1.15
2002-01-16,0.15,1002.94,1003.31,1002.68,27.32,23.18,27.91,26.71,23.69,22.73,82.01,75.85,79.00,155.98,3.65,1.35
2002-01-17,0.19,1002.87,1003.20,1002.59,27.78,23.22,28.39,27.11,23.78,22.80,80.88,74.37,77.30,134.29,3.98,1.50
2002-01-18,0.34,1002.77,1003.15,1002.48,27.49,23.17,28.23,26.84,23.84,22.61,81.34,74.12,77.85,157.42,3.51,1.19
2002-01-19,0.11,1002.83,1003.15,1002.53,26.86,23.38,27.44,26.50,23.81,23.05,83.83,79.25,81.95,131.39,3.64,1.43
2002-01-20,0.24,1003.95,1004.35,1003.67,26.40,22.96,26.80,26.05,23.31,22.59,83.96,79.87,82.05,140.71,4.10,1.55
2002-01-21,0.08,1004.46,1004.88,1004.16,27.19,22.87,27.68,26.72,23.26,22.51,80.43,75.83,78.07,94.44,4.39,1.74
2002-01-22,0.38,1004.77,1005.10,1004.42,27.38,23.18,28.16,26.82,23.61,22.76,81.08,74.80,78.47,138.46,3.99,1.43
2002-01-23,0.07,1004.63,1005.03,1004.37,27.33,23.42,27.78,26.79,23.79,22.98,82.48,77.82,80.09,119.17,3.95,1.42
