REGIAO:;N
UF:;AM
ESTACAO:;BOCA DO ACRE
CODIGO (WMO):;A110
LATITUDE:;-8,77666666
LONGITUDE:;-67,33222221
ALTITUDE:;111
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-07-15,0.20,997.57,997.92,997.24,26.67,21.42,27.40,26.01,21.92,20.89,78.49,72.20,75.55,171.25,3.63,1.31
2008-07-16,0.10,999.43,999.80,999.18,27.99,18.70,28.79,26.92,19.47,17.66,66.50,57.93,61.86,156.46,3.81,1.36
2008-07-17,0.00,999.73,1000.01,999.50,23.98,16.06,24.92,23.20,16.89,15.23,71.38,63.88,67.83,175.00,2.45,0.84
2008-07-18,0.00,999.25,999.48,999.03,24.05,16.12,24.88,23.12,16.80,15.48,71.17,63.92,67.33,139.54,2.79,1.07
2008-07-19,0.00,999.47,999.70,999.27,25.44,19.05,26.25,24.58,19.47,18.38,74.42,67.58,71.46,162.96,2.75,1.02
2008-07-20,0.10,999.57,999.82,999.29,26.62,20.85,27.62,25.76,21.25,20.18,77.12,68.96,73.75,106.42,3.85,1.27
2008-07-21,0.00,999.23,999.55,998.96,26.32,20.73,27.03,25.56,21.20,20.20,78.17,72.46,75.21,180.29,2.75,0.94
2008-07-22,0.00,999.27,999.56,998.96,26.79,21.55,27.61,26.11,21.99,20.99,78.12,71.83,75.50,204.62,3.08,1.12
2008-07-23,0.00,999.41,999.74,999.08,26.47,21.55,27.29,25.71,22.01,20.98,79.58,72.33,76.33,171.83,3.70,1.25
2008-07-24,0.07,999.57,999.82,999.27,25.40,21.08,26.36,24.52,21.65,20.49,82.75,75.17,79.29,178.46,3.39,1.16
