REGIAO:;N
UF:;AM
ESTACAO:;MAUES
CODIGO (WMO):;A122
LATITUDE:;-3,39888888
LONGITUDE:;-57,6736111
ALTITUDE:;35
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-04-22,0.32,1006.51,1006.98,1006.17,27.58,23.90,28.32,26.98,24.48,23.10,84.65,77.17,81.66,151.56,3.22,0.88
2008-04-23,0.53,1006.87,1007.20,1006.47,25.02,23.74,25.49,24.71,24.07,23.43,93.88,90.79,92.58,161.88,2.23,0.52
2008-04-24,0.95,1006.90,1007.30,1006.50,25.54,23.25,26.15,25.06,23.74,22.85,90.83,85.25,88.08,199.25,2.65,0.71
2008-04-25,0.26,1006.00,1006.31,1005.67,25.55,23.69,26.06,25.06,24.12,23.27,92.17,87.88,90.21,202.42,1.81,0.44
2008-04-26,0.03,1006.35,1006.68,1006.11,26.03,23.68,26.52,25.53,24.12,23.28,90.33,85.17,87.67,162.38,2.55,0.61
2008-04-27,0.12,1005.50,1005.90,1005.13,26.52,23.99,27.10,25.88,24.47,23.45,89.58,83.75,86.71,192.17,2.47,0.78
2008-04-28,0.23,1006.12,1006.43,1005.75,25.85,23.75,26.32,25.45,24.18,23.32,90.92,86.21,88.83,132.08,2.89,0.60
2008-04-29,0.09,1007.16,1007.52,1006.77,26.46,23.54,26.93,26.05,24.06,23.11,87.71,82.54,85.12,226.21,2.90,0.90
2008-04-30,0.17,1006.12,1006.46,1005.80,25.78,23.95,26.32,25.31,24.31,23.64,91.96,87.46,89.96,140.83,2.70,0.81
2008-05-01,0.24,1005.51,1005.88,1005.17,26.04,24.18,26.52,25.53,24.62,23.77,92.21,87.79,89.98,238.54,2.11,0.55
2008-05-02,0.65,1006.45,1006.75,1006.05,25.19,23.68,25.54,24.98,24.01,23.45,92.88,89.75,91.54,200.38,2.88,0.78
2008-05-03,0.05,1007.98,1008.27,1007.65,25.29,23.10,25.73,24.89,23.50,22.75,90.88,85.54,88.29,173.00,2.82,0.66
2008-05-04,0.42,1008.44,1008.76,1008.10,25.47,23.57,25.97,25.05,23.86,23.25,92.08,86.75,89.67,118.79,1.99,0.46
2008-05-05,0.08,1008.64,1008.94,1008.32,25.08,23.48,25.53,24.70,23.87,23.22,93.21,88.96,91.04,237.29,2.64,0.71
2008-05-06,0.17,1008.47,1008.83,1008.15,25.48,23.22,25.98,24.92,23.74,22.80,91.25,85.42,87.96,163.79,2.24,0.64
2008-05-07,0.06,1008.08,1008.44,1007.73,25.49,23.39,25.96,24.99,23.83,23.05,91.54,86.33,88.67,194.08,2.80,0.65
2008-05-08,0.28,1007.88,1008.14,1007.57,24.97,22.81,25.38,24.54,23.25,22.50,90.96,86.21,88.50,127.58,3.29,1.06
2008-05-09,0.52,1008.04,1008.34,1007.74,24.50,22.82,25.07,24.09,23.28,22.50,92.75,88.58,90.83,162.21,2.89,0.79
2008-05-10,0.01,1008.29,1008.60,1007.98,25.06,22.08,25.52,24.50,22.71,21.74,88.25,82.54,84.79,153.29,2.57,0.72
2008-05-11,0.00,1009.04,1009.30,1008.73,25.80,23.67,26.36,25.39,24.03,23.24,90.54,85.25,88.50,142.96,2.32,0.53
2008-05-12,0.00,1009.27,1009.58,1008.96,26.09,22.87,26.70,25.54,23.49,22.44,87.08,80.71,83.62,174.29,2.44,0.69
2008-05-13,2.56,1009.89,1010.19,1009.58,24.34,23.22,24.61,24.12,23.53,23.00,94.79,92.42,93.54,263.54,1.99,0.58
2008-05-14,0.23,1009.94,1010.30,1009.59,25.02,23.35,25.45,24.65,23.67,22.95,92.46,88.71,90.83,170.33,2.10,0.64
2008-05-15,0.09,1009.08,1009.39,1008.77,25.76,23.65,26.21,25.19,24.06,23.23,91.79,86.50,88.79,147.75,2.57,0.70
2008-05-16,0.23,1008.92,1009.30,1008.61,25.70,23.69,26.22,25.19,24.06,23.16,91.25,86.71,89.46,137.67,2.78,0.62
2008-05-17,0.27,1007.99,1008.32,1007.65,25.93,23.69,26.46,25.28,24.13,23.15,91.00,85.79,88.29,136.12,2.46,0.78
2008-05-18,0.24,1008.43,1008.77,1008.12,26.05,24.16,26.57,25.54,24.47,23.72,92.21,86.62,89.88,126.08,2.38,0.51
2008-05-19,0.07,1008.38,1008.69,1008.07,25.60,23.99,26.20,25.20,24.40,23.62,92.92,88.08,91.04,177.62,1.47,0.41
2008-05-20,0.00,1008.37,1008.69,1008.06,26.15,24.10,26.49,25.77,24.50,23.71,91.17,87.25,89.17,206.04,1.50,0.37
2008-05-21,0.00,1007.45,1007.75,1007.15,26.60,23.97,27.06,26.11,24.51,23.55,89.62,83.75,86.46,201.25,1.76,0.46
2008-05-22,0.00,1007.46,1007.77,1007.15,26.32,23.40,26.95,25.78,24.03,22.94,88.25,82.58,85.46,168.21,2.51,0.55
2008-05-23,0.61,1007.62,1007.91,1007.29,25.90,23.32,26.73,25.28,23.95,22.84,89.67,83.17,86.79,168.33,2.36,0.60
2008-05-24,0.85,1008.19,1008.49,1007.89,24.99,23.27,25.28,24.65,23.58,22.97,92.33,88.25,90.25,131.92,2.67,0.52
2008-05-25,0.05,1007.41,1007.74,1007.06,25.20,22.75,25.77,24.71,23.38,22.23,90.08,84.46,87.21,122.96,2.38,0.50
2008-05-26,0.04,1007.86,1008.20,1007.61,25.00,22.77,25.42,24.58,23.17,22.40,90.67,85.58,88.17,131.08,2.27,0.55
2008-05-27,0.01,1006.64,1006.95,1006.38,26.03,23.18,26.63,25.47,23.83,22.77,88.62,83.29,85.83,176.12,2.20,0.60
2008-05-28,0.00,1006.50,1006.80,1006.20,26.45,23.05,26.97,25.84,23.48,22.57,85.88,79.96,82.75,126.33,2.75,0.86
2008-05-29,0.03,1006.81,1007.08,1006.46,26.41,23.71,27.05,25.79,24.30,23.23,89.71,82.92,86.17,164.38,2.34,0.56
2008-05-30,0.28,1008.82,1009.08,1008.42,25.08,23.45,25.62,24.68,23.90,23.20,93.12,88.50,91.04,158.38,1.99,0.40
2008-05-31,0.01,1010.27,1010.58,1009.94,25.29,23.24,25.61,24.94,23.59,22.90,90.79,86.79,89.04,254.50,2.52,0.60
2008-06-01,3.20,1011.48,1011.81,1011.07,23.11,22.18,23.49,22.83,22.53,21.98,95.54,93.54,94.67,251.17,3.30,0.93
2008-06-02,0.01,1011.16,1011.47,1010.85,24.04,21.90,24.50,23.64,22.30,21.55,90.67,86.12,88.38,168.75,2.05,0.52
2008-06-03,0.10,1009.88,1010.20,1009.63,24.59,22.34,25.14,24.10,22.77,21.79,90.38,84.50,87.96,159.75,2.05,0.59
2008-06-04,0.17,1009.06,1009.36,1008.80,25.32,23.26,25.85,24.91,23.73,22.89,91.83,86.21,89.04,197.17,2.17,0.37
2008-06-05,0.32,1009.44,1009.73,1009.14,24.55,23.04,25.12,24.13,23.47,22.75,93.50,89.29,91.54,209.83,2.67,0.63
2008-06-06,0.22,1009.32,1009.61,1009.07,25.60,23.00,26.15,25.05,23.43,22.60,89.33,84.12,86.79,165.33,2.62,0.65
2008-06-07,0.13,1008.34,1008.68,1008.09,25.90,23.22,26.75,25.35,23.90,22.62,88.96,82.08,86.00,160.79,3.00,0.62
2008-06-08,0.01,1007.73,1007.98,1007.45,26.01,23.11,26.64,25.46,23.64,22.69,88.08,82.33,85.50,167.54,2.25,0.69
2008-06-09,0.00,1008.24,1008.50,1007.92,26.15,22.73,26.71,25.58,23.28,22.18,86.21,80.67,83.33,190.71,1.79,0.60
2008-06-10,0.00,1008.72,1008.99,1008.49,26.44,22.21,27.05,25.68,22.99,21.56,84.50,77.42,80.75,171.88,1.23,0.36
