REGIAO:;N
UF:;AM
ESTACAO:;PARINTINS
CODIGO (WMO):;A123
LATITUDE:;-2,64055555
LONGITUDE:;-56,75472222
ALTITUDE:;52
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-04-11,0.30,999.89,1000.62,998.27,25.77,23.19,26.21,25.36,23.53,22.70,88.09,83.22,85.91,97.26,2.99,1.06
2008-04-12,0.45,1006.43,1006.80,1006.06,25.67,23.42,25.98,25.34,23.71,23.10,89.67,85.46,87.75,212.62,3.12,1.12
2008-04-13,0.03,1006.92,1007.20,1006.60,25.32,23.45,25.68,24.96,23.73,23.18,91.54,87.46,89.58,156.67,2.36,0.75
2008-04-14,0.03,1007.57,1007.89,1007.28,26.52,22.72,27.00,26.10,23.25,22.24,83.71,77.54,80.67,117.88,3.97,1.45
2008-04-15,0.00,1006.92,1007.24,1006.57,26.34,23.18,26.80,25.89,23.50,22.66,85.54,80.29,83.46,107.38,3.50,1.35
2008-04-16,0.22,1007.80,1008.11,1007.50,26.25,23.18,26.80,25.84,23.68,22.71,86.58,80.71,84.04,117.33,4.28,1.40
2008-04-17,0.01,1008.22,1008.58,1007.77,26.33,23.44,26.70,25.93,23.84,23.10,87.08,82.21,84.50,137.54,3.45,1.28
2008-04-18,0.94,1008.44,1008.84,1008.05,25.17,23.53,25.65,24.78,23.98,23.11,93.25,87.67,90.83,165.08,2.99,0.72
2008-04-19,1.04,1007.98,1008.37,1007.67,25.63,23.38,26.03,25.31,23.80,23.01,89.88,85.38,87.79,224.29,3.45,1.02
2008-04-20,0.13,1007.12,1007.43,1006.78,26.49,23.82,27.10,25.99,24.35,23.38,89.17,82.25,86.04,153.75,3.52,1.15
2008-04-21,0.13,1007.65,1008.05,1007.30,26.85,23.82,27.18,26.45,24.23,23.48,86.71,82.54,84.29,87.33,4.18,1.38
2008-04-22,0.00,1006.67,1006.98,1006.32,26.65,23.55,27.15,26.31,23.97,23.15,86.12,81.04,83.88,113.00,3.79,1.28
2008-04-23,1.43,1007.05,1007.48,1006.58,25.55,23.92,26.09,25.10,24.28,23.54,92.58,87.96,90.83,130.21,3.21,0.65
2008-04-24,0.11,1007.02,1007.34,1006.69,25.57,23.67,25.96,25.23,24.13,23.38,91.83,87.67,89.54,215.62,2.66,0.65
2008-04-25,0.00,1006.28,1006.61,1005.91,26.00,23.65,26.54,25.55,24.09,23.28,89.79,84.54,87.29,194.08,2.82,0.95
2008-04-26,0.51,1006.62,1006.93,1006.41,26.00,23.60,26.49,25.56,23.96,23.24,89.08,84.21,87.00,109.08,4.13,1.25
2008-04-27,0.00,1005.85,1006.20,1005.45,26.91,24.30,27.25,26.50,24.72,23.97,88.71,84.38,86.29,97.62,2.96,0.98
2008-04-28,0.29,1006.31,1006.62,1005.97,26.82,24.13,27.47,26.40,24.66,23.81,88.29,82.25,85.54,86.54,4.18,1.50
2008-04-29,0.40,1007.25,1007.60,1006.87,26.43,23.73,26.89,26.01,24.14,23.18,88.08,82.75,85.75,243.25,3.88,1.05
2008-04-30,0.12,1006.32,1006.68,1006.02,26.97,24.11,27.42,26.59,24.50,23.55,87.38,81.17,84.79,97.04,3.21,1.05
2008-05-01,0.01,1005.68,1006.05,1005.33,27.20,24.20,27.63,26.73,24.74,23.86,87.40,81.96,84.21,149.15,3.23,1.10
2008-05-02,0.61,1006.52,1006.82,1006.15,26.23,23.94,26.63,25.96,24.29,23.55,89.38,84.58,87.33,222.38,3.57,1.14
2008-05-03,0.00,1008.19,1008.50,1007.84,25.28,23.02,25.57,24.95,23.35,22.77,89.71,85.62,87.46,198.62,4.11,1.40
2008-05-04,0.24,1008.68,1009.02,1008.35,26.36,23.34,26.74,25.97,23.80,23.00,87.04,81.71,84.17,219.46,2.62,0.72
2008-05-05,0.97,1008.60,1008.93,1008.24,25.82,23.92,26.21,25.57,24.37,23.57,91.29,87.21,89.42,233.33,2.91,1.01
2008-05-06,0.12,1008.60,1008.96,1008.31,25.65,23.62,26.08,25.32,24.06,23.30,91.17,86.29,88.88,202.50,2.82,0.91
2008-05-07,0.04,1008.30,1008.65,1007.97,25.27,23.53,25.64,24.90,23.81,23.20,92.25,88.12,90.25,158.58,2.92,0.91
2008-05-08,0.58,1007.97,1008.27,1007.70,25.88,23.31,26.33,25.38,23.73,22.76,88.71,83.33,86.29,90.33,4.57,1.57
2008-05-09,2.86,1008.19,1008.48,1007.87,24.90,23.40,25.39,24.55,23.79,23.10,93.46,89.88,91.67,171.17,3.20,0.89
2008-05-10,0.00,1008.71,1008.98,1008.44,24.28,22.04,24.57,23.93,22.37,21.71,89.67,86.08,87.96,98.88,3.20,1.24
2008-05-11,0.01,1009.24,1009.52,1008.95,26.40,23.27,26.85,26.01,23.68,22.71,86.04,80.29,83.54,183.46,3.16,1.06
2008-05-12,0.00,1009.42,1009.71,1009.09,26.43,23.18,26.97,26.01,23.67,22.72,85.79,80.17,83.04,197.08,3.01,1.04
2008-05-13,2.15,1010.16,1010.45,1009.85,24.91,23.01,25.32,24.63,23.42,22.65,91.08,87.12,89.42,227.92,4.08,1.11
2008-05-14,0.37,1010.25,1010.62,1009.90,25.03,23.35,25.37,24.70,23.67,23.06,92.50,88.54,90.71,161.96,2.52,0.63
2008-05-15,0.38,1009.25,1009.58,1008.94,26.18,23.86,26.72,25.65,24.39,23.38,90.79,84.17,87.71,149.50,2.45,0.70
2008-05-16,0.12,1009.16,1009.47,1008.87,26.32,23.79,26.94,25.82,24.27,23.35,88.96,83.08,86.42,119.62,3.87,1.33
2008-05-17,0.34,1008.16,1008.52,1007.82,26.70,24.41,27.21,26.24,24.96,23.99,90.08,85.46,87.88,135.17,3.55,1.16
2008-05-18,0.00,1008.74,1009.08,1008.42,26.07,23.68,26.35,25.72,24.00,23.34,89.17,85.08,87.04,113.00,3.92,1.31
2008-05-19,0.05,1008.56,1008.87,1008.20,26.45,24.34,26.81,26.07,24.72,23.93,90.79,86.21,88.62,152.04,2.60,0.76
2008-05-20,0.40,1008.57,1008.86,1008.30,25.55,24.27,25.97,25.27,24.62,24.00,93.96,90.83,92.71,185.17,2.21,0.61
2008-05-21,0.01,1007.71,1008.03,1007.43,26.22,23.92,26.59,25.76,24.32,23.49,90.04,85.83,87.67,246.50,2.53,0.72
2008-05-22,0.07,1007.68,1007.99,1007.40,26.42,23.91,27.11,25.92,24.45,23.32,89.67,82.33,86.71,120.29,2.67,0.75
2008-05-23,0.00,1007.93,1008.23,1007.60,26.37,23.40,26.87,25.93,23.95,23.05,87.21,82.08,84.50,108.46,3.35,1.25
2008-05-24,1.88,1008.27,1008.57,1008.01,26.06,23.44,26.58,25.65,23.93,23.04,88.62,83.17,86.12,170.38,4.10,1.23
2008-05-25,0.01,1007.67,1007.98,1007.35,25.30,23.25,25.69,24.94,23.64,22.88,91.29,86.46,89.04,129.04,2.90,0.87
2008-05-26,0.36,1007.95,1008.28,1007.73,26.00,23.18,26.34,25.55,23.66,22.75,87.62,82.92,85.17,106.29,3.55,1.16
2008-05-27,0.29,1006.91,1007.19,1006.65,26.56,23.53,27.17,25.94,23.99,23.15,87.17,81.17,83.92,124.75,3.64,1.09
2008-05-28,0.02,1006.77,1007.03,1006.46,27.02,23.85,27.46,26.70,24.26,23.58,85.67,81.08,83.33,101.50,3.72,1.38
2008-05-29,0.88,1007.02,1007.30,1006.66,26.28,23.83,27.07,25.58,24.42,23.38,90.29,83.08,87.04,133.88,3.39,0.98
2008-05-30,0.65,1009.01,1009.28,1008.66,25.27,23.38,25.65,24.92,23.72,22.99,91.92,86.71,89.46,84.29,4.32,1.28
2008-05-31,0.32,1010.45,1010.78,1010.09,24.75,22.93,25.12,24.45,23.38,22.70,92.17,88.17,89.75,192.46,2.88,0.73
2008-06-01,2.21,1011.62,1011.97,1011.22,23.88,22.02,24.15,23.59,22.34,21.69,91.57,87.25,89.50,257.52,4.39,1.40
2008-06-02,0.02,1011.19,1011.48,1010.91,24.58,22.26,24.97,24.13,22.62,21.83,89.88,84.96,87.46,221.00,2.43,0.74
2008-06-03,1.01,1010.05,1010.38,1009.81,24.95,22.59,25.50,24.40,23.09,22.13,90.50,84.54,87.42,143.50,2.83,0.89
2008-06-04,0.02,1009.21,1009.51,1008.92,26.29,23.36,26.71,25.85,23.88,22.97,87.57,82.34,84.75,105.52,3.04,1.05
2008-06-05,0.33,1009.34,1009.58,1009.11,26.25,23.95,26.78,25.72,24.29,23.48,90.21,84.04,87.67,101.29,3.00,0.91
2008-06-06,0.51,1009.57,1009.84,1009.28,24.99,23.59,25.35,24.71,23.98,23.33,93.92,90.38,92.12,184.04,2.31,0.62
2008-06-07,0.32,1008.66,1008.96,1008.38,25.68,24.00,26.20,25.23,24.43,23.60,92.83,88.12,90.83,146.42,2.38,0.67
2008-06-08,0.40,1007.98,1008.27,1007.73,25.70,23.75,26.32,25.27,24.24,23.35,91.71,86.29,89.29,114.88,2.44,0.60
2008-06-09,0.01,1008.32,1008.59,1008.01,27.19,23.20,27.62,26.58,23.81,22.68,84.12,78.42,81.00,123.04,2.38,0.71
2008-06-10,0.00,1008.99,1009.28,1008.73,26.98,23.38,27.52,26.53,23.99,22.69,84.62,77.62,81.50,219.75,2.02,0.69
2008-06-11,0.37,1008.06,1008.35,1007.73,26.80,23.81,27.51,26.32,24.42,23.42,87.50,80.33,83.96,76.00,3.54,1.11
2008-06-12,0.48,1009.52,1009.83,1009.12,25.56,23.50,26.07,25.03,23.98,23.15,91.33,86.54,88.88,165.67,3.17,0.93
2008-06-13,0.00,1009.68,1010.03,1009.39,26.27,23.31,26.72,25.82,23.82,22.92,87.00,82.08,84.33,117.04,4.41,1.69
2008-06-14,0.00,1007.58,1007.86,1007.36,27.10,23.68,27.60,26.69,24.23,23.27,85.04,79.42,82.17,116.00,4.10,1.45
2008-06-15,0.01,1007.90,1008.17,1007.58,27.72,23.86,28.20,27.20,24.48,23.28,83.42,76.29,79.71,147.00,2.96,0.85
2008-06-16,0.50,1009.40,1009.68,1009.12,26.23,23.44,26.77,25.57,23.88,22.75,88.33,81.29,85.25,124.54,3.90,1.05
2008-06-17,0.29,1008.69,1009.04,1008.39,26.55,24.05,26.93,26.08,24.50,23.67,89.50,84.54,86.83,195.62,2.88,0.79
2008-06-18,2.48,1008.52,1008.79,1008.15,24.85,23.77,25.21,24.57,24.11,23.48,95.08,91.96,93.88,242.96,3.97,1.07
2008-06-19,0.23,1008.37,1008.70,1008.07,25.98,23.38,26.41,25.55,23.80,22.94,88.54,83.58,86.04,190.88,3.10,0.90
2008-06-20,0.36,1008.52,1008.84,1008.22,26.43,23.93,26.88,25.97,24.42,23.48,89.29,84.12,86.71,125.75,2.59,0.84
2008-06-21,0.57,1008.24,1008.53,1007.95,26.39,24.00,26.99,25.87,24.64,23.60,90.62,84.00,87.25,158.88,3.04,0.79
2008-06-22,0.00,1007.31,1007.58,1007.06,26.50,24.17,26.87,26.10,24.67,23.80,89.92,85.96,87.67,132.88,2.39,0.66
2008-06-23,0.22,1008.18,1008.39,1007.90,26.97,24.12,27.76,26.40,24.71,23.61,88.21,81.33,85.17,127.25,2.68,0.77
2008-06-24,0.04,1009.67,1009.90,1009.40,26.57,23.59,27.19,26.07,24.18,22.92,88.12,80.75,84.96,114.33,2.77,0.70
2008-06-25,0.00,1009.07,1009.32,1008.88,27.15,23.77,27.58,26.63,24.27,23.27,85.75,80.25,82.96,236.17,2.15,0.69
2008-06-26,0.18,1008.32,1008.61,1008.02,25.80,23.67,26.35,25.35,24.18,23.20,91.04,84.92,88.29,176.33,3.33,1.01
2008-06-27,1.41,1009.90,1010.21,1009.48,25.54,23.30,26.06,24.80,23.75,22.74,90.83,85.00,87.83,171.04,4.17,1.14
2008-06-28,0.08,1010.97,1011.23,1010.75,26.45,24.07,26.98,26.01,24.53,23.62,90.00,84.29,87.21,177.04,2.30,0.73
2008-06-29,0.00,1010.43,1010.69,1010.15,27.39,23.57,27.90,26.83,24.29,22.93,85.12,77.83,81.29,132.25,2.40,0.73
2008-06-30,0.00,1009.80,1010.09,1009.57,27.41,23.99,27.89,26.89,24.46,23.40,85.21,79.38,82.54,137.50,2.41,0.83
2008-07-01,0.00,1009.45,1009.69,1009.18,27.40,23.54,27.95,26.88,24.15,22.90,83.96,76.92,80.62,116.29,2.87,0.97
2008-07-02,0.00,1009.52,1009.79,1009.25,27.80,23.47,28.37,27.23,24.22,22.80,83.04,75.38,79.00,125.79,2.67,0.80
2008-07-03,0.89,1009.68,1009.96,1009.39,26.67,23.96,27.27,26.08,24.53,23.45,89.17,82.12,85.38,135.08,2.86,0.74
2008-07-04,0.09,1009.96,1010.29,1009.64,25.79,22.97,26.21,25.42,23.41,22.63,87.38,81.83,84.75,109.75,4.27,1.31
2008-07-05,0.01,1009.34,1009.63,1009.10,26.83,23.46,27.40,26.31,24.13,23.01,85.88,80.04,82.71,270.71,3.23,0.92
2008-07-06,0.05,1009.17,1009.45,1008.85,27.08,23.91,27.62,26.49,24.32,23.20,86.29,80.08,83.62,153.17,2.80,0.80
2008-07-07,0.12,1009.49,1009.76,1009.23,26.91,24.06,27.55,26.35,24.70,23.43,88.29,81.50,84.79,89.33,3.32,0.98
2008-07-08,0.00,1008.92,1009.15,1008.72,27.34,23.81,27.64,26.89,24.15,23.45,84.17,79.33,81.62,71.29,4.00,1.45
2008-07-09,0.15,1008.36,1008.60,1008.12,27.50,23.78,28.24,26.88,24.39,23.18,84.08,76.67,80.54,87.00,4.40,1.45
2008-07-10,0.95,1009.32,1009.61,1008.99,26.25,23.91,27.00,25.62,24.51,23.35,90.42,83.12,87.08,132.42,3.04,0.77
2008-07-11,0.13,1010.45,1010.73,1010.15,26.90,23.80,27.31,26.39,24.27,23.34,86.75,81.62,83.79,256.62,3.56,0.86
2008-07-12,0.00,1010.18,1010.47,1009.95,27.48,23.95,27.93,27.03,24.50,23.49,84.75,79.38,82.00,207.00,2.37,0.85
2008-07-13,0.00,1008.40,1008.66,1008.18,28.06,23.67,28.59,27.48,24.29,23.06,81.88,75.50,78.62,145.04,2.23,0.70
2008-07-14,0.00,1008.26,1008.50,1008.00,28.40,21.70,28.98,27.79,22.41,20.95,74.42,67.50,70.96,128.88,3.12,1.07
2008-07-15,0.00,1009.09,1009.31,1008.80,27.78,20.68,28.43,27.11,21.40,19.98,71.42,62.92,67.12,147.79,3.54,1.28
2008-07-16,0.00,1009.78,1010.05,1009.55,27.92,22.05,28.53,27.27,22.90,21.22,77.71,69.42,73.29,129.83,2.81,0.91
2008-07-17,0.00,1009.36,1009.67,1009.05,27.15,22.38,27.70,26.48,23.16,21.73,81.08,73.17,76.83,175.75,2.39,0.62
2008-07-18,0.00,1009.44,1009.71,1009.15,27.01,22.67,27.53,26.67,23.12,22.14,80.00,73.92,77.50,75.92,3.48,1.03
2008-07-19,0.01,1010.11,1010.42,1009.77,26.31,23.16,26.79,25.84,23.57,22.70,86.33,80.79,83.54,91.75,3.37,1.10
2008-07-20,0.00,1009.85,1010.14,1009.57,26.27,22.47,26.99,25.62,23.18,22.09,84.21,77.38,80.46,101.83,3.22,1.13
2008-07-21,0.00,1009.14,1009.41,1008.87,27.71,23.93,28.15,27.26,24.30,23.46,83.17,77.79,80.71,78.92,3.26,1.35
2008-07-22,0.00,1009.16,1009.43,1008.89,28.38,23.58,28.85,27.93,23.95,23.15,78.42,73.17,75.92,73.67,4.48,1.65
2008-07-23,0.00,1008.92,1009.21,1008.64,28.01,23.66,28.62,27.36,24.18,23.12,81.54,75.04,78.33,98.04,3.52,1.23
2008-07-24,0.00,1008.90,1009.15,1008.60,28.38,24.19,28.93,27.97,24.69,23.87,81.46,75.88,78.62,80.42,3.59,1.36
2008-07-25,0.10,1009.10,1009.42,1008.82,27.93,23.97,28.65,27.28,24.62,23.38,83.50,76.08,80.00,110.46,3.11,0.95
2008-07-26,0.01,1008.82,1009.12,1008.53,27.00,23.96,27.48,26.59,24.44,23.61,86.46,81.50,83.96,201.29,2.81,0.80
2008-07-27,0.21,1008.81,1009.10,1008.50,26.83,23.93,27.53,26.30,24.40,23.39,87.71,81.04,84.79,130.00,3.31,1.12
2008-07-28,0.62,1009.72,1010.10,1009.38,26.46,23.70,27.05,25.93,24.22,23.15,87.96,82.25,85.38,92.79,4.30,1.41
2008-07-29,0.02,1009.04,1009.38,1008.78,27.04,24.10,27.40,26.61,24.51,23.61,86.92,82.46,84.75,142.62,3.41,1.15
2008-07-30,0.00,1008.60,1008.90,1008.32,27.72,23.96,28.31,27.26,24.46,23.62,83.54,77.79,80.83,265.08,2.94,0.91
2008-07-31,0.53,1007.60,1007.92,1007.35,27.42,24.03,28.15,26.80,24.69,23.53,86.29,79.33,82.88,139.96,2.94,0.92
2008-08-01,0.14,1007.48,1007.75,1007.22,27.49,23.75,28.00,26.79,24.31,23.15,84.79,78.17,81.04,133.00,3.11,1.00
2008-08-02,0.00,1007.51,1007.80,1007.25,28.43,24.07,28.91,28.00,24.60,23.69,80.79,75.54,78.17,59.88,3.73,1.45
2008-08-03,0.01,1007.31,1007.55,1007.05,28.32,23.15,28.83,27.89,23.72,22.67,76.83,71.42,74.17,99.88,4.59,1.80
2008-08-04,0.00,1007.23,1007.51,1007.00,28.55,23.48,28.98,28.18,23.91,23.05,77.21,71.83,74.58,61.54,4.41,1.73
2008-08-05,0.00,1007.36,1007.61,1007.08,28.99,23.61,29.35,28.65,24.05,23.20,75.38,70.96,73.25,53.00,4.70,1.86
2008-08-06,0.02,1006.88,1007.16,1006.57,27.86,23.69,28.53,27.30,24.17,23.15,81.33,75.12,78.67,83.54,4.27,1.51
2008-08-07,0.00,1007.46,1007.74,1007.20,27.41,23.43,27.86,26.88,23.92,23.04,82.83,77.83,80.17,153.88,3.33,1.22
2008-08-08,0.00,1007.56,1007.80,1007.32,28.45,24.18,28.94,27.92,24.76,23.77,81.42,76.21,78.67,100.08,3.59,1.39
2008-08-09,0.00,1008.13,1008.36,1007.88,28.87,23.90,29.40,28.43,24.42,23.43,78.38,72.58,75.54,94.46,3.68,1.39
2008-08-10,0.03,1007.96,1008.24,1007.68,28.82,23.28,29.46,28.18,23.77,22.62,76.38,69.00,72.92,127.21,3.91,1.29
2008-08-11,0.00,1006.99,1007.31,1006.73,28.97,23.91,29.66,28.30,24.58,23.45,79.50,71.75,75.25,71.08,3.44,1.18
2008-08-12,0.10,1007.41,1007.70,1007.01,27.47,23.48,28.22,26.95,23.99,22.87,82.12,75.62,79.58,173.29,3.30,1.07
2008-08-13,0.00,1008.44,1008.70,1008.15,28.37,23.69,29.04,27.88,24.40,23.18,80.58,73.83,77.12,146.17,2.61,0.98
2008-08-14,0.00,1008.27,1008.50,1007.98,28.97,23.59,29.53,28.42,24.14,23.05,76.71,70.75,74.00,130.88,3.14,1.12
2008-08-15,0.00,1008.36,1008.68,1008.09,28.58,24.08,29.45,27.76,24.74,23.49,81.29,73.88,77.83,110.71,2.90,0.85
2008-08-16,0.00,1007.07,1007.42,1006.79,28.75,23.75,29.51,28.14,24.43,23.28,78.54,72.42,75.25,151.12,3.16,1.05
2008-08-17,1.32,1006.94,1007.28,1006.57,26.34,23.80,27.12,25.64,24.47,23.22,89.17,82.71,86.21,181.12,3.78,0.89
2008-08-18,0.00,1007.35,1007.64,1007.08,27.35,23.90,27.70,26.82,24.35,23.50,85.29,81.12,82.71,149.88,2.57,0.78
2008-08-19,0.00,1006.91,1007.23,1006.65,28.66,24.68,29.24,28.16,25.15,24.03,83.00,76.58,80.25,178.12,2.39,0.64
2008-08-20,0.00,1006.17,1006.42,1005.88,28.56,24.15,29.20,28.11,24.89,23.67,81.42,74.75,78.00,164.75,2.64,0.82
2008-08-21,0.00,1007.03,1007.29,1006.72,28.20,23.59,28.65,27.71,24.12,23.20,79.58,74.29,76.75,223.67,3.25,0.98
2008-08-22,0.00,1006.73,1007.01,1006.46,28.18,23.49,28.66,27.68,24.00,22.89,80.04,73.96,77.21,195.42,2.26,0.85
2008-08-23,0.51,1007.41,1007.74,1007.07,27.18,23.70,27.74,26.67,24.18,23.24,84.83,78.50,81.71,149.12,3.48,0.92
2008-08-24,0.00,1007.56,1007.87,1007.24,28.15,23.50,28.51,27.64,24.13,22.93,80.00,74.17,76.79,100.62,4.36,1.74
