REGIAO:;N
UF:;AM
ESTACAO:;URUCARA
CODIGO (WMO):;A124
LATITUDE:;-2,89638888
LONGITUDE:;-57,75833333
ALTITUDE:;17
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-04-17,0.22,1008.24,1008.65,1007.88,27.38,23.47,28.09,26.72,23.99,22.99,83.56,76.78,80.17,142.45,3.87,1.33
2008-04-18,2.05,1008.80,1009.26,1008.39,25.30,23.33,25.85,24.90,23.70,23.01,91.08,86.75,89.50,190.46,3.40,0.99
2008-04-19,1.02,1008.37,1008.75,1008.06,25.18,23.32,25.45,24.90,23.61,23.09,91.50,88.29,89.79,215.46,2.62,0.75
2008-04-20,0.13,1007.62,1007.91,1007.30,25.96,23.88,26.52,25.45,24.22,23.53,91.17,85.67,88.29,159.38,3.53,1.14
2008-04-21,0.00,1008.03,1008.41,1007.70,26.10,23.32,26.49,25.65,23.58,22.94,87.83,83.75,85.92,89.92,3.17,1.16
2008-04-22,0.00,1006.86,1007.23,1006.50,27.68,24.03,28.25,27.28,24.44,23.74,83.21,78.92,81.29,110.08,3.93,1.52
2008-04-23,1.51,1007.51,1007.88,1007.11,24.82,23.58,25.10,24.60,23.75,23.37,94.00,90.96,92.83,194.00,2.44,0.60
2008-04-24,0.00,1007.43,1007.78,1007.08,25.81,23.75,26.30,25.39,24.10,23.42,90.54,86.92,88.88,187.67,2.83,0.97
2008-04-25,0.01,1006.52,1006.85,1006.13,26.26,23.16,26.80,25.78,23.68,22.85,87.25,82.25,84.54,179.38,2.88,0.99
2008-04-26,0.92,1006.88,1007.23,1006.62,26.47,23.76,26.97,26.02,24.11,23.35,88.12,83.38,86.04,149.50,3.69,1.25
2008-04-27,0.72,1006.26,1006.66,1005.87,25.82,24.10,26.31,25.37,24.39,23.74,92.33,87.79,90.62,157.62,2.36,0.74
2008-04-28,0.44,1006.61,1006.94,1006.25,26.32,23.96,26.98,25.69,24.43,23.59,90.62,84.33,87.62,86.00,3.26,0.94
2008-04-29,3.04,1007.62,1008.02,1007.23,25.71,23.55,26.27,25.25,24.04,23.20,90.92,86.50,88.92,185.29,4.02,1.18
2008-04-30,0.03,1006.58,1006.90,1006.27,26.23,23.98,26.66,25.88,24.31,23.71,89.71,86.00,87.92,125.25,2.66,0.91
2008-05-01,0.16,1006.08,1006.44,1005.76,26.51,23.93,27.01,26.02,24.26,23.49,89.11,83.41,86.51,170.72,2.91,0.92
2008-05-02,0.15,1006.93,1007.23,1006.54,26.27,23.58,26.68,25.95,24.02,23.35,87.92,84.00,85.75,276.08,3.75,1.25
2008-05-03,1.62,1008.62,1008.95,1008.28,25.07,23.61,25.36,24.84,23.86,23.29,93.00,89.71,91.75,248.04,3.30,1.11
2008-05-04,0.08,1008.95,1009.27,1008.61,25.97,23.13,26.33,25.53,23.62,22.75,88.33,83.12,85.38,97.75,2.45,0.79
2008-05-05,1.51,1009.20,1009.52,1008.83,25.49,23.80,25.91,25.13,24.10,23.50,92.46,88.25,90.58,238.50,3.50,1.13
2008-05-06,0.38,1008.94,1009.30,1008.66,25.72,23.77,26.20,25.27,24.15,23.39,91.71,86.75,89.38,181.42,2.12,0.57
2008-05-07,0.19,1008.66,1009.03,1008.30,25.72,23.50,26.20,25.35,23.86,23.19,90.50,86.12,88.42,105.29,2.53,0.83
2008-05-08,0.47,1008.28,1008.56,1007.99,25.81,23.57,26.29,25.43,23.96,23.25,90.29,85.58,88.08,100.25,3.82,1.37
2008-05-09,1.05,1008.61,1008.90,1008.31,25.23,23.54,25.75,24.78,23.93,23.14,92.71,88.46,90.88,184.96,3.57,1.04
2008-05-10,0.00,1008.78,1009.07,1008.51,25.46,22.89,25.85,25.07,23.32,22.59,88.79,84.67,86.62,130.42,2.55,0.92
2008-05-11,0.01,1009.55,1009.85,1009.21,26.11,23.16,26.50,25.68,23.55,22.81,87.33,82.96,84.92,157.71,2.43,0.80
2008-05-12,0.06,1009.87,1010.16,1009.57,26.75,23.89,27.27,26.36,24.17,23.43,87.00,81.38,84.92,211.50,3.24,1.01
2008-05-13,2.45,1010.61,1010.93,1010.27,23.74,22.84,24.00,23.58,23.06,22.67,95.50,93.58,94.75,172.50,2.93,0.72
2008-05-14,0.01,1010.60,1010.97,1010.23,24.43,22.55,24.72,24.10,22.77,22.32,91.25,88.38,89.71,121.96,2.67,0.82
2008-05-15,0.26,1009.62,1009.95,1009.33,25.90,23.50,26.32,25.45,23.83,23.15,89.50,85.25,87.38,123.25,1.25,0.39
2008-05-16,0.01,1009.42,1009.74,1009.11,27.02,23.90,27.50,26.53,24.30,23.53,86.33,81.92,84.21,124.42,2.99,1.16
2008-05-17,0.00,1008.46,1008.79,1008.13,27.43,24.45,27.99,26.96,24.87,24.11,86.71,82.42,84.62,131.00,3.10,1.22
2008-05-18,0.38,1009.16,1009.49,1008.82,25.94,24.08,26.30,25.62,24.32,23.75,91.79,87.29,89.83,141.04,3.69,1.13
2008-05-19,0.00,1009.05,1009.34,1008.70,25.24,23.65,25.60,24.91,23.88,23.30,92.46,89.29,91.00,130.38,2.02,0.56
