REGIAO:;N
UF:;AM
ESTACAO:;PRESIDENTE FIGUEIREDO
CODIGO (WMO):;A126
LATITUDE:;-2,08499999
LONGITUDE:;-60,04888888
ALTITUDE:;92
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-04-19,0.36,1003.17,1003.50,1002.84,25.97,22.69,26.55,25.42,23.14,22.28,86.46,81.07,83.83,200.75,2.61,0.67
2008-04-20,0.36,1003.17,1003.50,1002.84,25.97,22.69,26.55,25.42,23.14,22.28,86.46,81.07,83.83,200.75,2.61,0.67
2008-04-21,0.36,1003.17,1003.50,1002.84,25.97,22.69,26.55,25.42,23.14,22.28,86.46,81.07,83.83,200.75,2.61,0.67
2008-04-22,0.75,1002.44,1002.88,1002.12,26.34,23.26,27.16,25.69,23.76,22.74,87.46,80.20,84.33,190.32,3.13,0.87
2008-04-23,0.00,1002.58,1002.97,1002.20,25.72,22.90,26.12,25.31,23.20,22.50,87.58,83.42,85.54,221.88,2.32,0.66
2008-04-24,0.07,1002.48,1002.77,1002.16,26.38,23.50,26.95,25.87,23.83,23.16,87.96,82.46,85.25,191.96,2.20,0.59
2008-04-25,1.92,1001.60,1001.93,1001.30,26.54,23.62,27.21,25.91,24.12,23.16,88.71,82.17,85.25,198.33,2.46,0.68
2008-04-26,1.15,1001.81,1002.15,1001.48,26.09,23.56,26.72,25.43,23.95,23.10,89.79,83.83,86.83,158.71,3.30,0.92
2008-04-27,0.25,1001.47,1001.87,1001.12,25.93,23.90,26.43,25.45,24.23,23.51,91.38,86.25,89.08,144.50,2.81,0.65
2008-04-28,0.12,1001.53,1001.88,1001.13,26.04,23.47,26.54,25.60,23.88,23.16,89.04,84.46,86.75,137.50,2.61,0.75
2008-04-29,1.78,1003.06,1003.46,1002.71,25.11,23.23,25.55,24.78,23.54,22.90,91.33,87.50,89.79,217.62,2.35,0.52
2008-04-30,0.00,1001.48,1001.80,1001.14,26.10,23.58,26.63,25.57,23.96,23.25,89.62,84.33,86.96,199.54,2.48,0.65
2008-05-01,0.55,1001.42,1001.80,1001.10,25.75,23.29,26.30,25.24,23.77,22.93,89.73,84.13,87.08,196.70,2.69,0.69
2008-05-02,0.93,1002.25,1002.55,1001.87,25.25,23.20,25.75,24.83,23.58,22.89,91.33,86.42,88.92,188.08,3.06,0.78
2008-05-03,0.38,1004.03,1004.36,1003.69,24.95,22.68,25.33,24.57,23.02,22.33,89.71,85.25,87.54,245.08,2.58,0.61
2008-05-04,3.00,1004.18,1004.52,1003.82,25.00,22.66,25.38,24.62,23.03,22.38,89.88,85.75,87.79,228.04,2.11,0.51
2008-05-05,0.14,1004.66,1004.98,1004.29,24.84,22.84,25.30,24.44,23.21,22.49,91.21,86.42,89.04,224.46,2.63,0.82
2008-05-06,0.01,1004.12,1004.48,1003.82,25.60,22.96,25.96,25.10,23.32,22.59,88.54,84.21,86.29,198.88,2.12,0.55
2008-05-07,2.88,1003.76,1004.11,1003.43,25.37,23.32,25.85,24.97,23.76,22.91,91.21,86.08,88.96,235.08,2.57,0.80
2008-05-08,0.27,1003.55,1003.84,1003.23,25.30,23.05,25.73,24.94,23.42,22.71,90.04,85.38,87.92,175.83,2.28,0.52
2008-05-09,0.07,1003.60,1003.90,1003.28,25.25,22.24,25.77,24.71,22.90,21.75,88.04,81.92,84.62,166.00,2.51,0.61
2008-05-10,0.03,1003.86,1004.20,1003.54,26.12,22.62,26.62,25.52,23.10,22.15,85.58,79.46,82.29,155.08,2.95,0.74
2008-05-11,0.18,1004.38,1004.69,1004.05,26.60,22.33,27.25,26.10,22.99,21.83,82.92,76.42,79.88,175.88,2.77,0.80
2008-05-12,6.02,1005.58,1005.94,1005.23,24.76,22.75,25.28,24.43,23.10,22.37,90.79,86.21,88.92,197.50,2.60,0.70
2008-05-13,0.00,1005.45,1005.73,1005.15,25.52,22.66,25.93,25.12,23.03,22.27,87.54,83.00,85.08,145.00,1.92,0.47
2008-05-14,0.00,1005.27,1005.60,1004.96,26.00,22.82,26.49,25.56,23.24,22.45,86.29,80.96,83.83,189.50,2.42,0.75
2008-05-15,0.02,1004.65,1005.00,1004.33,26.08,22.62,26.69,25.50,23.11,22.20,85.83,79.92,82.71,186.33,2.57,0.67
2008-05-16,0.21,1004.59,1004.95,1004.27,25.77,23.17,26.32,25.26,23.50,22.75,88.75,82.83,86.17,196.46,2.13,0.43
2008-05-17,0.42,1003.69,1004.02,1003.33,26.33,23.05,26.93,25.74,23.46,22.55,86.29,81.21,83.96,178.83,2.71,0.77
2008-05-18,0.48,1004.29,1004.63,1003.96,25.45,23.11,25.82,25.00,23.55,22.78,90.08,85.46,87.46,191.58,2.81,0.73
2008-05-19,0.11,1004.31,1004.62,1003.96,24.95,23.05,25.47,24.43,23.47,22.73,92.04,87.12,89.54,169.79,1.87,0.37
2008-05-20,0.08,1004.50,1004.84,1004.20,25.47,23.39,25.77,25.15,23.73,23.14,90.88,86.92,88.88,201.58,2.24,0.58
2008-05-21,0.19,1003.32,1003.62,1003.05,25.67,23.35,26.18,25.11,23.83,23.05,90.42,85.38,87.79,235.00,2.03,0.44
2008-05-22,0.08,1003.37,1003.64,1003.02,25.37,22.84,26.01,24.76,23.37,22.53,90.38,83.75,86.75,175.29,2.35,0.48
2008-05-23,0.12,1003.54,1003.80,1003.23,24.61,22.80,25.11,24.18,23.24,22.55,92.21,87.67,90.04,182.46,2.48,0.56
2008-05-24,0.71,1003.30,1003.62,1003.05,25.57,23.08,26.16,25.11,23.40,22.64,89.33,83.96,87.25,209.62,2.35,0.57
2008-05-25,0.03,1003.40,1003.70,1003.07,25.28,22.84,25.61,25.00,23.22,22.61,88.96,85.46,86.88,186.42,2.46,0.74
2008-05-26,0.04,1003.17,1003.46,1002.96,26.06,22.55,26.53,25.65,22.94,22.21,84.83,79.88,82.46,131.67,2.61,0.82
2008-05-27,0.04,1002.43,1002.73,1002.15,24.86,22.64,25.28,24.53,22.97,22.40,89.83,86.12,88.00,207.12,1.88,0.49
