REGIAO:;N
UF:;AM
ESTACAO:;BARCELOS
CODIGO (WMO):;A128
LATITUDE:;-,95861111
LONGITUDE:;-62,94222221
ALTITUDE:;42
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-04-19,0.30,1007.09,1007.43,1006.75,25.66,23.02,26.19,25.16,23.48,22.58,88.94,83.89,86.49,174.39,2.88,0.91
2008-04-20,0.30,1007.09,1007.43,1006.75,25.66,23.02,26.19,25.16,23.48,22.58,88.94,83.89,86.49,174.39,2.88,0.91
2008-04-21,0.30,1007.09,1007.43,1006.75,25.66,23.02,26.19,25.16,23.48,22.58,88.94,83.89,86.49,174.39,2.88,0.91
2008-04-22,0.16,1006.34,1006.78,1005.98,27.13,23.13,27.82,26.49,23.83,22.60,84.26,76.60,80.39,127.63,3.30,1.05
2008-04-23,0.10,1006.52,1006.88,1006.19,24.98,23.23,25.50,24.53,23.64,22.90,92.29,88.00,90.29,152.42,3.28,1.06
2008-04-24,0.01,1006.44,1006.79,1006.15,25.29,22.91,25.82,24.75,23.42,22.57,90.58,85.38,87.67,214.04,2.73,0.95
2008-04-25,0.60,1005.54,1005.91,1005.16,26.32,23.10,26.97,25.78,23.66,22.65,87.25,81.54,84.54,184.54,2.77,0.95
2008-04-26,0.47,1005.50,1005.90,1005.10,25.16,23.11,25.60,24.64,23.54,22.73,91.88,86.75,89.29,152.29,3.10,0.89
2008-04-27,0.02,1004.99,1005.33,1004.77,26.67,23.53,27.14,26.19,23.96,23.14,86.71,82.29,84.29,155.88,3.45,1.43
2008-04-28,0.18,1005.05,1005.32,1004.66,27.06,24.10,27.68,26.54,24.55,23.55,87.75,80.92,84.96,137.54,3.77,1.33
2008-04-29,0.40,1006.29,1006.66,1005.96,26.39,23.82,26.87,25.99,24.28,23.42,88.96,84.08,86.71,148.25,3.74,1.34
