REGIAO:;N
UF:;AM
ESTACAO:;LABREA
CODIGO (WMO):;A111
LATITUDE:;-7,43527777
LONGITUDE:;-64,7886111
ALTITUDE:;64
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.29,1002.93,1003.31,1002.64,25.73,22.76,26.18,25.34,23.23,22.34,87.57,81.80,84.72,210.46,2.16,0.57
2009-01-02,0.06,1001.93,1002.32,1001.60,27.60,22.72,28.20,26.98,23.31,22.24,79.96,73.92,76.80,108.86,3.57,1.15
2009-01-03,0.02,1001.02,1001.37,1000.65,25.51,23.42,25.90,25.25,23.71,23.15,90.04,86.21,88.50,150.71,2.03,0.44
2009-01-04,0.14,1003.15,1003.58,1002.83,27.15,22.70,27.80,26.45,23.22,22.22,81.59,74.82,77.83,133.00,3.76,1.24
2009-01-05,0.05,1003.04,1003.40,1002.69,27.19,22.99,27.96,26.72,23.45,22.51,81.92,75.42,79.25,183.18,3.31,1.12
2009-01-06,0.20,1001.79,1002.21,1001.50,27.11,23.38,27.80,26.48,23.81,22.96,84.46,77.79,81.29,209.64,2.97,0.90
2009-01-07,0.08,1002.14,1002.51,1001.84,25.41,23.01,25.88,25.23,23.31,22.73,88.25,84.57,87.19,122.78,3.36,0.94
2009-01-08,0.08,1002.61,1003.00,1002.23,26.97,22.76,27.60,26.45,23.17,22.26,81.30,75.62,78.90,203.77,2.82,0.81
2009-01-09,0.25,1002.48,1002.90,1002.07,26.45,23.28,27.12,25.87,23.69,22.75,86.33,79.88,83.72,118.22,2.96,0.65
2009-01-10,2.65,1003.17,1003.52,1002.68,25.87,22.87,26.78,25.45,23.39,22.44,86.88,80.53,84.57,215.35,3.91,1.03
2009-01-11,1.16,1003.58,1004.04,1003.15,26.51,22.88,27.14,25.93,23.38,22.43,84.21,78.80,81.51,195.03,3.41,0.85
2009-01-12,0.14,1003.22,1003.57,1002.89,26.23,22.76,26.84,25.81,23.25,22.37,85.00,79.46,82.50,184.08,3.15,0.80
2009-01-13,0.77,1003.10,1003.46,1002.65,25.80,23.26,26.39,25.33,23.62,22.92,88.79,83.79,86.54,195.50,2.60,0.56
2009-01-14,0.27,1003.75,1004.17,1003.41,26.47,23.02,26.95,25.92,23.50,22.59,85.42,80.07,82.49,234.79,2.75,0.75
2009-01-15,0.02,1003.22,1003.60,1002.96,26.66,23.38,27.19,26.14,23.84,23.04,85.96,80.14,83.02,269.82,3.41,1.08
2009-01-16,0.04,1002.88,1003.19,1002.50,26.91,22.88,27.43,26.34,23.36,22.60,82.88,77.54,79.83,280.62,4.19,1.28
2009-01-17,1.40,1003.37,1003.77,1002.98,27.02,22.53,27.55,26.50,23.12,22.07,81.29,75.50,78.50,224.04,4.11,1.36
2009-01-18,0.10,1003.86,1004.15,1003.46,27.00,23.43,27.67,26.47,24.05,23.00,85.17,78.62,81.92,114.29,2.95,0.77
2009-01-19,2.36,1004.87,1005.19,1004.56,25.75,22.66,26.40,25.29,23.08,22.29,86.42,80.71,84.00,191.75,3.39,0.88
2009-01-20,0.19,1005.50,1005.83,1005.18,25.34,22.68,25.74,24.86,23.05,22.32,88.58,83.29,85.92,150.21,2.70,0.69
2009-01-21,1.25,1004.57,1004.97,1004.29,25.57,22.98,26.09,25.10,23.39,22.47,88.29,83.26,86.13,197.14,2.64,0.81
2009-01-22,0.29,1004.20,1004.56,1003.90,25.75,23.15,26.24,25.47,23.49,22.87,87.67,83.44,86.07,243.96,3.08,0.76
