REGIAO:;N
UF:;AM
ESTACAO:;HUMAITA
CODIGO (WMO):;A112
LATITUDE:;-7,92277777
LONGITUDE:;-63,12138888
ALTITUDE:;72
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.15,1003.66,1003.98,1003.42,26.30,23.27,26.87,25.80,23.73,22.88,86.13,81.87,84.22,180.43,3.56,1.39
2009-01-02,0.00,1002.46,1002.84,1002.15,27.36,23.24,27.82,26.74,23.64,22.68,82.29,77.88,80.08,176.50,3.28,1.26
2009-01-03,0.00,1001.63,1001.94,1001.26,26.82,23.83,27.29,26.31,24.17,23.45,86.29,81.58,84.17,183.12,3.38,1.37
2009-01-04,0.33,1003.80,1004.13,1003.38,25.59,23.13,26.06,25.16,23.46,22.87,88.58,84.88,86.67,148.04,3.94,1.70
2009-01-05,1.62,1003.69,1004.07,1003.31,25.96,22.80,26.54,25.39,23.28,22.30,87.04,81.50,84.33,196.67,3.11,1.01
2009-01-06,0.06,1002.32,1002.68,1002.00,26.28,23.57,26.85,25.82,24.05,23.19,88.25,83.50,86.00,217.08,3.23,1.15
2009-01-07,0.49,1002.93,1003.32,1002.53,25.88,22.66,26.33,25.41,23.04,22.29,85.29,81.38,83.29,168.21,4.44,1.84
2009-01-08,0.54,1003.00,1003.33,1002.62,25.98,23.03,26.48,25.44,23.40,22.62,86.92,82.00,84.67,239.67,3.09,1.07
2009-01-09,0.09,1003.30,1003.69,1002.93,26.70,23.22,27.40,26.05,23.75,22.75,85.58,79.58,82.54,163.04,3.42,1.36
2009-01-10,2.08,1003.85,1004.20,1003.41,26.16,23.45,26.91,25.50,23.84,23.02,88.62,82.38,85.88,149.88,4.75,1.62
2009-01-11,0.27,1004.50,1004.89,1004.15,25.67,23.60,26.03,25.33,23.88,23.34,90.21,86.79,88.67,199.21,2.77,1.22
2009-01-12,0.23,1004.15,1004.56,1003.78,25.94,23.20,26.50,25.33,23.65,22.80,88.25,83.62,85.71,141.12,3.50,1.10
2009-01-13,0.31,1003.66,1004.00,1003.27,26.26,23.05,27.14,25.65,23.64,22.66,86.38,80.42,83.50,192.96,3.78,1.43
2009-01-14,0.18,1004.43,1004.80,1004.08,26.59,23.26,27.03,26.04,23.57,22.78,85.50,81.12,83.38,221.92,3.45,1.25
2009-01-15,0.00,1003.59,1003.99,1003.26,27.59,23.60,28.12,27.00,24.05,23.12,82.79,77.79,80.33,258.54,3.76,1.43
2009-01-16,0.30,1003.84,1004.16,1003.41,26.22,23.50,26.82,25.83,23.92,23.15,87.38,82.54,85.29,196.96,4.06,1.55
2009-01-17,0.20,1004.33,1004.68,1004.00,26.16,22.89,26.78,25.62,23.31,22.48,85.79,80.83,83.38,136.04,4.19,1.53
2009-01-18,0.15,1005.28,1005.63,1004.90,25.45,23.19,25.87,25.14,23.52,22.96,89.08,86.12,87.83,115.92,4.20,1.86
2009-01-19,0.16,1005.73,1006.05,1005.42,25.57,22.72,26.11,25.01,23.04,22.27,87.20,82.34,85.14,145.80,4.31,1.48
2009-01-20,0.77,1006.40,1006.73,1006.07,25.96,22.94,26.43,25.42,23.32,22.62,86.67,82.75,84.50,141.54,4.55,2.09
2009-01-21,1.57,1005.24,1005.65,1004.87,25.62,22.69,26.45,25.07,23.22,22.26,87.50,81.67,85.00,195.12,3.07,1.16
2009-01-22,0.08,1005.20,1005.56,1004.86,25.17,23.35,25.40,24.83,23.59,23.13,91.42,89.25,90.12,151.54,2.80,0.95
2009-01-23,0.00,1005.04,1005.36,1004.72,25.72,22.54,26.16,25.33,22.90,22.22,85.33,81.54,83.62,263.83,3.95,1.59
2009-01-24,0.39,1002.82,1003.20,1002.55,26.52,23.30,27.03,25.90,23.57,22.73,85.79,80.88,83.67,193.33,3.57,1.02
2009-01-25,0.41,1002.01,1002.34,1001.67,25.39,23.28,25.86,24.92,23.60,22.89,90.46,86.38,88.46,214.04,3.70,1.13
2009-01-26,0.17,1002.88,1003.13,1002.54,25.76,23.50,26.16,25.32,23.88,23.17,90.21,85.88,87.83,145.83,3.52,1.11
2009-01-27,0.00,1003.75,1004.08,1003.43,24.92,22.35,25.32,24.52,22.65,22.07,88.17,84.50,86.21,179.25,3.09,1.14
2009-01-28,1.69,1004.20,1004.51,1003.88,24.51,22.57,24.87,24.19,22.90,22.31,90.62,87.79,89.17,295.71,4.49,1.80
2009-01-29,0.07,1004.38,1004.71,1004.02,26.03,22.67,26.62,25.20,23.01,22.21,85.83,79.42,82.46,253.25,3.76,1.31
2009-01-30,0.05,1004.72,1005.06,1004.37,26.76,22.96,27.28,26.33,23.41,22.47,83.17,77.29,80.58,197.83,3.60,1.28
2009-01-31,0.09,1004.52,1004.82,1004.23,26.02,23.53,26.65,25.53,23.93,23.20,88.50,84.29,86.75,190.46,3.45,1.26
2009-02-01,0.02,1003.85,1004.26,1003.56,26.64,22.51,27.22,26.04,23.04,22.13,82.40,77.92,79.66,213.05,3.72,1.30
2009-02-02,0.01,1003.55,1003.99,1003.18,26.06,23.03,26.68,25.60,23.38,22.60,86.21,81.42,84.21,156.29,3.64,1.47
2009-02-03,0.33,1003.68,1004.02,1003.26,24.87,23.45,25.16,24.62,23.70,23.26,92.83,91.00,92.00,204.46,2.89,1.24
2009-02-04,1.18,1004.92,1005.24,1004.47,24.12,22.88,24.43,23.82,23.10,22.65,93.88,91.75,92.83,188.25,3.25,1.28
2009-02-05,0.01,1005.11,1005.48,1004.85,26.28,22.48,26.69,25.67,22.86,21.97,84.25,79.83,81.71,118.08,3.35,1.40
2009-02-06,0.10,1004.08,1004.44,1003.73,27.29,23.18,27.80,26.69,23.66,22.72,83.00,77.25,79.88,147.29,3.48,1.20
2009-02-07,1.11,1004.71,1005.05,1004.31,26.36,23.35,27.11,25.87,23.84,23.00,87.04,81.58,84.75,181.29,3.82,1.35
2009-02-08,1.25,1004.62,1005.01,1004.29,26.20,22.92,26.64,25.76,23.30,22.57,85.58,81.83,83.58,191.46,2.98,0.99
2009-02-09,0.56,1004.35,1004.70,1004.03,25.90,22.49,26.52,25.43,23.01,22.12,84.92,80.17,82.62,138.75,4.20,1.70
2009-02-10,0.00,1003.60,1003.93,1003.27,27.03,23.23,27.58,26.52,23.67,22.79,83.71,79.17,81.50,123.12,1.67,0.74
2009-02-11,0.00,1004.06,1004.40,1003.64,27.28,23.33,27.95,26.75,23.85,22.90,83.08,77.96,80.62,127.00,4.06,1.62
2009-02-12,0.01,1004.02,1004.43,1003.70,26.61,23.27,27.16,26.13,23.71,22.93,85.42,80.58,83.04,166.58,3.33,1.20
2009-02-13,0.03,1001.75,1002.11,1001.41,26.06,23.54,26.45,25.77,23.90,23.28,87.92,84.29,86.21,267.08,4.18,1.76
2009-02-14,0.07,1001.73,1002.06,1001.42,25.10,22.66,25.46,24.82,23.00,22.43,88.12,85.42,86.79,84.75,3.82,1.69
2009-02-15,0.00,1001.67,1001.97,1001.36,26.75,22.95,27.22,26.11,23.35,22.47,83.58,78.75,81.12,108.21,3.42,1.23
