REGIAO:;N
UF:;AM
ESTACAO:;APUI
CODIGO (WMO):;A113
LATITUDE:;-7,21527777
LONGITUDE:;-59,8886111
ALTITUDE:;160
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.06,992.18,992.56,991.86,26.97,22.48,27.82,26.38,23.16,21.94,81.87,73.51,78.09,186.96,3.26,1.01
2009-01-02,0.33,991.29,991.69,990.95,26.19,23.07,27.09,25.54,23.74,22.57,87.01,80.54,84.22,172.88,3.26,1.03
2009-01-03,0.07,990.49,990.86,990.10,27.52,22.74,28.32,26.56,23.33,21.89,81.08,73.03,77.15,132.98,3.83,1.19
2009-01-04,0.56,991.91,992.27,991.55,24.98,22.42,25.73,24.80,22.88,22.13,88.20,83.88,86.91,158.62,3.54,1.26
2009-01-05,0.13,991.88,992.30,991.54,27.29,22.09,28.23,26.58,22.91,21.43,79.00,70.61,75.36,177.78,3.35,1.03
2009-01-06,0.64,991.39,991.76,991.10,26.06,22.94,26.76,25.31,23.31,22.27,87.27,80.23,84.27,154.89,3.20,0.95
2009-01-07,0.27,991.71,992.13,991.45,26.21,22.44,26.91,25.53,23.11,21.97,85.17,77.48,81.13,182.97,3.37,1.06
2009-01-08,0.12,991.89,992.28,991.57,26.62,22.36,27.48,26.14,22.93,21.84,81.68,74.53,78.72,137.56,3.20,1.15
2009-01-09,0.18,992.11,992.43,991.67,26.46,22.72,27.60,25.80,23.34,22.02,84.27,75.64,81.17,140.00,3.67,1.27
2009-01-10,0.14,992.07,992.46,991.69,26.49,22.77,27.27,25.76,23.40,22.19,84.85,77.83,81.47,152.01,3.52,1.11
2009-01-11,0.08,992.41,992.81,992.05,25.87,22.57,26.53,25.28,23.14,22.08,86.31,80.17,83.38,245.42,3.01,1.02
