REGIAO:;N
UF:;AM
ESTACAO:;ITACOATIARA
CODIGO (WMO):;A121
LATITUDE:;-3,13305554
LONGITUDE:;-58,48277777
ALTITUDE:;74
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.02,1004.87,1005.13,1004.68,25.59,23.32,25.93,25.28,23.57,23.03,88.91,85.91,87.52,129.91,2.23,0.83
2009-01-02,0.00,1004.14,1004.50,1003.83,27.15,23.66,27.70,26.66,24.20,23.27,84.62,80.75,82.54,96.38,3.80,1.40
2009-01-03,0.00,1002.61,1002.97,1002.31,27.90,23.92,28.37,27.47,24.35,23.49,82.25,77.12,79.67,74.67,3.76,1.44
2009-01-04,1.02,1003.75,1003.98,1003.30,26.11,24.24,26.63,25.75,24.57,23.88,90.83,86.92,89.50,188.88,3.24,1.11
2009-01-05,0.02,1004.64,1005.00,1004.38,26.05,23.07,26.50,25.62,23.49,22.68,86.29,82.38,84.38,201.38,3.78,1.49
2009-01-06,0.00,1003.62,1003.98,1003.30,26.69,23.06,27.22,26.23,23.48,22.72,83.62,79.21,81.50,126.33,3.25,1.26
2009-01-07,0.67,1004.03,1004.33,1003.74,24.65,23.01,25.16,24.30,23.39,22.68,91.83,88.79,90.58,161.58,3.05,0.80
2009-01-08,0.06,1004.43,1004.77,1004.07,25.93,23.41,26.41,25.38,23.79,23.05,89.17,84.42,86.79,139.58,2.63,0.80
2009-01-09,0.00,1004.75,1005.10,1004.34,26.61,23.64,27.07,26.23,24.01,23.25,86.25,82.04,84.33,88.08,3.66,1.32
2009-01-10,0.03,1004.93,1005.30,1004.56,26.99,23.62,27.58,26.48,24.21,23.32,85.75,80.62,82.83,128.83,4.77,1.60
2009-01-11,0.08,1005.04,1005.41,1004.68,26.14,23.21,26.61,25.61,23.59,22.72,86.92,81.46,84.46,81.62,3.17,0.95
2009-01-12,0.03,1004.89,1005.26,1004.54,26.58,23.31,27.11,25.99,23.88,22.95,86.17,80.83,82.83,75.96,4.15,1.45
2009-01-13,0.00,1004.45,1004.78,1004.10,26.78,23.73,27.32,26.29,24.11,23.38,86.42,80.96,83.79,79.75,3.24,1.08
2009-01-14,1.46,1005.43,1005.69,1005.10,25.60,23.72,26.04,25.28,24.07,23.45,91.29,87.75,89.58,145.62,3.17,0.85
2009-01-15,0.00,1005.13,1005.52,1004.76,26.02,23.37,26.50,25.40,23.81,22.93,88.75,83.33,85.92,158.04,3.21,0.96
2009-01-16,0.61,1005.46,1005.76,1005.08,26.37,23.10,26.93,25.95,23.70,22.81,85.67,81.25,83.33,65.54,5.23,1.71
2009-01-17,0.26,1005.70,1006.02,1005.35,26.63,24.14,27.10,26.21,24.55,23.70,88.42,84.08,86.50,124.54,1.97,0.52
2009-01-18,0.13,1005.95,1006.27,1005.62,26.99,23.80,27.66,26.45,24.39,23.30,86.21,80.92,83.83,155.25,2.85,0.78
2009-01-19,1.90,1007.00,1007.35,1006.65,23.99,22.46,24.38,23.69,22.82,22.17,92.66,90.12,91.23,206.27,3.99,1.18
2009-01-20,0.03,1007.11,1007.49,1006.68,25.22,22.63,25.68,24.84,23.08,22.32,88.29,84.42,86.25,140.54,2.90,1.06
2009-01-21,0.37,1007.31,1007.66,1006.94,25.68,23.07,26.18,25.18,23.54,22.55,88.38,83.75,86.08,69.58,3.97,1.12
