REGIAO:;N
UF:;AM
ESTACAO:;COARI
CODIGO (WMO):;A117
LATITUDE:;-4,09749999
LONGITUDE:;-63,14527777
ALTITUDE:;53
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-02,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-03,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-04,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-05,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-06,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-07,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-08,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-09,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-10,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-11,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-12,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-13,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-14,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-15,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-16,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-17,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-18,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-19,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-20,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-21,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-22,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-23,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-24,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-25,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-26,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-27,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-28,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-29,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-30,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
2010-01-31,0.17,1005.34,1005.68,1005.01,27.24,22.78,27.92,26.60,23.30,22.27,81.33,75.25,78.38,173.75,3.14,0.90
