window_size,forecast_horizon,epochs,batch_size,val_split,verbose,rmse_train,rmse_test,r2_train,r2_test
14,7,100,16,0.1,0,2549.1408183634912,6118.045380143854,0.9957850721520829,0.9785612986445825
14,7,50,16,0.2,0,2925.3965457753657,6247.339908526874,0.9945253120720032,0.9776824853206121
14,7,100,16,0.2,0,2340.667596680498,6215.443750226272,0.996387017194964,0.9776235610198444
14,7,50,16,0.1,0,2912.26359843662,6395.745292979421,0.9944749540117209,0.9767320042946827
14,7,50,32,0.1,0,2971.940149584144,6474.089692329076,0.9943556052284698,0.9761728853304684
14,7,100,32,0.2,0,2496.934596302948,6535.412833951307,0.9959426520634285,0.9755859339277813
14,7,100,32,0.1,0,2925.6315322462483,6609.700858862993,0.9945840854243134,0.9752711878978485
14,7,50,32,0.2,0,2541.3520764875984,7207.7723998099855,0.9957937072344692,0.9703071869792748
30,15,100,16,0.1,0,3936.985578865533,8019.430070800717,0.9896875451907146,0.9620063301691271
30,15,50,32,0.1,0,4536.098026207527,8542.557653888496,0.9870955898773082,0.9566511219722325
30,15,50,16,0.1,0,3437.939021877147,8691.144929124444,0.9920492504594863,0.9543847003273219
30,15,50,16,0.2,0,3618.31656009579,8693.146598158499,0.99120447947627,0.9542593686663661
30,15,100,32,0.1,0,3863.4493028314205,9055.752691988362,0.9900536646572461,0.9518747519558477
30,15,100,32,0.2,0,3904.5025215936403,9666.97675197805,0.9898235006142296,0.9436519796667313
30,15,100,16,0.2,0,4749.310956084311,9673.970919601214,0.9858281961366477,0.9435986154049839
30,15,50,32,0.2,0,3978.8495173734104,9910.14308238922,0.9893135374776155,0.9423457136648336
50,25,100,32,0.1,0,4991.682175176872,12030.378501317271,0.9833027857481476,0.9127675682673714
50,25,50,32,0.2,0,6723.83586193881,12278.317577999807,0.9705045497181675,0.9107291801811465
50,25,100,32,0.2,0,6948.256171312336,12449.421939818065,0.969766375218069,0.9048528815752923
50,25,50,32,0.1,0,6970.113795403494,12698.66304272527,0.9670930286600746,0.903588085033107
50,25,50,16,0.2,0,5123.355761732598,13059.337499353944,0.9822262542984795,0.8957962189931865
50,25,50,16,0.1,0,5258.426433894498,13163.887929936807,0.9809450084668013,0.8948078633050897
50,25,100,16,0.2,0,5884.159943258499,13104.719135394738,0.9767547860103665,0.8931189992268418
50,25,100,16,0.1,0,6015.250798212347,14551.498672510696,0.9750136438608402,0.8679824435763357
