data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2005-01-01,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-02,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-03,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-04,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-05,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-06,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-07,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-08,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-09,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-10,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-11,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-12,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-13,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-14,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-15,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-16,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-17,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-18,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-19,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-20,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-21,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-22,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-23,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-24,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-25,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-26,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-27,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-28,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-29,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-30,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-01-31,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-01,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-02,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-03,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-04,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-05,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-06,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-07,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-08,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-09,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-10,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-11,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-12,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-13,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-14,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-15,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-16,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-17,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-18,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-19,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-20,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-21,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-22,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
2005-02-23,0.16,1003.78,1004.11,1003.47,28.41,23.42,28.99,27.86,23.91,22.96,79.01,72.74,75.91,170.41,3.33,1.23
