Município,Correlação de Spearman
pimenta bueno,0.8692514621989886
moncao,0.8602224052534468
candido mendes,0.8565632214950722
santa luzia,0.8494329422429743
machadinho d'oeste,0.8489130064538282
pindare-mirim,0.8467369196475293
bela vista do maranhao,0.8284912729119027
vargem grande,0.8243300463812154
serra do navio,0.8241683406826804
mucajai,0.8205079755983203
coroata,0.8130392444427481
codo,0.8125121006324632
cantanhede,0.8116150036768424
rorainopolis,0.8016889497011566
nina rodrigues,0.801664899613457
sao felix de balsas,0.7945696436403115
moju,0.793229779538103
jaru,0.7850642278433743
alto alegre,0.7833514406640718
tartarugalzinho,0.7755389551089357
pacaraima,0.767108043057449
caracarai,0.7548158861233121
bonfim,0.7532349622051124
calcoene,0.7524462576058957
pirapemas,0.7469512626625087
normandia,0.7431802819070598
xapuri,0.7405307394267036
buriti bravo,0.7114543364597803
pedreiras,0.7062175781586582
acailandia,0.7022176266661059
buritis,0.6867445091376815
grajau,0.675820879420036
alto parnaiba,0.6724543583972044
barra do corda,0.6517435192943737
balsas,0.651571410889937
colinas,0.643300395184721
pimenteiras do oeste,0.627260874573643
sambaiba,0.6230983920039491
marechal thaumaturgo,0.6176859920379362
alto alegre do pindare,0.6165516780599177
tasso fragoso,0.6155892218935703
placido de castro,0.6149969610895145
joselandia,0.6144392782072842
araguatins,0.6096525110692386
barao de grajau,0.6085419790668881
turiacu,0.6002128278217642
sena madureira,0.5996557201519229
mirador,0.598305638862777
lajeado novo,0.5886864439235535
guajara-mirim,0.5746673417334444
ariquemes,0.5542677572118611
boa vista,0.5396015930938097
mata roma,0.5392981517021652
costa marques,0.5329288852744367
sao raimundo das mangabeiras,0.5324274659503739
barreirinhas,0.5320954706363474
juara,0.5297634721746937
juina,0.522736489262133
porto grande,0.5199891288494156
cabixi,0.5144244579832441
nova xavantina,0.5045130632945517
porto velho,0.501171372037821
carolina,0.4950632079894678
pedro afonso,0.4832544586839905
oiapoque,0.48036639473463344
governador eugenio barros,0.47740172336497183
conceicao do araguaia,0.4768019151696222
rondonopolis,0.4654538003109427
apiacas,0.4566216978957408
sao benedito do rio preto,0.4470347462068927
itiquira,0.44258660345852735
