REGIAO:;N
UF:;AM
ESTACAO:;MANAUS
CODIGO (WMO):;A101
LATITUDE:;-3,10333333
LONGITUDE:;-60,01638888
ALTITUDE:;61,25
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2003-01-01,0.52,1004.16,1004.50,1003.82,27.80,23.19,28.56,27.11,23.83,22.87,80.77,73.48,76.74,101.19,5.22,1.89
2003-01-02,0.13,1003.42,1003.85,1003.20,28.35,23.58,28.91,27.64,24.20,23.05,79.96,72.93,76.09,106.79,3.80,1.39
2003-01-03,0.76,1003.49,1003.98,1003.24,27.60,23.70,28.28,27.01,24.32,23.24,83.32,76.62,80.13,115.40,4.41,1.55
2003-01-04,0.07,1003.65,1004.05,1003.43,28.77,24.06,29.22,28.11,24.55,23.59,79.75,74.06,76.50,121.71,4.01,1.58
2003-01-05,0.06,1003.58,1003.95,1003.36,29.16,23.60,29.73,28.62,24.18,23.13,76.36,69.75,73.05,98.48,3.93,1.55
2003-01-06,0.06,1003.68,1004.08,1003.46,29.46,23.57,29.94,28.87,24.00,23.13,74.47,69.03,71.50,99.51,4.21,1.74
2003-01-07,0.27,1003.51,1003.92,1003.21,28.89,23.67,29.53,28.30,24.22,23.12,77.29,70.89,74.17,116.54,4.60,1.63
2003-01-08,0.11,1003.57,1004.02,1003.34,28.90,24.12,29.55,28.27,24.69,23.55,79.10,72.15,75.96,100.80,4.26,1.56
2003-01-09,0.21,1004.02,1004.37,1003.70,28.84,24.28,29.46,28.37,24.71,23.85,79.66,73.60,76.88,108.04,4.55,1.72
2003-01-10,0.08,1003.90,1004.20,1003.56,28.79,24.03,29.32,28.19,24.48,23.59,79.34,73.64,76.34,103.19,4.54,1.60
2003-01-11,0.38,1004.22,1004.65,1003.92,27.31,24.00,27.95,26.75,24.45,23.64,85.15,79.92,82.67,197.54,3.94,1.39
2003-01-12,0.08,1003.66,1004.08,1003.47,28.67,23.44,29.26,28.08,24.03,23.00,77.48,71.11,74.09,118.39,4.89,1.85
2003-01-13,0.07,1003.90,1004.27,1003.66,28.84,22.64,29.47,28.25,23.09,22.15,73.22,66.99,70.46,83.97,4.97,1.80
2003-01-14,0.07,1003.85,1004.22,1003.57,28.87,23.04,29.40,28.13,23.60,22.62,75.30,68.86,71.59,79.18,4.69,1.79
