REGIAO:;N
UF:;AM
ESTACAO:;LABREA
CODIGO (WMO):;A111
LATITUDE:;-7,43527777
LONGITUDE:;-64,7886111
ALTITUDE:;64
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-07-27,0.00,1004.39,1004.63,1004.14,26.85,19.04,27.63,26.01,19.83,18.45,72.13,65.52,68.26,129.13,2.60,0.75
2008-07-28,0.00,1004.89,1005.16,1004.62,26.86,19.40,27.74,26.12,19.97,18.72,71.79,64.58,68.33,128.08,2.30,0.60
2008-07-29,0.01,1004.57,1004.88,1004.27,26.51,22.18,27.31,25.85,22.55,21.70,81.25,75.42,78.79,195.92,2.55,0.73
2008-07-30,0.00,1004.05,1004.39,1003.74,26.26,21.68,26.78,25.62,22.02,21.32,80.25,75.75,77.79,301.46,3.40,0.96
2008-07-31,0.00,1003.43,1003.71,1003.16,26.64,21.56,27.41,26.04,22.10,21.12,78.92,73.50,76.12,233.21,2.76,0.95
2008-08-01,0.06,1002.77,1003.08,1002.57,27.68,21.26,28.43,27.23,21.80,20.79,73.68,68.52,71.56,212.54,2.66,0.95
2008-08-02,0.00,1002.52,1002.78,1002.28,27.42,20.72,28.23,26.75,21.27,20.14,74.00,67.58,71.00,150.29,2.76,0.83
2008-08-03,0.00,1002.12,1002.39,1001.87,27.47,20.50,28.20,26.75,20.91,19.92,72.62,66.75,69.79,174.88,2.61,0.89
2008-08-04,0.00,1002.27,1002.53,1002.01,27.04,21.01,27.76,26.33,21.41,20.40,75.50,69.17,72.62,146.42,2.41,0.69
2008-08-05,0.03,1002.95,1003.23,1002.65,28.08,22.28,28.66,27.36,22.82,21.77,76.00,69.79,72.67,154.17,3.28,0.91
2008-08-06,0.04,1002.79,1003.08,1002.45,27.85,22.23,28.66,27.13,22.66,21.74,76.50,69.88,73.42,195.92,3.35,1.04
2008-08-07,0.00,1002.93,1003.29,1002.58,27.68,21.55,28.35,27.06,22.05,21.13,74.67,69.08,71.79,248.04,2.82,0.92
2008-08-08,0.08,1003.21,1003.49,1002.85,27.82,22.43,28.71,27.20,22.88,21.90,77.58,69.67,74.38,181.96,3.48,1.13
2008-08-09,0.01,1003.82,1004.12,1003.52,27.52,21.71,28.25,26.87,22.32,21.32,77.38,71.38,74.00,147.33,2.40,0.65
2008-08-10,0.00,1003.75,1003.99,1003.52,27.61,21.11,28.23,26.94,21.74,20.58,75.04,69.04,71.83,197.42,2.12,0.64
2008-08-11,0.00,1002.71,1003.02,1002.43,27.42,22.07,27.99,26.76,22.53,21.40,77.92,71.67,75.04,212.00,1.73,0.45
2008-08-12,0.00,1003.10,1003.40,1002.67,27.72,22.20,28.53,27.11,22.70,21.88,76.83,70.96,73.96,243.50,3.91,1.21
2008-08-13,0.00,1004.21,1004.52,1003.95,27.07,21.52,27.65,26.40,21.85,21.10,77.33,72.25,74.67,139.83,3.07,0.93
2008-08-14,0.00,1004.06,1004.30,1003.78,28.02,21.19,28.75,27.40,21.78,20.75,73.42,67.38,70.42,158.29,2.55,0.82
2008-08-15,0.00,1004.25,1004.54,1004.03,27.66,19.71,28.48,26.94,20.43,19.08,70.88,63.79,67.38,190.38,2.26,0.70
2008-08-16,0.00,1002.43,1002.75,1002.17,28.01,19.71,28.72,27.30,20.37,19.04,69.12,62.54,65.88,199.29,1.75,0.55
2008-08-17,0.00,1001.74,1002.04,1001.42,27.61,21.52,28.33,26.95,21.91,21.00,74.29,68.71,71.88,191.50,2.55,0.72
2008-08-18,0.04,1002.86,1003.14,1002.56,27.23,21.86,28.02,26.55,22.35,21.43,77.50,70.92,74.38,234.21,2.96,0.78
2008-08-19,0.00,1002.91,1003.23,1002.62,26.96,21.52,27.70,26.17,22.07,20.94,77.92,71.83,74.96,199.67,2.24,0.58
2008-08-20,0.00,1002.42,1002.72,1002.12,27.63,21.81,28.44,26.83,22.25,21.30,76.08,68.67,72.54,230.88,3.11,0.95
2008-08-21,0.19,1002.28,1002.58,1001.94,27.27,22.68,28.18,26.57,23.17,21.95,81.21,72.75,77.38,208.62,2.28,0.65
2008-08-22,0.00,1002.63,1002.92,1002.37,27.27,20.00,28.10,26.56,20.95,19.32,74.46,67.54,70.50,211.29,2.99,0.99
2008-08-23,0.00,1002.75,1003.02,1002.49,26.11,16.61,27.03,25.25,17.42,15.46,66.83,57.58,62.71,157.54,2.57,0.58
2008-08-24,0.00,1002.72,1002.96,1002.40,25.85,18.46,26.50,25.11,19.03,17.68,71.33,64.46,68.17,215.38,1.85,0.47
2008-08-25,0.10,1004.02,1004.32,1003.65,26.13,21.34,26.90,25.57,21.83,20.90,79.42,73.12,76.71,183.54,3.21,0.95
2008-08-26,0.00,1003.98,1004.32,1003.75,25.23,20.46,25.74,24.59,20.81,20.00,80.25,75.42,77.83,199.12,2.45,0.70
2008-08-27,0.00,1002.20,1002.55,1001.88,27.69,21.75,28.36,27.04,22.33,21.39,76.17,70.96,73.29,253.50,2.76,0.99
2008-08-28,0.00,1001.27,1001.57,1000.99,27.97,21.00,28.75,27.33,21.51,20.59,72.00,65.96,69.25,227.67,3.25,0.95
2008-08-29,0.00,1001.36,1001.70,1001.04,27.95,21.69,28.63,27.28,22.03,21.13,73.71,67.58,71.21,105.58,2.60,0.70
2008-08-30,0.00,1001.99,1002.28,1001.64,27.18,21.75,27.68,26.76,22.08,21.48,75.38,71.08,73.25,183.46,4.03,1.28
2008-08-31,0.19,1002.62,1002.96,1002.27,26.33,21.57,27.04,25.76,22.00,21.24,79.54,73.71,76.88,175.42,3.88,1.29
