REGIAO:;N
UF:;AM
ESTACAO:;HUMAITA
CODIGO (WMO):;A112
LATITUDE:;-7,92277777
LONGITUDE:;-63,12138888
ALTITUDE:;72
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2008-04-25,0.12,1003.06,1003.48,1002.76,27.58,22.52,28.26,26.97,22.99,21.84,78.77,71.99,75.68,135.96,3.69,1.58
2008-04-26,3.62,1002.54,1002.87,1002.21,25.88,23.41,26.45,25.44,23.78,23.01,88.83,84.33,87.00,166.79,4.28,1.82
2008-04-27,0.00,1001.98,1002.28,1001.68,26.72,24.00,27.33,26.04,24.31,23.54,88.88,82.83,85.92,141.29,2.90,0.86
2008-04-28,0.01,1002.34,1002.65,1001.95,27.07,24.03,27.53,26.60,24.38,23.59,86.62,81.79,84.38,158.88,4.20,1.85
2008-04-29,0.00,1003.38,1003.72,1003.06,26.89,23.79,27.35,26.51,24.15,23.52,86.33,81.88,84.08,135.25,3.06,1.24
2008-04-30,0.25,1002.63,1002.92,1002.30,25.75,23.71,26.35,25.21,24.05,23.31,91.50,86.71,89.12,133.29,3.65,1.56
2008-05-01,0.02,1002.79,1003.11,1002.51,25.59,23.09,26.09,25.22,23.44,22.74,89.03,84.09,86.75,127.43,3.52,1.67
2008-05-02,0.03,1004.80,1004.99,1004.45,23.42,21.59,23.67,23.25,21.85,21.41,91.21,87.88,89.58,171.67,5.10,2.58
2008-05-03,0.01,1006.52,1006.80,1006.27,23.19,19.30,23.50,22.80,19.73,18.96,82.67,78.12,80.00,155.67,5.35,2.72
2008-05-04,0.00,1007.04,1007.25,1006.75,23.40,19.18,23.85,23.11,19.60,18.70,80.50,74.75,78.17,172.54,4.29,2.27
2008-05-05,0.00,1007.20,1007.43,1006.99,22.60,19.32,23.01,22.17,19.62,18.99,84.58,79.58,82.29,150.79,3.84,1.97
2008-05-06,0.02,1005.74,1006.06,1005.54,25.14,21.53,25.64,24.73,21.90,21.23,84.21,79.25,81.79,168.12,3.65,1.60
