REGIAO:;N
UF:;AM
ESTACAO:;MAUES
CODIGO (WMO):;A122
LATITUDE:;-3,39888888
LONGITUDE:;-57,6736111
ALTITUDE:;35
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.02,1007.07,1007.33,1006.84,25.86,23.83,26.22,25.53,24.17,23.57,89.35,88.22,88.78,145.61,2.02,0.44
2009-01-02,0.00,1006.38,1006.74,1006.08,26.36,23.87,26.90,25.88,24.35,23.44,87.50,85.75,86.58,134.54,2.60,0.77
2009-01-03,0.00,1004.80,1005.16,1004.48,27.22,24.10,27.67,26.66,24.47,23.61,84.71,82.67,83.67,144.38,2.84,0.83
2009-01-04,0.49,1005.86,1006.12,1005.43,25.58,23.54,26.05,25.19,23.87,23.17,89.00,87.58,88.62,208.08,2.04,0.48
2009-01-05,0.00,1006.69,1007.07,1006.40,26.23,24.00,26.64,25.76,24.39,23.65,88.67,87.38,87.92,214.67,2.76,0.64
2009-01-06,0.03,1005.75,1006.10,1005.41,27.17,24.32,27.69,26.55,24.75,23.82,85.75,83.58,84.71,207.75,1.87,0.43
2009-01-07,0.03,1006.29,1006.57,1005.98,25.04,22.91,25.50,24.77,23.32,22.63,88.38,87.33,87.96,147.08,2.31,0.55
2009-01-08,0.00,1006.57,1006.92,1006.25,26.14,23.88,26.56,25.71,24.26,23.53,88.58,86.96,87.62,141.54,2.81,0.91
2009-01-09,0.01,1006.96,1007.32,1006.56,26.84,23.85,27.35,26.42,24.27,23.56,85.17,83.25,84.21,121.96,3.16,0.94
2009-01-10,0.00,1007.19,1007.54,1006.83,26.36,23.51,27.01,25.85,24.06,23.11,85.67,83.58,84.79,130.00,3.48,0.90
2009-01-11,1.44,1007.28,1007.68,1006.89,25.16,23.13,25.62,24.74,23.51,22.74,89.17,87.71,88.62,188.62,2.47,0.55
2009-01-12,0.00,1007.05,1007.43,1006.70,26.59,24.05,27.00,26.15,24.40,23.70,87.42,85.75,86.42,148.67,3.10,0.91
2009-01-13,0.08,1006.65,1006.98,1006.26,26.33,23.86,26.81,25.93,24.27,23.53,87.25,85.71,86.42,184.54,2.17,0.68
2009-01-14,0.97,1007.43,1007.74,1007.14,25.83,23.86,26.26,25.47,24.25,23.52,89.46,88.21,89.00,160.46,2.36,0.52
2009-01-15,1.22,1007.32,1007.75,1006.92,25.35,23.65,25.76,24.97,24.05,23.33,91.08,89.88,90.25,232.92,2.57,0.50
2009-01-16,0.10,1007.64,1007.99,1007.28,26.30,24.09,26.73,25.78,24.46,23.62,88.58,87.12,87.71,118.04,3.49,0.92
2009-01-17,0.98,1007.79,1008.11,1007.46,26.23,24.08,26.70,25.80,24.48,23.69,88.62,87.17,88.00,166.79,1.86,0.39
2009-01-18,0.01,1008.15,1008.47,1007.83,26.00,24.05,26.44,25.54,24.49,23.67,90.04,88.67,89.21,149.38,2.25,0.55
2009-01-19,1.34,1009.12,1009.48,1008.78,24.68,23.00,25.05,24.45,23.34,22.79,91.04,89.91,90.49,212.53,3.64,0.81
2009-01-20,0.01,1009.24,1009.62,1008.79,25.47,23.39,25.77,25.00,23.68,23.03,89.42,88.08,88.50,204.79,2.52,0.50
2009-01-21,0.73,1009.50,1009.87,1009.12,25.53,23.29,25.99,25.24,23.72,23.05,88.25,87.08,87.67,162.54,3.10,0.85
2009-01-22,0.00,1009.35,1009.65,1009.12,25.83,23.30,26.22,25.42,23.62,22.97,86.96,85.42,86.21,164.67,1.93,0.32
2009-01-23,0.02,1008.29,1008.58,1007.99,26.03,23.50,26.57,25.57,23.96,23.10,86.96,85.21,86.21,171.58,2.35,0.62
2009-01-24,0.00,1007.05,1007.38,1006.79,25.56,23.31,25.92,25.26,23.63,23.02,88.00,86.79,87.46,193.46,2.00,0.42
2009-01-25,0.00,1005.86,1006.22,1005.51,26.10,23.94,26.53,25.60,24.33,23.55,88.92,87.54,88.12,133.21,2.66,0.57
2009-01-26,0.75,1006.91,1007.28,1006.55,25.48,23.43,25.90,25.16,23.78,23.14,88.83,87.62,88.33,163.33,2.50,0.53
2009-01-27,1.84,1007.43,1007.69,1007.10,25.44,23.55,25.85,25.06,23.90,23.19,89.96,88.67,89.42,204.58,2.41,0.55
2009-01-28,0.48,1007.23,1007.53,1006.93,24.63,23.15,24.93,24.37,23.42,22.90,92.00,91.08,91.54,187.58,2.57,0.74
2009-01-29,0.30,1007.99,1008.29,1007.62,24.95,23.49,25.28,24.66,23.81,23.24,92.25,91.29,91.83,172.29,1.98,0.37
2009-01-30,0.33,1007.83,1008.16,1007.53,25.98,24.15,26.37,25.55,24.54,23.78,90.62,89.33,89.83,150.88,1.68,0.41
2009-01-31,0.34,1007.62,1007.91,1007.34,25.20,23.44,25.68,24.77,23.86,23.08,90.79,89.33,90.21,154.50,2.26,0.50
2009-02-01,0.42,1007.64,1008.01,1007.31,25.20,23.42,25.76,24.75,23.98,23.05,90.62,89.36,89.99,190.69,2.70,0.64
2009-02-02,0.31,1007.22,1007.59,1006.92,24.07,22.70,24.38,23.77,22.99,22.42,92.50,91.62,92.08,186.21,1.85,0.32
2009-02-03,0.07,1007.06,1007.41,1006.75,25.44,23.63,25.90,24.84,24.05,23.14,90.83,89.29,90.08,143.12,2.83,0.61
2009-02-04,0.01,1007.88,1008.24,1007.48,26.46,23.97,26.94,26.04,24.41,23.64,87.50,85.96,86.50,104.67,3.00,0.88
2009-02-05,2.07,1008.47,1008.85,1008.06,25.12,23.23,25.54,24.80,23.59,22.94,89.92,88.29,89.42,163.21,2.81,0.60
2009-02-06,0.22,1007.86,1008.19,1007.54,25.41,23.68,25.96,24.97,24.18,23.28,90.83,89.54,90.25,157.79,2.09,0.45
2009-02-07,0.32,1007.59,1007.90,1007.23,25.37,23.70,25.78,25.06,24.08,23.41,91.04,89.92,90.58,190.29,2.29,0.56
2009-02-08,0.84,1007.52,1007.89,1007.10,25.58,23.84,26.01,25.19,24.26,23.51,90.75,89.83,90.21,223.79,3.52,0.89
2009-02-09,1.13,1007.74,1008.07,1007.45,25.12,23.53,25.42,24.81,23.81,23.24,91.38,90.42,90.92,222.67,2.07,0.43
2009-02-10,0.00,1007.35,1007.68,1006.98,25.92,23.94,26.30,25.47,24.29,23.57,89.88,88.46,89.04,127.58,2.14,0.50
2009-02-11,1.04,1007.78,1008.14,1007.45,25.23,23.35,25.78,24.90,23.82,23.03,89.79,88.62,89.38,148.04,3.57,1.02
2009-02-12,0.25,1006.82,1007.18,1006.57,25.01,23.20,25.48,24.57,23.62,22.82,90.58,89.21,89.83,175.75,2.72,0.53
2009-02-13,0.01,1005.15,1005.48,1004.79,25.68,23.74,25.98,25.30,24.04,23.40,89.88,88.79,89.25,217.62,2.46,0.60
2009-02-14,0.82,1005.70,1005.96,1005.40,24.48,23.07,24.71,24.31,23.27,22.88,92.08,91.42,91.79,167.29,1.49,0.16
2009-02-15,1.27,1006.48,1006.80,1006.12,23.40,22.26,23.59,23.25,22.45,22.11,93.54,93.08,93.38,107.88,3.09,0.75
2009-02-16,0.19,1005.80,1006.13,1005.53,24.88,23.37,25.19,24.47,23.65,23.01,91.96,91.00,91.50,157.50,3.05,0.80
2009-02-17,0.01,1006.30,1006.59,1005.95,25.86,23.64,26.32,25.34,24.02,23.20,88.71,87.17,87.88,157.83,2.45,0.63
2009-02-18,1.69,1006.75,1007.13,1006.35,25.45,23.35,25.95,25.05,23.72,22.97,88.92,87.25,88.29,143.92,3.65,1.05
