REGIAO:;N
UF:;AM
ESTACAO:;RIO URUBU
CODIGO (WMO):;A125
LATITUDE:;-2,7211111
LONGITUDE:;-59,94333333
ALTITUDE:;59
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.12,1004.79,1005.11,1004.51,26.31,23.81,27.05,25.89,24.34,23.35,87.64,85.33,87.08,168.91,2.15,0.51
2009-01-02,0.13,1004.17,1004.58,1003.90,27.29,23.69,28.23,26.58,24.40,22.98,83.48,79.22,81.80,153.73,4.02,1.22
2009-01-03,0.11,1003.02,1003.38,1002.71,26.34,23.46,27.11,25.72,24.14,22.92,86.38,83.20,84.84,174.58,2.63,0.70
2009-01-04,0.21,1004.12,1004.39,1003.66,26.11,23.78,26.72,25.48,24.30,23.23,88.74,86.26,87.57,160.29,2.42,0.56
2009-01-05,0.11,1004.73,1005.09,1004.37,26.81,23.66,27.58,26.25,24.29,23.15,85.20,81.78,83.91,198.46,2.78,0.78
2009-01-06,0.04,1003.81,1004.18,1003.54,26.48,23.25,27.23,25.92,23.91,22.85,85.14,81.79,83.33,223.65,2.80,0.95
2009-01-07,0.05,1004.03,1004.37,1003.70,24.39,22.76,24.71,24.15,23.02,22.49,91.15,90.14,90.86,219.25,1.87,0.43
2009-01-08,0.19,1004.48,1004.88,1004.20,26.37,23.58,26.97,25.81,24.13,23.09,86.85,84.35,85.56,170.88,2.98,0.89
2009-01-09,0.12,1004.73,1005.12,1004.36,27.38,23.86,28.13,26.82,24.44,23.33,83.44,80.18,82.09,168.73,3.27,1.08
2009-01-10,0.29,1004.93,1005.29,1004.58,26.45,23.62,26.95,25.94,24.03,23.19,86.37,83.69,85.10,157.02,3.08,0.79
2009-01-11,0.43,1005.06,1005.39,1004.64,26.03,23.12,26.82,25.63,23.70,22.68,85.95,82.51,84.64,192.27,4.47,1.19
2009-01-12,0.06,1004.80,1005.22,1004.45,26.07,23.29,26.62,25.57,23.73,22.85,86.91,83.85,85.35,174.60,3.14,0.93
2009-01-13,0.28,1004.52,1004.85,1004.16,25.95,23.61,26.65,25.43,24.26,23.08,88.31,86.04,87.33,171.73,3.37,0.78
2009-01-14,0.68,1005.29,1005.67,1005.01,25.22,22.91,25.65,24.85,23.30,22.58,88.87,86.95,87.95,172.88,2.64,0.68
2009-01-15,0.21,1004.71,1005.07,1004.36,26.66,23.49,27.58,25.92,24.16,22.76,85.19,81.26,83.76,192.85,3.70,1.04
2009-01-16,0.54,1005.30,1005.69,1004.97,25.31,23.08,25.94,24.79,23.61,22.59,88.91,86.69,87.85,165.60,2.95,0.78
2009-01-17,1.71,1005.51,1005.80,1005.13,25.38,23.33,26.04,24.97,23.83,22.83,89.27,87.37,88.95,218.46,3.02,0.81
2009-01-18,0.52,1005.48,1005.68,1005.04,25.59,22.89,26.21,25.25,23.34,22.49,86.98,84.57,86.32,166.96,2.74,0.79
2009-01-19,1.41,1005.85,1006.14,1005.44,25.80,23.28,26.58,25.30,23.84,22.77,87.73,85.01,86.92,148.40,3.12,0.92
2009-01-20,0.28,1006.07,1006.33,1005.61,26.23,23.32,26.97,25.69,23.90,22.79,86.02,83.01,84.92,218.94,2.77,0.60
2009-01-21,0.31,1006.15,1006.58,1005.88,25.42,23.09,25.88,25.02,23.49,22.77,88.80,86.76,87.82,181.73,2.22,0.54
2009-01-22,0.12,1005.78,1006.04,1005.34,26.27,23.24,27.06,25.82,23.84,22.76,85.61,82.07,84.24,198.29,3.07,0.83
2009-01-23,0.12,1005.49,1005.84,1005.22,25.24,23.04,25.61,24.89,23.38,22.74,89.14,87.44,88.30,209.54,1.69,0.48
2009-01-24,0.18,1004.67,1005.02,1004.34,25.86,23.16,26.57,25.42,23.67,22.73,86.77,84.01,85.88,191.56,2.86,0.79
2009-01-25,0.10,1004.04,1004.38,1003.70,26.42,23.54,26.95,25.86,23.98,23.08,86.50,83.72,84.94,184.27,2.65,0.89
2009-01-26,0.06,1004.51,1004.87,1004.15,26.32,23.01,26.83,25.69,23.40,22.59,84.88,81.62,83.09,148.67,2.96,0.83
2009-01-27,0.72,1005.53,1005.88,1005.18,24.72,22.81,25.05,24.51,23.06,22.56,89.89,88.46,89.49,144.60,2.08,0.37
2009-01-28,1.41,1005.18,1005.59,1004.90,25.56,23.03,25.99,25.07,23.44,22.62,88.22,85.96,86.99,164.69,2.61,0.69
2009-01-29,0.23,1005.12,1005.38,1004.73,26.04,23.21,26.76,25.60,23.71,22.77,86.49,83.47,85.54,161.67,2.83,0.83
