REGIAO:;N
UF:;AM
ESTACAO:;BARCELOS
CODIGO (WMO):;A128
LATITUDE:;-,95861111
LONGITUDE:;-62,94222221
ALTITUDE:;42
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.00,1006.22,1006.59,1005.91,26.60,22.58,27.13,26.07,23.14,22.09,83.09,77.13,80.00,136.52,3.14,1.11
2009-01-02,0.15,1005.45,1005.80,1005.17,26.24,23.31,26.94,25.57,23.93,22.94,88.58,81.92,84.96,153.38,3.29,0.89
2009-01-03,0.03,1004.24,1004.59,1003.88,26.43,23.11,27.17,25.79,23.61,22.53,86.67,80.21,83.54,139.21,2.75,0.87
2009-01-04,0.45,1005.23,1005.57,1004.84,25.78,23.70,26.46,25.10,24.13,23.14,91.62,85.67,88.75,151.21,2.54,0.57
2009-01-05,0.53,1006.54,1006.88,1006.18,25.37,23.58,25.79,24.99,24.02,23.30,91.83,88.79,90.08,154.75,3.08,1.05
2009-01-06,0.01,1005.75,1006.10,1005.48,25.77,22.87,26.31,25.27,23.39,22.35,87.54,82.75,85.33,155.04,2.64,0.77
2009-01-07,0.00,1005.02,1005.37,1004.67,26.62,22.82,27.15,25.97,23.40,22.38,84.79,78.96,81.58,117.50,2.77,0.97
2009-01-08,0.09,1005.64,1005.96,1005.23,26.37,23.27,27.11,25.79,23.70,22.83,87.08,80.12,83.96,126.83,3.86,1.39
2009-01-09,0.44,1006.22,1006.52,1005.89,25.02,23.60,25.55,24.65,23.98,23.28,93.25,89.58,91.88,118.58,3.43,1.14
2009-01-10,0.14,1006.71,1007.08,1006.34,25.40,23.32,25.92,24.95,23.72,22.99,91.04,86.17,88.71,128.96,3.27,1.04
2009-01-11,1.72,1006.80,1007.17,1006.41,24.97,23.54,25.57,24.60,23.96,23.16,93.62,88.96,91.96,168.79,2.82,0.67
2009-01-12,0.44,1006.57,1006.93,1006.26,24.99,23.23,25.50,24.48,23.57,22.88,92.33,87.71,90.21,156.04,3.53,0.85
2009-01-13,0.12,1006.49,1006.81,1006.15,25.54,23.19,26.06,24.94,23.56,22.73,90.21,84.54,87.54,141.46,3.38,1.12
2009-01-14,0.02,1007.04,1007.37,1006.70,25.40,22.78,26.05,24.82,23.25,22.35,89.17,83.62,86.42,136.92,3.16,1.09
2009-01-15,0.07,1006.92,1007.29,1006.59,25.89,23.23,26.50,25.41,23.80,22.81,88.71,83.58,86.25,185.42,3.67,1.12
