REGIAO:;N
UF:;AM
ESTACAO:;MANACAPURU
CODIGO (WMO):;A119
LATITUDE:;-3,29472221
LONGITUDE:;-60,62833332
ALTITUDE:;55
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.01,1005.12,1005.50,1004.84,27.30,23.07,27.72,26.89,23.44,22.61,80.65,75.61,78.22,119.91,2.95,1.15
2010-01-02,0.01,1003.78,1004.18,1003.46,28.07,22.80,28.44,27.62,23.22,22.40,77.50,72.88,74.79,93.58,5.05,2.22
2010-01-03,0.01,1003.75,1004.04,1003.45,26.98,23.06,27.42,26.68,23.39,22.72,81.33,76.83,79.46,126.62,4.72,2.14
2010-01-04,0.00,1004.67,1004.98,1004.34,26.63,22.56,26.94,26.23,22.88,22.21,81.00,77.46,79.25,129.83,6.05,2.97
2010-01-05,0.01,1004.31,1004.64,1004.02,27.75,22.94,28.30,27.09,23.39,22.50,79.38,73.46,76.21,85.96,4.15,1.88
2010-01-06,0.00,1003.96,1004.30,1003.61,28.45,23.42,29.10,27.89,23.92,22.96,78.00,72.58,75.38,189.04,3.39,1.36
2010-01-07,0.28,1004.68,1004.95,1004.32,26.71,23.62,27.25,26.31,23.95,23.34,85.62,80.67,83.33,216.33,3.38,1.22
2010-01-08,0.17,1004.64,1004.98,1004.37,26.74,23.08,27.20,26.28,23.52,22.76,83.88,79.54,81.29,109.92,4.74,2.00
2010-01-09,0.01,1003.92,1004.23,1003.61,27.88,22.80,28.35,27.45,23.17,22.41,77.50,72.58,75.17,72.12,4.92,2.17
2010-01-10,0.01,1003.95,1004.27,1003.61,27.21,23.22,27.91,26.73,23.63,22.88,81.25,76.33,79.08,53.17,4.38,1.69
2010-01-11,0.00,1005.44,1005.74,1005.02,25.91,23.18,26.38,25.53,23.48,22.93,87.04,83.08,85.33,88.33,4.12,1.60
2010-01-12,0.01,1006.14,1006.49,1005.81,25.64,23.19,26.03,25.25,23.49,22.95,88.42,85.00,86.50,97.04,3.83,1.43
2010-01-13,0.01,1006.43,1006.74,1006.11,26.82,23.01,27.20,26.34,23.40,22.68,83.07,79.06,80.91,100.31,3.66,1.58
2010-01-14,0.00,1005.80,1006.15,1005.45,27.93,23.45,28.54,27.45,23.92,23.00,79.96,74.50,77.67,133.29,3.52,1.37
2010-01-15,0.01,1006.50,1006.82,1006.14,26.85,23.52,27.44,26.44,24.01,23.17,84.75,79.17,82.29,175.83,4.22,1.67
2010-01-16,0.00,1006.27,1006.64,1005.89,25.50,22.91,25.95,25.12,23.15,22.68,87.50,83.62,85.75,121.29,2.82,1.14
2010-01-17,0.01,1007.28,1007.62,1006.92,25.50,23.38,25.92,25.23,23.73,23.10,89.46,86.42,88.29,229.46,4.20,1.79
2010-01-18,0.00,1006.66,1007.00,1006.33,26.75,23.60,27.24,26.30,24.06,23.21,86.29,80.88,83.67,191.75,3.57,1.52
2010-01-19,0.00,1005.54,1005.90,1005.27,26.78,23.96,27.31,26.20,24.39,23.47,87.42,82.29,85.08,153.29,2.87,1.14
2010-01-20,0.01,1004.04,1004.38,1003.75,27.84,23.64,28.60,27.28,24.25,23.32,82.08,75.88,78.92,93.08,4.11,1.86
2010-01-21,0.00,1004.27,1004.56,1003.86,26.85,23.36,27.33,26.46,23.70,23.07,83.50,79.58,81.62,74.46,4.86,2.02
2010-01-22,0.01,1005.72,1006.09,1005.35,24.81,22.98,25.03,24.56,23.19,22.73,90.62,88.67,89.62,123.00,3.75,1.45
2010-01-23,0.00,1004.89,1005.22,1004.60,25.80,23.52,26.15,25.38,23.81,23.19,88.96,85.88,87.46,170.29,3.24,1.27
2010-01-24,0.00,1004.75,1005.11,1004.42,26.53,23.11,26.90,26.23,23.49,22.88,83.83,80.46,82.08,139.92,4.93,2.42
2010-01-25,0.01,1004.09,1004.44,1003.70,27.39,23.54,27.96,26.84,23.92,23.16,82.42,77.17,79.92,98.17,5.38,2.48
2010-01-26,0.00,1004.41,1004.78,1004.06,27.50,22.97,27.87,27.11,23.39,22.57,79.54,75.29,77.46,85.75,3.77,1.66
2010-01-27,0.00,1004.43,1004.79,1004.02,27.08,23.56,27.75,26.60,24.13,23.20,84.58,78.92,81.92,187.92,4.99,1.97
2010-01-28,0.01,1003.89,1004.23,1003.64,27.55,23.20,27.99,26.97,23.76,22.76,81.54,76.04,78.50,104.42,4.16,1.90
2010-01-29,0.00,1002.37,1002.70,1002.05,29.06,23.52,29.59,28.62,23.90,23.21,75.75,71.42,73.54,76.46,4.62,2.25
