codigo_estacao,municipio,uf
471000,ATALAIA DO NORTE,AM
572000,ATALAIA DO NORTE,AM
470001,BENJAMIN CONSTANT,AM
470002,ATALAIA DO NORTE,AM
470005,ATALAIA DO NORTE,AM
470009,ATALAIA DO NORTE,AM
469000,TABATINGA,AM
469001,TABATINGA,AM
770000,ENVIRA,AM
770001,EIRUNEPÉ,AM
771000,IPIXUNA,AM
772002,IPIXUNA,AM
670000,EIRUNEPÉ,AM
567002,CARAUARI,AM
568001,JUTAÍ,AM
569001,JUTAÍ,AM
668000,CARAUARI,AM
669000,EIRUNEPÉ,AM
669001,EIRUNEPÉ,AM
468003,JUTAÍ,AM
468004,JUTAÍ,AM
567001,CARAUARI,AM
466001,CARAUARI,AM
466002,CARAUARI,AM
467002,JUTAÍ,AM
366000,JURUÁ,AM
366001,JURUÁ,AM
367001,JUTAÍ,AM
465000,TEFÉ,AM
465001,TEFÉ,AM
363000,COARI,AM
364000,TEFÉ,AM
364001,TEFÉ,AM
364002,ALVARÃES,AM
364004,TEFÉ,AM
266004,JUTAÍ,AM
266005,FONTE BOA,AM
267001,FONTE BOA,AM
169000,JAPURÁ,AM
169002,JAPURÁ,AM
265000,MARAÃ,AM
266000,FONTE BOA,AM
165000,MARAÃ,AM
166000,JAPURÁ,AM
167001,JAPURÁ,AM
8062000,BARCELOS,AM
360006,IRANDUBA,AM
361001,CODAJÁS,AM
360000,MANAUS,AM
360001,MANACAPURU,AM
360005,MANAUS,AM
261000,NOVO AIRÃO,AM
261001,CAAPIRANGA,AM
359000,MANAUS,AM
359003,MANAUS,AM
359005,MANAUS,AM
260003,MANAUS,AM
260006,NOVO AIRÃO,AM
260008,IRANDUBA,AM
260009,MANAUS,AM
260000,MANAUS,AM
260001,MANAUS,AM
260002,MANAUS,AM
161004,NOVO AIRÃO,AM
162000,BARCELOS,AM
162002,BARCELOS,AM
162003,BARCELOS,AM
67000,SÃO GABRIEL DA CACHOEIRA,AM
67002,SÃO GABRIEL DA CACHOEIRA,AM
161002,BARCELOS,AM
65001,SANTA IZABEL DO RIO NEGRO,AM
65002,SANTA IZABEL DO RIO NEGRO,AM
66000,SÃO GABRIEL DA CACHOEIRA,AM
66002,SÃO GABRIEL DA CACHOEIRA,AM
62002,BARCELOS,AM
63000,BARCELOS,AM
62000,BARCELOS,AM
8169000,SÃO GABRIEL DA CACHOEIRA,AM
8169011,SÃO GABRIEL DA CACHOEIRA,AM
8069005,SÃO GABRIEL DA CACHOEIRA,AM
8166000,SÃO GABRIEL DA CACHOEIRA,AM
8167000,SÃO GABRIEL DA CACHOEIRA,AM
8168000,SÃO GABRIEL DA CACHOEIRA,AM
8069000,SÃO GABRIEL DA CACHOEIRA,AM
8069003,SÃO GABRIEL DA CACHOEIRA,AM
8069004,SÃO GABRIEL DA CACHOEIRA,AM
8066001,SÃO GABRIEL DA CACHOEIRA,AM
8066002,SÃO GABRIEL DA CACHOEIRA,AM
8067001,SÃO GABRIEL DA CACHOEIRA,AM
8067002,SÃO GABRIEL DA CACHOEIRA,AM
8067003,SÃO GABRIEL DA CACHOEIRA,AM
8068000,SÃO GABRIEL DA CACHOEIRA,AM
458001,BORBA,AM
358002,ITACOATIARA,AM
358003,NOVA OLINDA DO NORTE,AM
357001,MAUÉS,AM
357003,MAUÉS,AM
357004,MAUÉS,AM
358000,ITACOATIARA,AM
258001,URUCARÁ,AM
259000,PRESIDENTE FIGUEIREDO,AM
259005,RIO PRETO DA EVA,AM
260007,PRESIDENTE FIGUEIREDO,AM
256002,NHAMUNDÁ,AM
257000,URUCARÁ,AM
257001,BARREIRINHA,AM
257002,BOA VISTA DO RAMOS,AM
257003,PARINTINS,AM
159006,PRESIDENTE FIGUEIREDO,AM
159007,PRESIDENTE FIGUEIREDO,AM
160000,PRESIDENTE FIGUEIREDO,AM
160001,PRESIDENTE FIGUEIREDO,AM
256000,PARINTINS,AM
158003,URUCARÁ,AM
159000,PRESIDENTE FIGUEIREDO,AM
159001,PRESIDENTE FIGUEIREDO,AM
59002,PRESIDENTE FIGUEIREDO,AM
59003,PRESIDENTE FIGUEIREDO,AM
157001,NHAMUNDÁ,AM
59001,PRESIDENTE FIGUEIREDO,AM
368001,SÃO PAULO DE OLIVENÇA,AM
369000,SÃO PAULO DE OLIVENÇA,AM
268000,SANTO ANTÔNIO DO IÇÁ,AM
269001,SANTO ANTÔNIO DO IÇÁ,AM
367000,SANTO ANTÔNIO DO IÇÁ,AM
765000,LÁBREA,AM
765001,LÁBREA,AM
765002,LÁBREA,AM
766001,PAUINI,AM
764001,LÁBREA,AM
764003,LÁBREA,AM
563002,TAPAUÁ,AM
564001,TAPAUÁ,AM
564002,TAPAUÁ,AM
664000,TAPAUÁ,AM
664001,CANUTAMA,AM
463003,COARI,AM
563000,TEFÉ,AM
462001,BERURI,AM
462002,TAPAUÁ,AM
463001,COARI,AM
361000,MANACAPURU,AM
362001,CODAJÁS,AM
362002,CODAJÁS,AM
363002,CODAJÁS,AM
967001,BOCA DO ACRE,AM
967004,LÁBREA,AM
968001,BOCA DO ACRE,AM
