REGIAO:;N
UF:;AM
ESTACAO:;MANAUS
CODIGO (WMO):;A101
LATITUDE:;-3,10333333
LONGITUDE:;-60,01638888
ALTITUDE:;61,25
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2007-01-01,0.51,1004.44,1004.87,1004.20,27.49,24.26,27.88,26.96,24.67,24.00,85.96,81.35,83.30,121.91,3.96,1.25
2007-01-02,0.19,1003.68,1004.04,1003.33,27.02,24.63,27.58,26.55,24.98,24.19,88.92,84.12,86.92,119.58,3.19,0.90
2007-01-03,1.20,1004.12,1004.48,1003.76,26.20,24.15,26.66,25.86,24.48,23.89,90.17,86.33,88.67,215.62,2.98,0.83
2007-01-04,1.94,1003.42,1003.74,1003.10,25.76,24.06,26.10,25.46,24.38,23.82,91.51,89.49,90.60,212.33,2.75,0.67
2007-01-05,1.09,1003.14,1003.50,1002.78,25.41,23.47,25.69,25.11,23.71,23.25,90.50,87.75,89.17,177.79,2.99,0.91
2007-01-06,0.23,1003.36,1003.67,1003.05,25.75,23.70,26.20,25.44,24.07,23.47,90.42,86.54,88.50,195.38,2.44,0.60
2007-01-07,0.21,1003.09,1003.42,1002.80,27.28,24.17,27.93,26.60,24.72,23.79,88.25,80.75,84.29,149.67,2.23,0.54
2007-01-08,0.55,1002.81,1003.15,1002.48,27.53,24.59,28.16,26.93,25.13,24.20,87.75,81.67,84.38,124.46,2.73,0.85
2007-01-09,0.38,1003.24,1003.56,1002.93,26.19,23.82,26.58,25.85,24.12,23.53,88.96,84.38,86.88,162.33,2.43,0.63
2007-01-10,0.72,1003.60,1003.93,1003.26,25.68,24.02,26.05,25.32,24.32,23.73,91.88,89.00,90.62,194.62,2.35,0.48
2007-01-11,1.22,1004.01,1004.36,1003.70,25.00,23.26,25.32,24.69,23.52,23.05,91.50,88.92,90.17,159.38,2.95,0.74
2007-01-12,0.08,1003.14,1003.50,1002.89,26.49,23.63,26.99,25.85,24.03,23.22,87.88,82.71,85.17,152.17,3.03,0.90
2007-01-13,0.79,1001.80,1002.14,1001.51,26.94,24.29,27.42,26.50,24.65,23.96,87.96,83.54,85.96,213.54,2.74,0.92
2007-01-14,0.04,1002.01,1002.34,1001.71,27.10,24.26,27.63,26.56,24.62,23.97,87.42,82.50,84.88,94.25,4.39,1.41
2007-01-15,0.01,1002.05,1002.37,1001.72,27.61,24.28,28.08,27.09,24.57,23.89,84.96,79.82,82.73,202.08,2.88,0.87
2007-01-16,0.00,1002.08,1002.42,1001.76,27.86,24.91,28.20,27.50,25.28,24.60,86.67,82.25,84.29,171.62,2.63,0.86
2007-01-17,2.07,1003.06,1003.38,1002.70,25.71,24.20,26.09,25.46,24.45,23.97,92.04,89.96,91.50,166.25,3.32,0.78
2007-01-18,0.01,1003.43,1003.77,1003.14,27.10,23.71,27.51,26.58,24.26,23.22,85.54,80.54,82.79,196.00,2.24,0.63
2007-01-19,0.02,1002.96,1003.32,1002.59,27.47,24.44,28.17,26.90,24.92,24.03,86.42,80.50,83.79,228.75,3.02,0.85
2007-01-20,3.12,1004.29,1004.65,1003.94,25.90,24.02,26.16,25.69,24.25,23.83,90.62,88.04,89.38,132.83,3.25,0.83
2007-01-21,0.43,1004.09,1004.45,1003.78,27.58,24.77,28.13,26.86,25.10,24.28,88.04,82.58,85.25,107.71,2.53,0.73
2007-01-22,0.03,1003.42,1003.79,1003.15,28.32,24.74,28.85,27.65,25.34,24.14,85.08,78.42,81.58,155.00,2.38,0.66
2007-01-23,0.00,1002.41,1002.77,1002.10,27.73,24.90,28.31,27.17,25.27,24.39,87.29,82.25,85.12,226.79,2.24,0.47
2007-01-24,0.00,1002.09,1002.43,1001.77,27.53,24.92,28.07,27.03,25.32,24.57,88.08,83.92,86.25,132.12,2.73,0.73
2007-01-25,0.33,1001.88,1002.20,1001.61,28.35,24.61,29.02,27.65,25.11,24.28,84.88,77.88,80.88,109.62,3.51,0.93
2007-01-26,0.00,1002.72,1002.98,1002.36,28.92,23.69,29.44,28.32,24.18,23.21,78.58,72.12,75.21,90.38,3.21,0.77
2007-01-27,0.33,1004.12,1004.43,1003.83,28.44,24.63,29.22,27.84,25.43,24.08,84.12,77.17,81.00,242.42,2.38,0.62
2007-01-28,0.01,1004.25,1004.58,1003.97,28.86,24.02,29.20,28.27,24.53,23.67,80.00,74.62,76.67,164.71,3.18,1.18
2007-01-29,0.06,1004.18,1004.51,1003.86,29.86,23.62,30.43,29.32,24.19,23.09,73.54,66.50,69.92,220.00,3.55,1.30
2007-01-30,0.02,1004.18,1004.55,1003.88,29.18,24.04,29.80,28.57,24.56,23.60,78.38,70.71,74.33,111.96,4.30,1.51
2007-01-31,0.00,1003.55,1003.88,1003.23,28.57,24.12,29.05,28.16,24.55,23.76,79.88,74.88,77.38,186.38,4.22,1.34
2007-02-01,0.03,1004.43,1004.73,1004.13,28.20,24.91,28.71,27.74,25.32,24.40,85.59,79.40,82.81,162.45,2.61,0.69
2007-02-02,0.00,1004.48,1004.83,1004.20,28.81,24.21,29.14,28.34,24.61,23.86,80.04,75.29,77.38,110.50,4.03,1.70
2007-02-03,0.00,1003.86,1004.21,1003.58,29.68,23.90,30.14,29.25,24.42,23.52,75.46,69.71,72.33,65.83,4.20,1.60
2007-02-04,0.01,1003.40,1003.70,1003.12,29.65,23.03,30.12,29.19,23.52,22.64,71.42,65.75,68.33,41.75,4.76,1.47
2007-02-05,0.00,1003.57,1003.86,1003.30,30.14,21.98,30.55,29.58,22.50,21.55,65.58,60.38,62.58,94.25,4.23,1.32
2007-02-06,0.00,1003.37,1003.65,1003.07,30.18,22.48,30.72,29.75,23.02,21.96,66.83,60.71,63.92,149.96,4.36,1.40
2007-02-07,0.02,1004.06,1004.35,1003.75,28.32,23.54,28.66,27.90,24.13,23.01,79.71,73.54,76.29,99.29,3.82,1.45
2007-02-08,0.00,1004.60,1004.92,1004.33,28.95,23.23,29.33,28.56,23.90,22.65,75.79,69.00,72.46,89.92,3.95,1.32
2007-02-09,0.00,1004.48,1004.78,1004.17,29.05,24.57,29.45,28.72,24.87,24.20,79.29,74.75,77.25,89.21,4.48,1.90
2007-02-10,0.10,1006.40,1006.69,1005.98,27.13,23.98,27.66,26.72,24.32,23.64,85.33,80.42,83.21,113.08,4.04,1.43
2007-02-11,0.07,1006.03,1006.45,1005.74,27.28,23.65,27.74,26.77,24.05,23.29,84.08,79.29,81.58,79.46,4.15,1.52
2007-02-12,0.00,1004.35,1004.70,1004.07,28.55,23.58,29.06,27.80,24.07,23.17,79.12,72.42,75.25,159.46,3.32,1.10
2007-02-13,0.12,1004.00,1004.39,1003.66,27.20,23.80,27.76,26.88,24.27,23.50,84.50,79.17,82.00,148.96,4.33,1.39
2007-02-14,0.00,1002.72,1003.08,1002.44,28.60,23.60,29.07,28.02,24.05,23.17,79.38,74.17,76.46,93.88,3.90,1.28
2007-02-15,0.00,1001.57,1001.84,1001.31,29.97,22.40,30.65,29.42,22.95,21.94,68.83,62.04,65.50,95.71,4.40,1.60
2007-02-16,0.00,1001.04,1001.37,1000.76,29.76,23.03,30.24,29.25,23.47,22.64,71.17,65.71,68.29,55.12,5.25,1.88
2007-02-17,0.00,1001.33,1001.64,1001.02,30.22,23.63,30.65,29.65,24.09,23.20,72.12,66.58,69.21,61.54,4.12,1.64
2007-02-18,0.00,1002.76,1003.08,1002.40,30.13,23.07,30.70,29.60,23.62,22.62,70.50,64.42,67.42,96.00,3.61,1.26
2007-02-19,0.00,1002.79,1003.12,1002.51,29.75,22.74,30.40,29.20,23.31,22.22,70.00,63.79,67.12,74.71,3.21,1.40
2007-02-20,1.20,1001.83,1002.15,1001.50,28.77,23.42,29.57,28.09,24.01,22.85,78.21,70.25,74.71,90.29,4.00,1.41
2007-02-21,0.65,1002.86,1003.19,1002.57,26.60,23.25,26.96,26.20,23.62,22.89,84.92,80.79,82.62,105.96,4.71,1.80
2007-02-22,0.00,1004.00,1004.26,1003.72,28.17,23.41,28.64,27.70,23.84,23.10,78.67,73.79,76.00,87.46,5.21,2.20
2007-02-23,0.00,1004.62,1004.96,1004.38,29.00,23.32,29.37,28.65,23.81,22.85,74.83,69.79,72.50,83.42,5.25,2.15
2007-02-24,0.16,1004.02,1004.36,1003.72,29.16,23.69,29.74,28.74,24.21,23.30,75.62,69.83,72.88,81.17,5.52,2.02
2007-02-25,0.00,1004.30,1004.65,1003.88,28.15,24.01,28.61,27.61,24.59,23.65,82.62,76.50,78.96,120.67,4.00,1.22
2007-02-26,1.88,1004.64,1005.08,1004.20,27.05,24.04,27.47,26.51,24.35,23.62,86.83,81.54,84.08,256.29,3.02,0.77
2007-02-27,1.35,1005.08,1005.50,1004.70,26.32,23.46,26.85,25.95,23.91,23.17,86.54,82.21,84.58,159.33,3.47,1.05
2007-02-28,0.01,1002.92,1003.28,1002.67,26.81,23.07,27.32,26.30,23.46,22.68,83.26,77.94,80.89,112.83,3.54,1.26
2007-03-01,0.12,1002.29,1002.73,1001.92,27.03,23.37,27.47,26.44,23.82,22.96,83.79,78.88,81.12,93.71,3.72,1.18
2007-03-02,0.16,1002.02,1002.35,1001.70,27.27,23.76,27.91,26.65,24.19,23.25,84.58,77.46,81.38,93.25,3.20,1.04
2007-03-03,0.02,1002.54,1002.87,1002.18,26.68,24.03,27.02,26.39,24.33,23.75,87.17,83.96,85.62,130.88,3.14,1.08
2007-03-04,0.18,1002.85,1003.20,1002.51,27.37,23.80,27.88,26.95,24.13,23.43,83.79,78.71,81.71,97.88,3.93,1.29
2007-03-05,0.39,1003.36,1003.65,1003.07,26.76,23.92,27.27,26.24,24.50,23.62,88.25,82.62,85.04,138.62,3.08,0.95
2007-03-06,0.01,1004.68,1005.05,1004.30,27.17,23.47,27.57,26.71,23.87,23.15,83.83,78.71,81.00,94.04,3.67,1.23
2007-03-07,0.85,1005.50,1005.89,1005.16,26.65,23.78,27.26,26.17,24.20,23.40,87.71,81.54,84.88,205.25,3.20,0.70
2007-03-08,1.15,1005.19,1005.61,1004.84,25.75,23.47,26.08,25.40,23.83,23.17,89.50,85.88,87.50,157.71,2.52,0.75
2007-03-09,0.02,1003.90,1004.28,1003.62,27.07,23.66,27.57,26.59,24.04,23.22,84.75,78.83,82.12,117.12,3.21,1.05
2007-03-10,0.28,1003.93,1004.30,1003.52,26.30,23.97,26.78,25.86,24.34,23.62,89.21,84.62,87.29,194.96,3.14,0.85
2007-03-11,0.06,1003.77,1004.07,1003.50,27.78,23.96,28.20,27.31,24.34,23.63,83.46,78.46,80.79,108.38,3.40,1.13
2007-03-12,0.29,1003.59,1003.89,1003.28,27.10,23.87,27.79,26.53,24.43,23.35,86.62,78.92,83.21,132.92,3.15,1.00
2007-03-13,1.91,1004.60,1004.95,1004.27,25.85,23.98,26.25,25.49,24.28,23.76,91.25,87.54,89.50,196.75,2.82,0.73
2007-03-14,0.01,1004.82,1005.16,1004.52,26.45,23.18,26.82,26.16,23.53,22.99,84.71,80.96,82.67,118.92,3.66,1.31
2007-03-15,0.02,1003.75,1004.10,1003.42,27.26,23.49,27.64,26.87,23.95,23.20,83.79,79.04,81.08,136.25,3.05,1.06
2007-03-16,0.00,1004.47,1004.89,1004.10,27.96,23.26,28.41,27.56,23.60,22.88,78.88,74.08,76.71,66.46,4.92,1.88
2007-03-17,0.23,1003.73,1004.08,1003.35,27.92,24.11,28.54,27.40,24.53,23.63,83.04,76.50,80.17,112.38,3.62,1.11
2007-03-18,0.18,1004.60,1004.96,1004.19,26.63,23.81,27.05,26.32,24.15,23.57,86.54,82.42,84.75,158.38,3.10,1.00
2007-03-19,0.16,1005.63,1006.00,1005.30,26.80,24.07,27.06,26.49,24.35,23.82,87.04,83.62,85.38,147.75,2.90,0.96
