REGIAO:;N
UF:;AM
ESTACAO:;COARI
CODIGO (WMO):;A117
LATITUDE:;-4,09749999
LONGITUDE:;-63,14527777
ALTITUDE:;53
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.06,1005.43,1005.77,1005.16,26.48,23.56,27.00,26.03,24.06,23.15,87.09,82.22,84.78,156.43,3.04,1.11
2009-01-02,0.02,1004.46,1004.83,1004.15,27.75,23.49,28.17,27.24,23.97,23.18,82.17,77.46,79.42,123.67,3.40,1.35
2009-01-03,0.24,1003.37,1003.71,1002.99,27.28,23.53,27.93,26.45,24.00,22.93,84.75,77.38,80.88,134.08,3.75,1.18
2009-01-04,0.22,1004.93,1005.26,1004.49,25.87,23.61,26.23,25.57,23.92,23.32,89.21,85.58,87.54,161.71,3.73,1.57
2009-01-05,0.00,1005.40,1005.78,1005.02,27.20,23.15,27.75,26.54,23.62,22.67,82.92,77.25,79.96,193.21,3.65,1.58
2009-01-06,2.08,1004.68,1005.12,1004.32,25.98,23.39,26.38,25.58,23.76,23.07,88.12,84.62,86.29,232.75,3.44,1.32
2009-01-07,0.23,1004.48,1004.82,1004.09,25.86,23.78,26.42,25.53,24.10,23.40,89.83,85.58,88.54,175.29,2.91,1.06
2009-01-08,0.18,1004.83,1005.21,1004.46,26.05,22.82,26.66,25.58,23.38,22.38,86.04,80.71,83.50,128.46,3.98,1.33
2009-01-09,1.39,1005.27,1005.59,1004.88,25.64,23.35,26.36,25.18,23.81,23.04,89.88,83.92,87.38,149.83,4.17,1.40
2009-01-10,0.36,1005.93,1006.31,1005.54,25.69,23.48,26.29,25.13,23.88,23.11,90.25,85.17,88.04,127.46,3.16,0.97
2009-01-11,0.38,1006.25,1006.59,1005.90,25.18,23.31,25.60,24.73,23.62,22.98,91.88,87.21,89.50,171.25,2.75,0.96
2009-01-12,0.36,1005.94,1006.30,1005.59,24.78,22.80,25.32,24.32,23.12,22.43,90.92,86.54,89.12,155.38,3.02,0.85
2009-01-13,0.38,1005.80,1006.14,1005.40,24.67,22.74,25.09,24.21,23.10,22.44,91.62,87.38,89.42,136.42,3.15,0.96
2009-01-14,0.29,1006.36,1006.68,1006.04,25.78,23.00,26.47,25.28,23.46,22.53,87.75,81.50,85.50,147.50,3.66,1.20
2009-01-15,0.12,1006.05,1006.40,1005.75,26.23,23.34,26.71,25.65,23.74,22.79,87.54,82.46,84.83,202.88,3.25,1.22
2009-01-16,1.56,1006.36,1006.65,1005.95,26.00,23.15,26.74,25.53,23.67,22.73,87.54,82.00,85.25,248.67,4.79,1.74
2009-01-17,0.30,1006.52,1006.84,1006.25,25.65,22.65,26.14,25.06,23.24,22.20,88.04,81.92,84.50,185.50,3.60,0.84
2009-01-18,0.03,1006.80,1007.10,1006.43,25.87,23.45,26.33,25.48,23.84,23.04,89.08,84.29,86.92,165.67,2.67,0.73
2009-01-19,0.50,1007.23,1007.66,1006.90,25.64,22.75,26.11,25.19,23.18,22.22,87.01,82.21,84.62,153.32,3.49,1.33
2009-01-20,0.30,1007.99,1008.32,1007.66,26.28,22.98,26.81,25.86,23.55,22.66,86.21,80.75,83.21,116.71,3.36,1.15
2009-01-21,0.02,1007.60,1007.91,1007.30,25.73,23.44,26.22,25.44,23.78,23.02,89.08,84.42,87.46,172.88,3.11,1.17
2009-01-22,0.02,1007.23,1007.62,1006.86,26.32,22.85,26.72,25.78,23.25,22.34,85.00,80.29,82.50,113.92,3.21,1.16
2009-01-23,0.22,1007.23,1007.54,1006.96,24.92,22.63,25.42,24.63,23.00,22.36,89.33,84.67,87.25,188.88,3.39,1.08
2009-01-24,0.02,1005.15,1005.51,1004.90,25.93,22.77,26.39,25.36,23.30,22.20,86.62,81.42,83.92,189.83,2.95,1.10
2009-01-25,0.00,1004.25,1004.59,1003.88,26.85,23.44,27.26,26.45,23.88,23.10,84.67,79.71,82.25,237.50,3.48,1.26
2009-01-26,0.97,1004.75,1005.11,1004.32,26.51,23.46,27.19,26.03,24.02,23.04,87.04,81.12,84.33,135.38,3.66,1.24
2009-01-27,1.93,1005.82,1006.17,1005.50,25.29,23.23,25.85,24.77,23.62,22.91,91.00,86.67,88.88,140.04,4.01,1.48
2009-01-28,2.95,1006.19,1006.49,1005.82,24.40,22.64,24.81,24.04,23.00,22.32,91.88,88.46,90.25,206.92,3.62,1.09
2009-01-29,0.40,1006.70,1006.98,1006.41,24.73,22.87,25.13,24.22,23.20,22.47,91.67,87.38,89.54,119.92,3.39,1.05
2009-01-30,0.72,1006.61,1006.94,1006.32,26.31,23.14,26.82,25.82,23.62,22.68,86.46,80.96,83.58,123.33,3.20,1.24
2009-01-31,0.07,1006.35,1006.66,1005.96,25.99,23.74,26.56,25.53,24.15,23.40,89.83,85.46,87.92,203.25,3.29,1.03
2009-02-01,0.12,1006.32,1006.74,1006.00,26.22,22.76,26.75,25.67,23.38,22.30,85.94,80.42,82.69,177.98,3.21,1.09
2009-02-02,0.07,1005.35,1005.73,1004.99,26.82,22.45,27.46,26.23,22.93,21.88,81.33,74.88,78.21,109.42,4.50,1.75
2009-02-03,0.01,1004.97,1005.35,1004.59,27.65,23.54,28.29,27.01,23.97,23.01,82.58,76.38,79.62,113.38,3.95,1.51
2009-02-04,0.25,1006.39,1006.74,1005.95,25.75,23.03,26.36,25.15,23.54,22.65,88.79,82.54,85.62,144.67,4.49,1.54
2009-02-05,0.23,1006.79,1007.13,1006.50,25.72,23.09,26.28,25.12,23.50,22.60,88.58,83.88,86.29,123.83,3.98,1.65
2009-02-06,0.01,1006.07,1006.40,1005.77,26.50,23.15,27.08,25.84,23.56,22.71,85.75,80.54,83.08,130.29,3.73,1.54
2009-02-07,2.66,1006.61,1006.89,1006.19,25.63,23.43,26.24,25.17,23.89,23.12,90.29,85.38,88.04,135.79,4.97,1.90
2009-02-08,0.06,1007.03,1007.38,1006.73,25.12,22.88,25.70,24.75,23.33,22.45,89.58,85.25,87.96,190.58,3.75,1.63
2009-02-09,0.11,1006.19,1006.51,1005.96,25.50,22.69,25.99,24.99,23.10,22.32,87.92,83.33,85.29,163.88,2.53,0.94
2009-02-10,0.00,1005.25,1005.56,1004.92,26.97,23.35,27.71,26.44,23.95,23.00,85.04,78.88,81.96,129.17,3.28,1.26
2009-02-11,0.06,1006.06,1006.37,1005.68,26.49,24.04,27.07,26.00,24.35,23.51,88.58,83.42,86.71,183.62,2.82,0.75
2009-02-12,0.07,1005.69,1006.01,1005.40,25.72,23.31,26.20,25.29,23.68,22.91,89.29,84.33,87.25,147.04,3.25,1.00
2009-02-13,1.35,1003.76,1004.14,1003.39,25.80,23.50,26.47,25.38,23.86,23.15,89.75,84.50,87.62,169.62,3.50,1.15
2009-02-14,0.02,1003.65,1003.97,1003.33,25.35,23.20,25.66,25.10,23.51,22.97,89.83,86.75,88.25,142.71,3.35,1.41
2009-02-15,0.03,1003.73,1004.04,1003.39,26.15,23.00,26.69,25.68,23.43,22.62,85.88,81.33,83.79,92.96,3.83,1.56
2009-02-16,0.00,1003.44,1003.75,1003.14,27.28,22.67,27.66,26.72,23.15,22.18,80.54,75.50,77.75,78.21,4.58,1.80
2009-02-17,0.86,1004.42,1004.71,1004.05,26.69,23.54,27.26,26.18,24.03,23.10,86.42,80.79,83.79,127.25,4.38,1.79
2009-02-18,0.05,1004.49,1004.84,1004.18,26.33,23.49,26.86,25.80,23.86,23.08,87.38,82.17,84.79,100.17,3.93,1.75
2009-02-19,0.12,1004.45,1004.82,1004.10,26.59,23.31,27.25,25.98,23.80,22.98,86.21,79.88,82.88,97.92,4.50,1.82
2009-02-20,5.12,1004.86,1005.18,1004.50,24.08,22.63,24.44,23.88,22.96,22.43,92.92,90.08,91.75,198.12,3.97,1.40
2009-02-21,0.00,1004.27,1004.60,1003.95,25.34,22.77,25.88,24.89,23.18,22.40,88.54,83.96,86.42,182.42,3.11,1.08
2009-02-22,0.08,1005.53,1005.90,1005.16,25.92,23.19,26.37,25.46,23.57,22.78,87.50,83.00,85.50,91.62,4.34,1.87
2009-02-23,0.01,1005.14,1005.49,1004.80,26.19,23.03,26.65,25.73,23.43,22.66,86.04,80.96,83.67,116.79,3.28,1.20
2009-02-24,0.98,1005.56,1005.90,1005.20,24.37,22.69,24.58,24.17,22.96,22.47,91.54,89.12,90.38,215.29,4.09,1.66
2009-02-25,0.02,1005.12,1005.49,1004.80,26.54,22.55,27.00,25.90,23.02,22.00,83.29,76.67,79.92,223.62,3.74,1.44
2009-02-26,0.23,1005.40,1005.77,1005.02,25.85,23.42,26.43,25.45,23.85,22.98,89.29,83.17,86.79,150.17,3.05,0.92
2009-02-27,0.02,1004.29,1004.65,1003.99,27.33,23.18,27.77,26.83,23.71,22.82,82.62,77.88,79.83,98.29,3.81,1.65
2009-02-28,0.02,1004.90,1005.12,1004.50,25.80,23.56,26.30,25.46,23.94,23.26,89.46,85.08,87.71,156.75,3.08,1.22
2009-03-01,0.03,1005.47,1005.90,1005.15,26.68,23.05,27.14,26.17,23.40,22.56,84.21,79.17,81.79,73.67,3.69,1.50
2009-03-02,0.83,1005.15,1005.46,1004.77,26.22,23.77,26.98,25.57,24.23,23.35,90.00,83.62,87.08,127.96,3.46,1.19
2009-03-03,0.03,1005.50,1005.84,1005.15,27.13,23.85,27.70,26.55,24.42,23.37,86.46,81.00,83.50,167.12,3.45,1.20
2009-03-04,0.24,1005.82,1006.13,1005.39,26.24,23.42,26.85,25.86,23.88,23.01,87.42,81.38,85.08,186.33,3.87,1.21
2009-03-05,0.02,1006.52,1006.97,1006.13,26.67,23.03,27.12,26.12,23.45,22.55,84.62,79.33,81.92,139.67,3.45,1.34
2009-03-06,0.24,1006.93,1007.32,1006.55,25.99,22.81,26.44,25.64,23.25,22.53,85.79,81.08,83.42,168.04,4.49,1.81
2009-03-07,1.53,1006.39,1006.81,1006.01,25.11,22.91,25.70,24.65,23.21,22.49,90.12,84.62,87.88,189.92,2.38,0.79
2009-03-08,0.72,1005.63,1005.95,1005.20,25.96,23.54,26.56,25.60,24.02,23.16,89.25,84.21,87.21,165.00,3.38,1.10
2009-03-09,0.07,1005.15,1005.60,1004.78,26.22,23.00,26.62,25.74,23.46,22.55,86.08,81.50,83.71,134.21,3.05,1.07
2009-03-10,1.05,1004.89,1005.17,1004.56,26.12,23.47,26.69,25.81,23.86,23.14,87.54,82.88,85.54,129.92,3.93,1.53
2009-03-11,0.05,1004.48,1004.91,1004.13,25.15,23.07,25.55,24.81,23.46,22.80,90.62,86.67,88.71,170.25,3.34,1.10
2009-03-12,0.01,1004.22,1004.59,1003.77,26.42,23.24,26.78,25.96,23.63,22.79,86.04,81.88,84.00,111.92,2.89,1.07
2009-03-13,0.49,1004.70,1005.11,1004.35,25.73,23.04,26.43,25.18,23.46,22.50,88.08,81.96,85.79,134.00,4.69,1.60
2009-03-14,0.05,1005.84,1006.20,1005.35,26.07,23.31,26.68,25.65,23.79,22.90,87.96,82.58,85.50,190.75,3.70,1.46
2009-03-15,6.63,1008.30,1008.70,1007.78,23.53,22.26,23.80,23.25,22.59,22.01,93.92,91.79,92.71,215.79,4.38,1.38
2009-03-16,0.02,1007.68,1008.08,1007.38,25.53,22.29,25.97,25.07,22.71,21.81,86.08,80.96,83.58,174.96,3.18,1.10
2009-03-17,0.00,1005.23,1005.60,1004.90,27.57,22.86,28.16,27.09,23.31,22.20,79.88,73.25,77.00,141.21,3.64,1.36
2009-03-18,0.17,1004.84,1005.24,1004.47,26.70,23.40,27.32,26.18,23.90,22.93,85.92,79.21,82.75,165.21,3.35,1.00
2009-03-19,4.68,1004.40,1004.81,1004.02,26.03,23.56,26.60,25.41,24.05,23.03,89.50,83.96,87.00,176.25,4.23,1.46
2009-03-20,0.91,1004.36,1004.70,1003.98,26.31,23.57,27.03,25.75,24.10,23.10,88.54,82.25,85.71,143.04,3.40,1.27
2009-03-21,0.00,1004.93,1005.34,1004.51,26.40,23.16,26.93,25.81,23.64,22.65,86.33,80.79,83.46,188.21,3.38,1.19
2009-03-22,0.75,1004.62,1005.04,1004.27,26.02,22.89,26.56,25.51,23.47,22.26,86.96,80.50,84.00,233.08,3.57,1.28
2009-03-23,0.00,1003.77,1004.08,1003.47,27.21,23.35,27.78,26.64,23.92,22.91,83.46,78.00,80.62,101.46,4.54,1.85
2009-03-24,1.34,1004.26,1004.59,1003.85,26.66,23.43,27.40,26.17,23.95,22.94,85.96,79.46,83.33,215.00,3.60,1.47
2009-03-25,0.88,1005.04,1005.36,1004.70,25.91,23.38,26.35,25.49,23.73,22.93,88.96,83.58,86.33,191.38,3.41,1.23
2009-03-26,0.03,1004.66,1005.01,1004.35,26.25,23.31,26.85,25.80,23.71,22.87,86.79,81.67,84.62,120.04,3.12,1.15
2009-03-27,0.00,1004.60,1004.90,1004.30,26.75,23.60,27.26,26.29,24.03,23.24,86.21,81.58,83.88,106.29,3.06,1.01
