REGIAO:;N
UF:;AM
ESTACAO:;MANACAPURU
CODIGO (WMO):;A119
LATITUDE:;-3,29472221
LONGITUDE:;-60,62833332
ALTITUDE:;55
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2009-01-01,0.02,1005.17,1005.46,1004.92,26.31,22.75,26.77,25.91,23.26,22.33,84.13,79.13,81.74,115.00,3.33,1.47
2009-01-02,0.01,1004.25,1004.66,1003.94,27.30,23.60,27.92,26.72,24.16,23.27,84.33,79.08,81.21,86.83,3.51,1.28
2009-01-03,0.01,1002.81,1003.15,1002.47,27.85,23.16,28.37,27.29,23.62,22.75,79.96,74.54,77.08,67.75,3.75,1.70
2009-01-04,0.02,1004.18,1004.46,1003.77,27.02,23.81,27.49,26.64,24.26,23.46,85.12,80.54,82.92,198.58,3.52,1.43
2009-01-05,0.06,1005.03,1005.34,1004.77,27.23,22.82,27.68,26.67,23.29,22.45,80.50,75.83,77.88,154.46,4.39,1.93
2009-01-06,0.06,1004.09,1004.49,1003.71,27.46,23.48,28.00,26.94,23.82,23.01,82.12,76.50,79.62,214.62,3.62,1.53
2009-01-07,0.04,1004.24,1004.57,1003.93,25.54,23.11,26.09,25.21,23.49,22.72,88.00,83.79,86.50,134.71,3.78,1.47
2009-01-08,0.04,1004.56,1004.89,1004.23,26.44,23.31,26.82,25.95,23.68,22.97,85.92,81.71,83.54,114.79,3.73,1.73
2009-01-09,0.03,1005.04,1005.38,1004.68,26.19,23.30,26.46,25.93,23.50,23.09,85.83,82.83,84.46,88.67,3.66,1.73
2009-01-10,0.03,1005.38,1005.75,1005.00,25.75,23.58,26.12,25.52,23.85,23.30,89.21,85.96,87.96,102.25,2.63,0.82
2009-01-11,0.03,1005.63,1006.00,1005.28,24.81,22.78,25.23,24.47,23.18,22.45,90.33,86.21,88.62,126.83,3.13,0.97
2009-01-12,0.03,1005.31,1005.71,1004.96,25.46,23.03,26.19,24.90,23.61,22.59,88.92,84.04,86.83,124.12,4.04,1.22
2009-01-13,0.03,1005.06,1005.39,1004.66,25.61,22.71,26.18,25.10,23.20,22.22,86.88,81.29,84.54,155.38,3.50,1.23
2009-01-14,0.03,1006.07,1006.39,1005.70,24.74,23.16,24.98,24.45,23.36,22.92,91.92,89.88,91.12,157.92,3.16,1.17
2009-01-15,0.07,1005.42,1005.80,1005.06,26.50,23.24,26.96,26.01,23.60,22.80,85.46,80.79,83.21,151.75,2.60,1.22
2009-01-16,0.07,1005.96,1006.29,1005.59,25.17,23.01,25.72,24.78,23.40,22.69,89.54,85.67,88.00,188.21,3.32,1.02
2009-01-17,0.06,1006.14,1006.45,1005.85,25.65,23.20,26.28,25.06,23.65,22.83,89.62,83.42,86.75,184.21,3.43,1.33
2009-01-18,0.06,1006.37,1006.66,1006.01,26.39,23.28,26.93,25.90,23.69,22.88,86.21,81.08,83.83,136.92,3.45,1.21
2009-01-19,0.04,1007.09,1007.47,1006.77,25.77,22.86,26.31,25.32,23.31,22.48,87.19,81.72,84.67,156.22,4.40,1.60
2009-01-20,0.04,1007.59,1007.93,1007.25,25.83,22.43,26.26,25.26,22.86,21.92,85.12,79.67,82.33,141.96,3.50,1.39
2009-01-21,0.04,1007.44,1007.80,1007.09,26.07,22.86,26.37,25.78,23.15,22.59,84.71,81.25,82.96,56.79,3.92,1.84
2009-01-22,0.03,1007.26,1007.60,1006.93,25.93,23.18,26.32,25.61,23.40,22.81,86.83,83.08,85.21,139.79,3.30,1.38
2009-01-23,0.03,1006.70,1006.99,1006.41,25.39,23.33,25.86,25.05,23.63,23.04,89.96,86.50,88.58,131.58,2.93,1.08
2009-01-24,0.02,1004.90,1005.28,1004.66,26.45,23.06,27.05,25.83,23.53,22.60,85.50,79.83,82.54,182.50,3.77,1.44
2009-01-25,0.03,1003.99,1004.32,1003.67,25.86,23.43,26.15,25.52,23.64,23.03,88.46,84.42,86.75,105.38,3.08,1.32
2009-01-26,0.02,1004.79,1005.15,1004.43,25.85,22.96,26.32,25.45,23.42,22.67,86.83,82.58,84.50,101.88,4.57,2.12
2009-01-27,0.02,1005.58,1005.91,1005.25,25.57,22.69,26.11,25.23,23.04,22.38,86.17,81.71,84.38,126.38,3.75,1.68
2009-01-28,0.02,1005.47,1005.77,1005.09,25.81,22.46,26.39,25.38,22.95,22.08,85.33,80.00,82.79,111.25,4.06,1.85
2009-01-29,0.02,1006.47,1006.79,1006.20,24.88,22.88,25.23,24.57,23.18,22.60,90.38,86.79,88.79,178.04,3.35,1.10
2009-01-30,0.03,1006.19,1006.52,1005.90,26.22,23.04,26.60,25.75,23.40,22.64,85.88,81.29,83.21,180.12,3.07,1.21
2009-01-31,0.02,1005.91,1006.21,1005.53,26.16,23.51,26.71,25.74,23.87,23.17,87.79,83.25,85.79,183.58,3.77,1.60
2009-02-01,0.02,1005.95,1006.37,1005.65,25.54,22.91,26.35,24.98,23.43,22.51,88.71,82.49,86.13,168.65,3.58,1.32
2009-02-02,0.03,1005.03,1005.44,1004.68,26.17,22.45,26.64,25.66,22.88,22.08,83.50,79.50,81.33,131.08,4.02,1.67
2009-02-03,0.03,1004.85,1005.17,1004.49,26.67,23.26,27.22,26.14,23.70,22.89,84.67,80.00,82.17,92.79,4.16,1.85
2009-02-04,0.03,1006.12,1006.48,1005.70,26.15,23.10,26.66,25.69,23.47,22.75,85.75,81.17,83.83,107.96,4.89,1.76
2009-02-05,0.03,1006.70,1007.05,1006.38,25.52,23.17,25.90,25.13,23.46,22.83,88.62,84.79,87.00,163.50,3.40,1.40
2009-02-06,0.03,1005.81,1006.15,1005.52,27.05,23.15,27.49,26.56,23.60,22.78,82.67,78.12,80.33,83.54,3.43,1.55
2009-02-07,0.03,1005.94,1006.27,1005.55,26.08,23.55,26.66,25.66,23.91,23.25,88.38,83.50,86.46,83.67,4.30,1.60
2009-02-08,0.02,1006.49,1006.86,1006.13,24.31,22.78,24.51,24.07,22.97,22.51,92.04,89.79,91.04,228.62,3.90,1.33
2009-02-09,0.03,1005.75,1006.15,1005.45,26.22,22.47,26.68,25.63,22.93,22.03,84.00,79.00,81.38,166.17,2.64,1.16
2009-02-10,0.03,1005.16,1005.48,1004.77,26.93,22.79,27.40,26.52,23.12,22.44,81.00,76.92,79.12,73.33,4.80,2.21
