REGIAO:;N
UF:;AM
ESTACAO:;HUMAITA
CODIGO (WMO):;A112
LATITUDE:;-7,92277777
LONGITUDE:;-63,12138888
ALTITUDE:;72
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.03,1003.25,1003.64,1002.98,26.37,23.01,26.95,25.82,23.41,22.61,85.26,81.00,82.96,147.39,3.30,1.29
2010-01-02,0.01,1002.28,1002.64,1001.95,26.49,22.91,27.00,26.10,23.21,22.59,83.29,79.46,81.58,65.46,4.64,2.09
2010-01-03,0.00,1002.10,1002.41,1001.75,26.42,22.81,26.98,26.02,23.21,22.52,83.29,79.38,81.29,126.50,4.83,2.16
2010-01-04,0.00,1003.27,1003.55,1002.95,27.14,22.96,27.65,26.60,23.32,22.67,81.75,77.17,79.42,63.50,4.66,2.11
2010-01-05,0.00,1002.96,1003.30,1002.68,27.63,22.73,28.28,26.98,23.30,22.20,79.83,74.33,77.08,106.67,2.38,0.93
2010-01-06,1.21,1002.99,1003.30,1002.60,25.64,23.62,26.38,25.05,24.15,23.22,90.75,86.08,88.83,218.04,3.47,1.17
2010-01-07,0.01,1003.21,1003.54,1002.91,25.77,23.45,26.12,25.42,23.83,23.20,89.21,86.38,87.58,149.04,2.60,0.96
2010-01-08,0.00,1002.45,1002.79,1002.17,27.17,23.58,27.65,26.67,23.89,23.22,83.67,79.38,81.71,157.17,3.55,1.33
2010-01-09,0.00,1002.44,1002.73,1002.08,26.62,23.53,27.03,26.28,23.82,23.30,85.17,81.88,83.54,186.88,3.56,1.41
2010-01-10,0.40,1002.66,1003.02,1002.34,26.37,23.39,26.94,25.74,23.91,22.95,87.46,82.21,84.71,131.50,3.47,1.31
2010-01-11,2.54,1004.59,1004.88,1004.23,24.62,22.88,25.01,24.28,23.20,22.53,91.42,88.79,90.29,170.96,3.47,1.21
2010-01-12,0.00,1003.84,1004.20,1003.53,26.41,23.06,26.84,25.93,23.50,22.71,85.29,81.54,83.12,55.58,3.91,1.80
2010-01-13,0.07,1004.92,1005.23,1004.53,26.58,22.83,27.10,25.96,23.33,22.52,83.84,79.08,81.16,118.16,4.24,1.76
2010-01-14,0.19,1005.18,1005.48,1004.84,25.43,23.30,25.97,24.99,23.56,23.01,89.96,86.29,88.42,157.46,3.15,1.21
2010-01-15,0.32,1005.15,1005.51,1004.82,26.25,23.55,26.80,25.69,23.89,23.20,88.29,84.00,86.33,132.17,2.68,0.92
2010-01-16,0.55,1005.25,1005.61,1004.87,26.23,23.58,26.97,25.75,24.10,23.27,88.04,83.92,86.12,225.33,3.69,1.68
2010-01-17,1.44,1006.60,1006.93,1006.30,24.42,23.04,24.75,24.05,23.28,22.77,93.08,90.88,92.04,206.08,2.27,0.68
2010-01-18,0.00,1005.56,1005.92,1005.28,26.24,23.12,26.68,25.75,23.47,22.75,86.17,82.42,84.17,137.96,2.63,0.89
2010-01-19,0.03,1004.02,1004.38,1003.71,26.78,23.15,27.38,26.21,23.63,22.58,83.96,79.08,81.71,138.46,3.98,1.35
2010-01-20,0.03,1002.43,1002.78,1002.10,27.29,23.20,28.08,26.49,23.82,22.55,82.88,77.21,80.38,166.54,3.54,1.23
2010-01-21,4.38,1003.60,1003.95,1003.12,24.61,23.18,24.86,24.41,23.40,23.00,92.75,90.83,91.79,213.00,3.25,1.06
2010-01-22,0.01,1004.34,1004.68,1004.02,25.82,23.29,26.21,25.39,23.58,23.00,88.25,85.25,86.67,152.67,2.95,1.23
2010-01-23,0.35,1004.03,1004.36,1003.71,25.54,22.32,26.20,25.07,22.85,21.96,85.96,81.00,83.54,197.12,4.01,1.22
2010-01-24,0.13,1003.15,1003.48,1002.86,26.21,23.56,26.65,25.62,23.85,23.24,88.46,84.04,86.21,120.00,3.15,1.37
2010-01-25,0.00,1002.64,1003.00,1002.27,27.18,23.58,27.75,26.56,24.07,23.13,84.67,80.04,82.29,133.50,3.53,1.65
2010-01-26,0.22,1003.43,1003.82,1003.04,25.61,23.14,26.23,25.22,23.62,22.82,88.67,84.58,86.96,219.42,4.10,1.38
2010-01-27,0.09,1002.80,1003.16,1002.48,26.32,23.46,26.90,25.80,24.00,23.12,87.79,82.88,85.25,161.42,2.77,0.93
2010-01-28,0.24,1003.00,1003.36,1002.65,24.90,23.10,25.15,24.69,23.33,22.88,90.83,88.67,90.04,166.46,3.18,1.33
2010-01-29,0.01,1001.47,1001.90,1001.15,26.18,22.68,26.74,25.32,23.17,21.98,85.14,80.83,82.70,196.37,3.23,1.16
2010-01-30,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-01-31,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-01,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-02,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-03,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-04,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-05,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-06,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-07,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-08,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-09,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-10,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-11,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-12,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-13,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-14,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-15,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-16,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-17,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-18,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-19,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-20,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-21,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-22,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-23,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
2010-02-24,0.17,1004.11,1004.42,1003.81,26.62,21.32,27.29,25.97,21.83,20.79,78.64,72.94,75.87,166.48,3.51,1.35
