REGIAO:;N
UF:;AM
ESTACAO:;APUI
CODIGO (WMO):;A113
LATITUDE:;-7,21527777
LONGITUDE:;-59,8886111
ALTITUDE:;160
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,1.02,991.89,992.30,991.49,27.04,22.64,27.88,26.23,23.17,21.99,81.97,74.37,78.49,116.53,4.09,1.10
2010-01-02,0.64,991.46,991.82,991.16,26.27,22.40,27.12,25.61,23.04,21.91,84.20,76.62,80.57,144.70,3.43,0.91
2010-01-03,1.11,991.69,992.05,991.38,25.84,22.51,26.58,25.25,23.03,21.99,85.70,79.62,83.03,138.12,4.08,1.10
2010-01-04,0.32,992.26,992.58,991.95,26.05,22.57,26.55,25.56,23.03,22.15,84.84,79.65,82.25,144.77,3.12,0.87
2010-01-05,0.13,991.74,992.12,991.47,26.77,22.58,27.65,26.04,23.29,22.12,82.93,75.39,79.22,144.55,3.78,1.24
2010-01-06,0.31,991.14,991.52,990.80,27.09,22.93,27.92,26.04,23.52,22.25,84.20,75.99,79.82,198.65,3.36,0.85
2010-01-07,1.73,991.95,992.26,991.62,25.77,22.82,26.48,25.17,23.34,22.41,87.71,82.06,85.04,166.22,3.65,1.03
2010-01-08,0.76,991.33,991.73,991.00,27.29,22.77,28.04,26.49,23.38,22.24,82.12,74.54,78.16,173.53,3.68,1.04
2010-01-09,1.01,991.57,991.92,991.24,25.28,23.06,25.86,24.77,23.52,22.74,90.67,86.01,88.26,148.71,3.54,0.91
2010-01-10,0.20,991.44,991.85,991.16,27.12,22.55,28.02,26.28,23.19,22.01,81.69,73.43,77.77,124.92,4.33,1.35
2010-01-11,1.93,992.31,992.60,991.97,25.57,22.43,26.15,25.07,22.84,22.06,86.66,81.92,84.54,179.91,3.18,0.86
2010-01-12,0.16,992.53,992.92,992.22,26.32,22.48,26.97,25.62,23.02,22.01,84.23,77.76,80.94,148.88,2.90,0.75
2010-01-13,0.17,992.87,993.21,992.51,27.34,22.47,28.10,26.57,23.04,21.94,79.97,72.99,76.51,115.06,3.51,1.04
2010-01-14,1.27,992.93,993.32,992.59,26.30,22.61,27.10,25.67,23.19,21.95,85.07,77.94,81.95,132.52,3.58,0.84
2010-01-15,0.19,993.28,993.69,992.94,26.79,22.95,27.49,25.96,23.54,22.42,84.99,77.74,81.03,110.40,4.22,1.17
2010-01-16,0.09,992.96,993.33,992.62,25.57,23.16,26.33,25.06,23.72,22.73,89.73,84.20,87.40,178.70,2.64,0.53
2010-01-17,0.48,992.88,993.33,992.57,27.20,22.62,28.04,26.33,23.25,21.94,82.11,73.80,77.90,178.05,3.51,0.77
2010-01-18,0.50,993.21,993.62,992.91,26.85,22.93,27.58,26.07,23.55,22.28,84.31,76.71,80.64,185.54,3.11,0.75
2010-01-19,0.61,992.28,992.72,991.97,27.25,22.86,28.05,26.41,23.45,22.15,82.51,74.38,78.59,132.96,4.07,0.83
2010-01-20,0.05,991.17,991.54,990.85,27.26,23.25,28.13,26.51,23.85,22.67,83.52,76.37,80.27,133.40,3.56,0.94
2010-01-21,0.49,991.55,991.94,991.17,25.67,23.14,26.37,25.02,23.60,22.68,89.51,83.68,86.80,178.38,3.25,0.90
2010-01-22,0.24,992.37,992.78,992.08,26.57,22.50,27.60,25.84,23.18,21.98,83.72,75.49,80.01,180.06,3.89,1.17
2010-01-23,0.17,991.97,992.33,991.70,26.43,22.34,27.03,25.80,22.83,21.88,82.95,76.79,79.65,180.78,2.85,0.76
2010-01-24,0.12,991.95,992.34,991.60,26.57,22.50,27.31,25.94,23.03,22.03,82.82,76.12,79.65,135.33,3.38,1.04
2010-01-25,0.09,991.47,991.85,991.15,26.55,22.68,27.24,25.76,23.20,22.17,84.12,77.44,80.82,110.06,3.44,0.93
2010-01-26,0.51,991.93,992.27,991.62,25.45,22.83,25.90,25.00,23.23,22.53,88.82,84.67,86.70,176.16,2.93,0.72
2010-01-27,0.41,991.41,991.81,991.14,27.15,22.78,27.96,26.38,23.49,22.24,82.77,74.60,78.73,187.42,3.24,0.96
2010-01-28,0.12,991.37,991.76,991.04,26.72,22.58,27.38,26.14,23.16,22.10,82.61,75.92,79.45,188.28,3.14,0.84
2010-01-29,1.86,990.43,990.79,990.08,26.55,23.01,27.48,25.71,23.57,22.45,86.09,78.11,82.38,140.60,3.48,0.93
2010-01-30,0.14,991.65,991.99,991.29,26.08,22.58,26.70,25.49,23.05,22.15,85.01,79.56,82.35,145.51,3.58,1.20
2010-01-31,0.50,991.77,992.16,991.45,26.52,22.88,27.35,25.76,23.42,22.38,85.32,78.17,81.99,136.28,3.31,0.84
2010-02-01,0.16,991.67,992.08,991.37,27.29,23.02,27.94,26.60,23.55,22.52,82.26,75.64,79.05,152.34,3.45,1.08
2010-02-02,0.09,991.39,991.77,991.03,26.36,23.27,26.87,25.86,23.63,22.91,86.45,81.86,84.07,137.69,3.85,1.24
2010-02-03,0.12,990.75,991.12,990.42,27.85,23.30,28.91,27.04,23.94,22.72,81.78,73.58,77.99,129.28,4.10,1.33
2010-02-04,0.08,990.57,990.97,990.28,28.51,23.51,29.34,27.64,24.10,22.83,79.87,72.15,76.20,119.02,4.02,1.15
2010-02-05,0.69,990.35,990.77,989.99,28.69,23.79,29.46,27.93,24.44,23.21,80.22,72.63,76.59,98.59,3.82,0.98
2010-02-06,1.09,990.27,990.67,989.92,26.57,23.83,27.36,26.07,24.38,23.31,87.88,82.43,85.92,196.71,3.67,1.08
2010-02-07,0.13,991.81,992.14,991.52,26.93,22.77,27.59,26.28,23.34,22.34,82.86,76.37,79.49,132.12,3.50,1.07
2010-02-08,0.09,991.96,992.30,991.68,26.32,22.65,26.93,25.82,23.13,22.15,84.02,77.80,81.35,137.25,2.88,0.79
2010-02-09,0.37,990.38,990.78,990.07,26.98,22.86,27.86,26.22,23.58,22.29,83.32,75.87,79.74,175.24,3.89,1.27
2010-02-10,0.64,990.66,991.00,990.40,25.12,22.88,25.72,24.71,23.44,22.58,90.63,86.22,88.30,179.17,4.06,1.31
2010-02-11,0.16,991.21,991.58,990.95,27.55,22.50,28.28,26.73,23.20,21.91,80.15,71.68,75.36,146.63,3.17,0.79
