REGIAO:;N
UF:;AM
ESTACAO:;AUTAZES
CODIGO (WMO):;A120
LATITUDE:;-2,05638888
LONGITUDE:;-60,02555554
ALTITUDE:;78
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.28,1006.92,1007.29,1006.65,26.73,23.27,27.26,26.39,23.74,22.96,84.21,79.84,82.28,147.74,2.57,0.82
2010-01-02,0.11,1007.04,1007.36,1006.73,26.98,23.13,27.43,26.43,23.52,22.79,83.41,78.63,80.77,124.59,2.98,0.93
2010-01-03,0.28,1007.06,1007.39,1006.73,27.26,23.20,27.97,26.77,23.67,22.76,82.24,76.72,79.99,148.21,3.01,0.90
2010-01-04,0.21,1007.11,1007.42,1006.80,26.84,23.18,27.33,26.29,23.56,22.72,84.12,79.22,81.76,143.36,3.01,0.82
2010-01-05,0.20,1007.18,1007.49,1006.83,27.24,23.25,27.78,26.66,23.68,22.83,82.95,77.85,80.37,156.21,2.71,0.80
2010-01-06,0.21,1007.08,1007.40,1006.73,27.39,23.19,27.98,26.88,23.64,22.78,81.83,76.72,79.39,153.59,2.81,0.82
2010-01-07,0.20,1007.09,1007.39,1006.69,27.39,23.28,27.98,26.82,23.70,22.84,82.33,76.97,79.74,160.42,2.82,0.81
2010-01-08,0.21,1007.14,1007.46,1006.77,27.32,23.25,27.89,26.82,23.69,22.84,82.37,77.38,80.01,158.30,2.79,0.80
2010-01-09,0.22,1007.15,1007.48,1006.82,27.38,23.20,27.97,26.86,23.66,22.78,81.99,76.84,79.54,155.10,2.83,0.81
2010-01-10,0.22,1007.15,1007.48,1006.82,27.38,23.20,27.97,26.86,23.66,22.78,81.99,76.84,79.54,155.10,2.83,0.81
2010-01-11,0.22,1007.15,1007.48,1006.82,27.38,23.20,27.97,26.86,23.66,22.78,81.99,76.84,79.54,155.10,2.83,0.81
2010-01-12,0.17,1007.18,1007.55,1006.88,26.97,23.21,27.49,26.51,23.61,22.83,83.45,78.63,81.24,139.65,2.72,0.75
2010-01-13,0.04,1008.51,1008.85,1008.25,26.74,22.95,27.21,26.21,23.48,22.67,83.92,79.39,81.17,115.89,2.93,0.86
2010-01-14,0.10,1007.90,1008.25,1007.61,27.86,23.90,28.52,27.20,24.42,23.36,83.12,76.28,79.96,134.80,3.30,1.04
2010-01-15,0.03,1008.45,1008.77,1008.08,27.24,23.84,27.73,26.83,24.25,23.42,84.71,80.00,82.50,174.96,4.23,1.55
2010-01-16,0.01,1008.09,1008.47,1007.73,27.26,23.76,27.73,26.82,24.19,23.48,84.46,80.17,82.21,123.29,2.78,0.88
2010-01-17,0.10,1008.97,1009.24,1008.66,26.95,24.18,27.53,26.58,24.58,23.92,87.08,82.83,85.17,244.79,3.06,0.95
2010-01-18,0.23,1008.92,1009.27,1008.58,25.62,23.62,26.15,25.15,24.00,23.28,91.12,87.00,89.29,199.08,2.66,0.73
