REGIAO:;N
UF:;AM
ESTACAO:;ITACOATIARA
CODIGO (WMO):;A121
LATITUDE:;-3,13305554
LONGITUDE:;-58,48277777
ALTITUDE:;74
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.00,1005.17,1005.56,1004.87,25.68,23.56,26.02,25.48,23.77,23.33,88.87,86.70,88.04,167.57,2.50,0.64
2010-01-02,0.00,1004.18,1004.54,1003.85,26.15,23.46,26.80,25.62,24.03,23.15,87.75,84.08,85.75,83.17,4.15,1.32
2010-01-03,0.24,1003.86,1004.12,1003.55,26.10,23.25,26.52,25.76,23.60,23.04,86.29,83.42,84.79,121.00,3.93,1.34
2010-01-04,0.07,1004.78,1005.09,1004.46,25.31,23.49,25.65,24.92,23.74,23.19,90.88,88.62,89.75,109.46,3.03,0.73
2010-01-05,0.16,1004.24,1004.55,1003.95,27.07,23.74,27.50,26.57,24.17,23.39,85.04,82.12,83.21,74.75,3.32,1.24
2010-01-06,0.02,1003.55,1003.90,1003.27,27.99,23.23,28.60,27.39,23.71,22.78,79.17,74.79,76.79,71.75,2.82,0.91
2010-01-07,0.12,1003.94,1004.28,1003.57,27.44,23.86,28.15,26.76,24.30,23.47,83.92,78.79,81.46,67.25,3.33,1.00
2010-01-08,0.12,1004.46,1004.81,1004.10,27.15,23.94,27.66,26.70,24.41,23.66,85.33,81.42,83.17,123.25,4.79,1.72
2010-01-09,0.03,1004.01,1004.31,1003.73,26.84,23.39,27.20,26.50,23.72,23.15,83.75,80.92,82.08,64.62,4.13,1.33
2010-01-10,0.00,1003.69,1004.00,1003.37,27.91,23.30,28.39,27.42,23.60,22.83,78.96,74.75,77.25,84.50,4.26,1.30
2010-01-11,0.53,1004.75,1005.06,1004.33,25.90,23.75,26.28,25.62,24.02,23.54,89.17,86.92,88.12,90.83,2.92,0.80
2010-01-12,0.98,1006.15,1006.46,1005.78,25.10,23.52,25.38,24.90,23.76,23.29,91.54,90.00,91.00,155.42,3.59,1.14
2010-01-13,0.07,1006.30,1006.62,1006.00,26.26,23.34,26.63,25.77,23.71,23.04,86.64,83.83,84.80,83.22,3.90,1.23
2010-01-14,0.00,1005.54,1005.87,1005.22,27.48,23.82,28.08,26.97,24.30,23.44,83.38,79.00,81.25,84.54,3.57,1.12
2010-01-15,0.02,1005.93,1006.24,1005.56,27.64,24.21,28.22,27.10,24.69,23.81,84.17,79.92,82.12,163.12,3.44,0.99
2010-01-16,0.20,1005.65,1006.00,1005.28,27.30,24.29,27.91,26.86,24.72,23.92,85.79,81.79,84.00,156.58,3.20,1.03
2010-01-17,0.01,1006.30,1006.56,1005.99,27.15,24.31,27.67,26.78,24.66,24.01,86.33,82.92,84.71,202.96,3.01,1.07
2010-01-18,0.00,1006.36,1006.71,1006.05,26.02,24.03,26.55,25.54,24.47,23.69,90.21,87.50,88.92,206.62,3.20,1.01
2010-01-19,0.00,1005.32,1005.69,1005.02,27.23,24.21,27.83,26.80,24.72,23.85,86.12,82.62,84.38,182.21,3.34,1.06
2010-01-20,0.00,1003.98,1004.35,1003.69,27.72,23.72,28.16,27.23,24.16,23.38,82.04,78.54,80.12,75.17,3.64,1.29
2010-01-21,0.01,1003.65,1003.94,1003.30,27.54,24.11,28.14,27.10,24.49,23.77,83.79,79.79,82.00,53.04,3.86,1.29
2010-01-22,1.18,1005.23,1005.58,1004.85,24.97,23.39,25.35,24.68,23.70,23.10,91.75,89.92,90.92,121.04,4.40,1.10
