REGIAO:;N
UF:;AM
ESTACAO:;PARINTINS
CODIGO (WMO):;A123
LATITUDE:;-2,64055555
LONGITUDE:;-56,75472222
ALTITUDE:;52
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.00,1007.54,1007.90,1007.22,26.36,23.45,26.73,26.15,23.81,23.15,85.83,82.48,84.26,205.87,2.78,0.63
2010-01-02,0.00,1006.98,1007.34,1006.65,26.50,22.99,26.80,26.18,23.41,22.71,83.92,80.08,81.67,88.50,3.88,1.38
2010-01-03,0.00,1006.46,1006.75,1006.14,26.60,23.23,26.96,26.30,23.57,22.88,84.04,80.42,82.38,98.33,4.02,1.31
2010-01-04,0.00,1007.29,1007.62,1006.98,26.67,23.51,26.97,26.30,23.85,23.17,85.29,82.12,83.54,92.33,3.62,1.21
2010-01-05,0.00,1006.63,1006.95,1006.38,28.18,23.10,28.66,27.82,23.57,22.71,77.17,72.67,75.04,62.62,4.53,1.51
2010-01-06,0.00,1005.95,1006.28,1005.66,28.20,23.06,28.67,27.76,23.52,22.62,76.71,71.96,74.50,108.67,3.16,1.12
2010-01-07,0.00,1006.25,1006.57,1005.90,28.57,23.85,28.96,28.07,24.31,23.50,79.29,75.04,76.62,211.58,3.06,1.08
2010-01-08,0.13,1006.77,1007.08,1006.45,27.59,23.82,27.98,27.27,24.29,23.43,82.50,78.50,80.62,102.92,4.50,1.56
2010-01-09,0.03,1006.47,1006.78,1006.21,28.10,23.10,28.56,27.66,23.56,22.65,77.79,72.08,75.00,53.79,5.70,2.03
2010-01-10,0.00,1006.24,1006.57,1005.90,27.84,23.03,28.28,27.44,23.40,22.62,77.67,73.21,75.58,86.83,4.42,1.76
2010-01-11,0.09,1006.77,1007.10,1006.43,27.38,23.85,27.90,26.91,24.35,23.47,84.00,79.58,81.83,96.25,3.91,1.14
2010-01-12,0.15,1008.12,1008.45,1007.71,26.32,23.77,26.68,26.01,24.22,23.49,88.00,84.79,86.29,246.96,3.56,0.93
2010-01-13,0.01,1008.88,1009.21,1008.59,26.66,23.35,27.05,26.21,23.76,22.99,85.08,81.07,82.98,90.43,4.42,1.51
2010-01-14,0.01,1007.99,1008.33,1007.64,28.22,24.00,28.62,27.81,24.50,23.62,81.58,76.79,78.83,74.58,4.27,1.48
2010-01-15,0.00,1008.19,1008.51,1007.85,28.30,23.57,28.76,27.82,24.01,23.09,79.04,73.08,76.25,97.83,4.20,1.68
2010-01-16,0.00,1007.90,1008.24,1007.54,28.19,24.11,28.50,27.79,24.49,23.76,81.62,77.75,79.25,85.75,3.92,1.50
2010-01-17,0.00,1008.40,1008.68,1008.08,28.18,24.05,28.73,27.70,24.52,23.73,81.75,76.62,79.17,99.58,3.53,1.12
2010-01-18,0.00,1008.28,1008.61,1008.00,28.25,24.09,28.56,27.84,24.50,23.71,81.58,77.67,79.29,109.08,3.23,1.23
2010-01-19,0.00,1007.52,1007.82,1007.22,28.24,24.20,28.72,27.82,24.59,23.77,81.79,76.75,79.62,146.04,3.22,1.11
2010-01-20,0.00,1006.55,1006.90,1006.25,28.46,23.95,28.88,27.96,24.37,23.53,80.62,75.62,77.88,95.17,3.75,1.30
2010-01-21,0.00,1006.15,1006.44,1005.79,28.99,23.69,29.44,28.67,24.10,23.29,75.42,71.08,73.50,72.96,5.54,2.30
2010-01-22,0.03,1007.06,1007.40,1006.74,28.25,23.60,28.72,27.84,24.15,23.20,79.12,74.29,76.79,97.38,4.52,1.58
2010-01-23,1.81,1006.50,1006.85,1006.14,27.53,23.79,28.03,27.02,24.28,23.34,83.58,78.54,80.92,195.08,3.98,1.06
2010-01-24,0.16,1007.21,1007.53,1006.85,25.40,23.64,25.74,25.18,23.90,23.35,90.75,88.58,90.04,195.75,2.88,0.75
2010-01-25,0.02,1007.10,1007.43,1006.77,25.83,22.97,26.27,25.30,23.38,22.50,86.67,82.54,84.75,108.67,4.42,1.54
2010-01-26,0.02,1006.63,1006.99,1006.34,27.45,23.46,27.78,27.06,23.85,23.04,81.75,77.96,79.83,65.04,4.29,1.50
2010-01-27,0.13,1006.73,1007.06,1006.33,26.13,23.92,26.45,25.80,24.20,23.58,89.04,86.12,87.83,201.08,3.32,0.91
2010-01-28,0.03,1006.63,1006.97,1006.34,26.95,23.57,27.30,26.57,23.94,23.20,84.54,80.54,82.62,112.04,3.38,1.01
2010-01-29,0.03,1005.37,1005.67,1005.10,27.30,24.00,27.76,26.88,24.49,23.62,85.08,80.00,82.54,60.83,4.60,1.66
2010-01-30,0.03,1006.00,1006.30,1005.68,26.00,24.07,26.40,25.81,24.42,23.88,90.50,87.58,89.17,148.62,3.42,0.91
2010-01-31,0.02,1006.79,1007.08,1006.49,25.82,23.90,26.12,25.53,24.20,23.54,90.83,87.83,89.38,165.58,1.98,0.34
2010-02-01,0.01,1006.77,1007.08,1006.44,26.22,23.94,26.65,25.82,24.43,23.60,89.88,86.12,87.67,120.04,4.08,1.10
2010-02-02,0.00,1005.98,1006.28,1005.70,27.45,24.49,27.91,27.08,24.81,24.14,86.04,81.92,84.12,73.75,3.59,0.97
2010-02-03,0.01,1005.84,1006.12,1005.52,28.17,24.31,28.53,27.70,24.65,23.95,82.54,78.29,80.25,72.00,5.64,1.74
2010-02-04,0.48,1005.71,1005.99,1005.43,28.91,23.67,29.29,28.48,24.14,23.31,76.58,72.21,74.21,65.08,4.66,1.66
2010-02-05,0.11,1005.37,1005.68,1005.08,28.62,24.70,29.12,28.30,25.04,24.27,81.58,76.79,79.71,59.62,3.78,1.29
2010-02-06,0.53,1004.97,1005.31,1004.64,28.30,24.75,28.71,27.93,25.21,24.41,83.83,79.67,81.71,55.25,4.27,1.47
2010-02-07,0.00,1006.14,1006.44,1005.77,27.17,24.24,27.50,26.90,24.50,23.91,85.75,82.38,84.33,256.00,2.30,0.45
2010-02-08,1.35,1006.85,1007.16,1006.57,26.64,23.85,26.95,26.31,24.21,23.54,87.00,83.46,85.17,99.71,3.05,0.80
2010-02-09,0.17,1005.22,1005.57,1004.91,27.27,24.19,27.77,26.77,24.66,23.75,86.38,81.25,83.88,57.71,5.15,1.72
2010-02-10,1.59,1005.35,1005.56,1005.09,25.60,23.73,25.87,25.37,24.00,23.49,90.79,88.00,89.58,140.08,3.84,0.94
2010-02-11,0.00,1004.91,1005.20,1004.66,26.32,23.48,26.55,25.96,23.84,23.05,86.92,83.50,85.04,95.88,2.39,0.61
2010-02-12,0.07,1005.93,1006.20,1005.60,26.62,24.03,27.05,26.32,24.54,23.62,88.08,83.17,85.83,215.58,2.93,0.69
2010-02-13,0.02,1006.48,1006.76,1006.20,26.63,23.04,26.97,26.26,23.40,22.66,83.12,79.21,81.12,51.17,4.74,1.51
2010-02-14,0.22,1006.62,1006.94,1006.33,27.47,23.67,27.82,27.01,24.13,23.26,83.29,78.92,80.88,79.04,4.52,1.59
2010-02-15,0.02,1006.30,1006.58,1006.00,27.12,22.95,27.68,26.69,23.38,22.39,81.17,75.38,78.92,77.17,4.49,1.46
2010-02-16,0.19,1005.99,1006.33,1005.69,27.45,24.31,27.85,27.00,24.80,23.92,86.08,81.33,83.33,72.96,3.87,1.05
2010-02-17,0.16,1006.30,1006.62,1005.98,28.27,24.43,28.69,27.81,24.85,24.00,83.00,77.75,80.42,62.00,4.40,1.33
2010-02-18,0.00,1006.30,1006.57,1006.03,28.38,23.88,28.88,27.89,24.25,23.50,79.88,74.83,77.46,91.46,3.47,1.20
2010-02-19,0.00,1006.60,1006.90,1006.30,28.87,24.26,29.35,28.43,24.68,23.80,79.29,73.88,76.88,97.25,3.35,1.03
2010-02-20,0.00,1006.35,1006.63,1006.02,28.81,24.45,29.21,28.38,24.93,24.06,80.96,76.29,78.54,113.33,3.41,1.00
2010-02-21,0.00,1007.07,1007.35,1006.75,28.25,24.32,28.71,27.94,24.77,23.90,81.79,76.92,79.62,93.75,4.33,1.94
2010-02-22,0.16,1006.89,1007.23,1006.63,26.52,23.65,26.97,26.11,24.05,23.32,87.04,82.17,84.75,131.79,4.15,1.20
2010-02-23,0.02,1005.97,1006.31,1005.65,27.50,24.40,27.84,27.12,24.78,24.13,85.96,82.83,84.04,110.71,3.15,0.96
2010-02-24,0.03,1006.11,1006.50,1005.70,28.86,24.73,29.20,28.51,25.13,24.40,81.21,77.12,79.04,72.50,3.53,1.19
2010-02-25,0.02,1006.20,1006.58,1005.86,29.10,24.53,29.55,28.80,25.04,24.05,79.62,74.46,77.17,76.92,3.77,1.48
2010-02-26,0.00,1005.88,1006.26,1005.45,27.80,24.97,28.34,27.36,25.31,24.53,87.08,82.29,85.08,160.38,2.94,0.68
2010-02-27,0.01,1007.58,1007.89,1007.23,26.88,23.51,27.26,26.46,24.06,23.14,84.96,80.62,82.42,188.83,3.93,0.88
2010-02-28,0.01,1007.90,1008.19,1007.53,27.03,24.66,27.52,26.60,25.05,24.35,89.25,84.58,87.17,163.04,3.01,0.72
2010-03-01,0.03,1008.23,1008.55,1007.93,27.15,24.36,27.65,26.79,24.88,24.09,87.33,83.67,85.38,143.83,2.77,0.78
2010-03-02,0.01,1006.89,1007.22,1006.65,27.64,24.53,28.27,27.11,25.03,24.15,86.42,81.08,83.96,121.04,2.41,0.66
2010-03-03,0.00,1006.83,1007.17,1006.50,28.31,24.55,28.80,27.93,25.05,24.12,83.33,78.54,81.04,94.54,3.15,1.07
2010-03-04,0.00,1006.58,1006.89,1006.23,28.72,25.27,29.21,28.28,25.83,24.89,85.00,80.38,82.42,159.88,2.56,0.69
2010-03-05,0.00,1006.82,1007.21,1006.43,27.87,24.61,28.31,27.43,25.12,24.30,85.75,80.75,83.08,102.17,3.29,1.07
2010-03-06,0.01,1006.39,1006.69,1006.10,28.59,24.27,29.01,28.21,24.80,23.83,80.21,75.92,78.04,170.62,3.46,1.25
2010-03-07,0.00,1006.16,1006.46,1005.87,28.90,24.40,29.22,28.43,24.80,23.90,80.42,75.71,77.83,152.96,2.65,0.82
2010-03-08,0.00,1006.16,1006.54,1005.83,29.47,24.08,29.93,29.10,24.55,23.70,75.54,71.04,73.50,78.67,4.81,1.72
2010-03-09,0.00,1006.43,1006.74,1006.07,28.69,24.44,29.30,28.23,24.91,24.11,80.83,74.75,78.12,97.00,3.53,0.98
2010-03-10,0.00,1005.82,1006.19,1005.52,28.97,24.51,29.28,28.57,24.98,24.10,80.29,76.42,77.92,70.75,3.93,1.37
2010-03-11,0.00,1005.66,1006.00,1005.32,29.03,24.41,29.59,28.46,24.92,23.90,80.33,73.79,77.00,157.04,3.50,1.05
2010-03-12,0.02,1006.50,1006.82,1006.13,28.05,24.32,28.45,27.70,24.66,23.93,82.79,78.62,80.79,194.54,2.73,0.78
2010-03-13,0.00,1006.35,1006.70,1006.03,28.53,24.62,29.04,28.12,25.01,24.19,82.04,77.62,80.12,102.04,3.50,1.12
2010-03-14,0.00,1006.46,1006.80,1006.10,29.44,24.36,29.80,28.98,24.82,24.12,78.38,74.04,75.50,94.50,4.88,1.85
2010-03-15,0.05,1006.12,1006.47,1005.76,28.87,23.93,29.50,28.46,24.19,23.49,76.96,71.83,75.12,84.46,5.00,1.61
2010-03-16,0.72,1007.29,1007.62,1006.95,25.99,24.37,26.38,25.77,24.72,24.08,91.83,89.29,90.92,209.75,2.92,0.46
2010-03-17,0.48,1007.71,1008.11,1007.36,26.10,23.47,26.42,25.69,23.85,23.12,87.75,84.75,86.04,113.67,4.00,1.32
2010-03-18,0.16,1007.45,1007.80,1007.09,28.57,23.94,28.91,28.20,24.34,23.55,78.54,74.58,76.50,46.79,4.68,1.69
2010-03-19,0.05,1007.76,1008.07,1007.42,29.41,24.34,29.81,29.02,24.84,23.90,77.50,72.67,75.08,71.50,4.04,1.39
2010-03-20,0.03,1008.43,1008.75,1008.00,27.45,24.35,28.05,27.05,24.91,23.95,86.38,80.21,83.62,146.50,3.28,0.70
2010-03-21,0.09,1008.51,1008.93,1008.17,27.09,23.39,27.54,26.63,23.95,22.85,83.75,78.50,81.21,74.33,4.72,1.50
2010-03-22,0.12,1007.08,1007.36,1006.80,28.58,23.49,28.87,28.24,23.88,23.13,76.79,73.21,74.75,60.00,4.55,1.69
2010-03-23,0.08,1007.19,1007.51,1006.87,28.21,23.07,28.62,27.80,23.55,22.50,76.96,71.58,74.54,80.21,3.07,1.11
2010-03-24,0.02,1007.21,1007.50,1006.90,27.78,23.96,28.34,27.41,24.43,23.51,81.96,76.88,79.88,121.29,3.45,0.88
2010-03-25,0.00,1006.71,1007.07,1006.37,26.71,24.25,27.22,26.32,24.60,23.91,88.46,84.79,86.75,132.50,2.89,0.71
