REGIAO:;N
UF:;AM
ESTACAO:;URUCARA
CODIGO (WMO):;A124
LATITUDE:;-2,89638888
LONGITUDE:;-57,75833333
ALTITUDE:;17
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.23,1007.86,1008.26,1007.50,25.81,23.20,26.17,25.61,23.47,22.94,85.74,84.74,85.57,208.57,2.85,0.77
2010-01-02,0.04,1007.07,1007.42,1006.77,26.15,23.70,26.64,25.70,24.19,23.30,87.17,86.17,86.67,92.08,4.06,1.30
2010-01-03,0.20,1006.58,1006.87,1006.23,26.73,23.44,27.28,26.35,23.97,23.08,83.12,81.83,82.42,83.38,4.49,1.55
2010-01-04,0.12,1007.49,1007.82,1007.20,26.19,23.68,26.59,25.81,24.12,23.32,87.17,85.58,86.29,98.96,3.57,1.27
2010-01-05,0.00,1007.00,1007.32,1006.73,27.30,23.20,27.78,26.83,23.68,22.81,80.79,78.21,79.33,103.71,3.20,1.11
2010-01-06,0.00,1006.28,1006.60,1005.98,27.89,22.87,28.44,27.33,23.35,22.44,76.46,73.62,75.08,112.42,2.75,0.93
2010-01-07,0.00,1006.74,1007.05,1006.36,27.87,23.69,28.48,27.34,24.17,23.26,79.88,77.33,78.67,78.38,2.77,0.95
2010-01-08,0.55,1007.15,1007.47,1006.84,26.88,23.76,27.38,26.42,24.19,23.32,83.96,82.17,83.21,188.75,3.34,0.91
2010-01-09,0.98,1006.77,1007.07,1006.51,27.60,23.56,28.03,27.09,24.03,23.14,81.00,78.62,79.58,122.58,4.01,1.38
2010-01-10,0.00,1006.49,1006.80,1006.16,28.00,23.17,28.50,27.39,23.50,22.71,77.25,74.50,75.92,82.04,3.50,1.25
2010-01-11,0.52,1007.26,1007.59,1006.90,27.40,23.66,27.93,26.95,24.14,23.31,81.79,79.50,80.58,82.33,3.38,0.97
2010-01-12,7.52,1008.81,1009.14,1008.37,25.04,22.99,25.41,24.84,23.26,22.77,88.75,87.75,88.62,232.79,3.12,0.82
2010-01-13,0.30,1009.07,1009.38,1008.80,26.27,23.90,26.91,25.67,24.49,23.35,88.03,86.39,87.15,88.64,3.57,1.07
2010-01-14,0.00,1008.23,1008.59,1007.89,28.30,23.87,28.70,27.69,24.25,23.34,79.58,77.17,78.12,95.12,3.43,1.29
2010-01-15,0.02,1008.45,1008.77,1008.11,29.11,24.10,29.68,28.58,24.65,23.62,76.42,73.88,75.08,113.46,3.93,1.25
2010-01-16,0.31,1008.20,1008.55,1007.86,28.79,24.02,29.30,28.33,24.47,23.57,77.54,74.92,76.25,157.12,3.81,1.35
2010-01-17,0.01,1008.70,1009.00,1008.36,28.43,24.41,29.14,27.82,25.03,23.88,80.50,77.96,79.42,168.21,3.12,1.06
2010-01-18,1.50,1008.91,1009.27,1008.62,26.25,23.62,26.90,25.84,24.21,23.25,86.33,84.62,85.58,264.83,2.78,0.64
2010-01-19,0.26,1008.06,1008.42,1007.76,26.48,24.14,27.08,25.91,24.71,23.61,87.88,86.38,87.17,199.92,2.72,0.53
2010-01-20,0.00,1006.79,1007.13,1006.52,28.06,24.25,28.55,27.35,24.72,23.69,82.42,79.88,80.79,93.00,3.11,1.02
2010-01-21,0.02,1006.41,1006.72,1006.04,28.54,23.98,29.16,27.95,24.49,23.44,78.29,75.58,77.12,55.17,4.11,1.28
2010-01-22,1.20,1007.73,1008.06,1007.38,26.37,23.50,26.78,25.97,23.86,23.09,85.25,83.67,84.58,99.00,3.50,0.92
2010-01-23,1.99,1006.88,1007.24,1006.56,27.47,24.15,28.17,26.90,24.79,23.68,83.67,81.58,82.62,163.67,3.67,0.98
2010-01-24,1.06,1007.51,1007.85,1007.15,25.65,23.33,26.15,25.26,23.78,22.90,87.58,86.04,87.08,159.67,2.77,0.57
2010-01-25,0.00,1007.29,1007.59,1006.99,26.90,23.97,27.50,26.38,24.53,23.52,85.33,83.83,84.42,65.08,3.76,1.20
2010-01-26,0.00,1006.99,1007.37,1006.67,26.78,23.47,27.16,26.38,23.77,23.17,83.29,81.58,82.42,98.75,2.45,0.80
2010-01-27,0.66,1007.15,1007.49,1006.75,25.39,23.25,25.77,25.10,23.55,22.94,88.29,87.21,87.92,151.42,2.63,0.61
2010-01-28,0.00,1006.75,1007.08,1006.48,26.88,23.75,27.36,26.32,24.25,23.26,84.79,82.79,83.58,81.08,2.75,0.90
2010-01-29,0.22,1005.63,1005.95,1005.30,27.07,24.03,27.76,26.43,24.61,23.38,84.46,82.33,83.62,84.21,3.85,0.98
2010-01-30,0.03,1006.27,1006.55,1005.96,26.56,23.88,27.08,26.08,24.37,23.45,86.25,84.71,85.50,130.88,3.55,1.00
2010-01-31,0.02,1007.09,1007.38,1006.81,27.08,24.10,27.47,26.59,24.50,23.70,85.33,83.71,84.29,139.04,2.69,0.85
2010-02-01,0.45,1007.17,1007.51,1006.80,26.65,23.94,27.26,26.20,24.47,23.51,85.71,84.29,85.12,96.75,3.15,0.95
2010-02-02,0.23,1006.25,1006.57,1005.98,27.67,24.75,28.10,27.01,25.20,24.17,85.54,83.83,84.58,93.33,3.46,1.00
2010-02-03,0.07,1006.13,1006.42,1005.86,27.83,24.41,28.48,27.31,24.97,23.97,82.88,80.88,81.92,71.29,4.99,1.55
2010-02-04,0.00,1006.03,1006.32,1005.76,28.68,24.03,29.16,28.11,24.43,23.57,78.50,75.88,77.04,56.75,4.35,1.45
2010-02-05,0.00,1005.66,1005.98,1005.38,28.71,24.03,29.32,28.20,24.50,23.58,77.25,75.12,76.29,67.08,3.77,1.29
2010-02-06,0.00,1005.38,1005.71,1005.02,28.15,24.32,28.55,27.79,24.63,24.02,80.79,79.00,80.00,62.50,3.60,1.10
2010-02-07,1.60,1006.75,1007.10,1006.26,25.94,23.47,26.41,25.65,23.87,23.13,86.79,85.54,86.38,208.42,2.85,0.48
2010-02-08,0.03,1007.15,1007.45,1006.86,26.76,24.28,27.18,26.35,24.72,23.93,87.38,86.33,86.67,106.12,2.62,0.77
2010-02-09,0.58,1005.43,1005.80,1005.12,26.94,24.11,27.50,26.54,24.64,23.75,85.54,84.04,84.62,92.71,3.62,1.11
2010-02-10,1.53,1005.83,1006.05,1005.55,25.76,23.10,26.12,25.43,23.43,22.75,85.79,84.62,85.46,155.08,4.14,1.17
2010-02-11,0.00,1005.23,1005.48,1004.97,26.40,23.75,26.76,25.96,24.07,23.40,86.38,85.08,85.62,110.71,2.52,0.77
2010-02-12,0.20,1006.18,1006.49,1005.82,26.76,23.97,27.28,26.30,24.40,23.54,85.62,83.79,84.96,218.92,3.10,0.92
2010-02-13,0.27,1006.80,1007.08,1006.57,26.16,23.85,26.65,25.62,24.30,23.35,87.96,86.71,87.21,85.33,3.19,0.86
2010-02-14,0.75,1006.87,1007.22,1006.56,27.13,24.00,27.67,26.62,24.53,23.55,84.71,82.67,83.54,82.00,3.65,1.18
2010-02-15,0.00,1006.37,1006.65,1006.07,28.10,23.64,28.54,27.55,24.03,23.15,79.17,76.42,77.75,96.62,3.81,1.43
2010-02-16,0.01,1006.14,1006.44,1005.85,28.52,23.90,29.06,27.94,24.34,23.38,77.71,75.54,76.62,70.92,4.30,1.66
2010-02-17,0.04,1006.62,1006.97,1006.30,27.60,23.90,28.16,27.20,24.38,23.50,81.67,79.67,80.75,96.04,4.15,1.36
2010-02-18,0.01,1006.61,1006.90,1006.34,28.30,24.01,28.89,27.76,24.53,23.58,79.75,77.17,78.46,107.25,3.35,1.10
2010-02-19,0.00,1006.85,1007.16,1006.54,29.33,23.69,29.86,28.79,24.18,23.28,74.46,71.62,72.96,87.00,3.47,1.26
2010-02-20,0.13,1006.65,1006.92,1006.31,29.66,24.18,30.28,29.11,24.69,23.71,74.96,71.88,73.42,103.46,4.10,1.40
2010-02-21,0.03,1007.34,1007.64,1007.02,28.23,23.44,28.89,27.74,23.92,22.95,76.79,74.12,75.79,60.46,4.77,1.60
2010-02-22,0.37,1007.23,1007.54,1006.97,27.05,24.18,27.40,26.51,24.57,23.65,85.25,83.79,84.50,118.08,3.77,1.28
2010-02-23,0.25,1006.34,1006.67,1006.05,27.06,24.30,27.64,26.57,24.82,23.87,85.58,84.25,85.04,63.88,2.35,0.62
2010-02-24,0.00,1006.37,1006.78,1005.95,28.73,24.87,29.19,28.20,25.35,24.43,81.88,79.58,80.54,73.42,2.95,1.03
2010-02-25,0.79,1006.64,1007.04,1006.27,28.18,24.79,28.78,27.76,25.31,24.38,83.25,81.08,82.25,152.04,3.10,0.80
2010-02-26,0.99,1006.46,1006.85,1006.01,27.12,24.47,27.78,26.53,25.03,23.89,86.08,84.50,85.58,188.33,2.37,0.45
2010-02-27,1.53,1007.95,1008.34,1007.58,26.60,24.27,26.99,26.20,24.66,23.92,88.04,86.88,87.38,167.12,2.32,0.44
2010-02-28,1.10,1008.33,1008.69,1007.96,26.62,24.25,27.12,26.18,24.69,23.82,87.58,86.21,87.00,124.46,2.60,0.66
2010-03-01,0.03,1008.57,1008.92,1008.25,27.47,24.75,28.05,26.88,25.28,24.22,85.88,84.54,85.12,152.96,3.12,0.93
2010-03-02,0.11,1007.14,1007.48,1006.88,28.42,24.71,29.03,27.82,25.30,24.23,82.42,80.04,81.12,101.54,2.94,0.92
2010-03-03,0.01,1007.18,1007.53,1006.80,28.43,24.49,28.93,27.80,24.91,23.97,81.25,78.92,79.96,99.88,2.98,1.00
2010-03-04,0.00,1006.92,1007.25,1006.60,28.95,24.51,29.55,28.42,25.08,24.03,79.33,76.42,77.96,120.33,2.93,0.93
2010-03-05,0.40,1007.10,1007.49,1006.66,28.20,24.70,28.73,27.71,25.21,24.21,82.92,80.42,81.79,120.58,3.02,0.98
2010-03-06,0.67,1006.85,1007.15,1006.55,28.07,24.50,28.57,27.55,24.97,24.05,82.62,80.54,81.50,148.04,3.29,1.01
2010-03-07,0.03,1006.55,1006.88,1006.24,28.39,24.91,28.98,27.84,25.41,24.46,83.00,80.54,81.83,98.12,2.49,0.73
2010-03-08,0.86,1006.55,1006.94,1006.16,28.22,24.67,28.72,27.70,25.12,24.24,82.83,80.50,81.54,155.58,3.55,1.16
2010-03-09,0.00,1006.62,1006.94,1006.25,29.25,24.61,29.82,28.79,25.15,24.17,78.08,75.54,76.88,126.25,3.69,1.35
2010-03-10,0.00,1006.09,1006.44,1005.77,29.45,24.48,30.03,28.95,25.02,24.10,77.08,74.67,75.71,94.25,3.53,1.32
2010-03-11,0.00,1005.92,1006.27,1005.54,29.24,23.70,29.88,28.64,24.22,23.14,74.21,71.25,72.88,118.38,3.60,1.27
2010-03-12,0.17,1006.88,1007.23,1006.53,28.01,24.44,28.66,27.45,25.00,23.90,81.88,79.96,81.04,169.54,2.88,0.86
2010-03-13,0.00,1006.63,1006.95,1006.32,28.25,24.56,28.80,27.67,25.01,24.08,82.21,79.75,81.00,67.88,3.42,1.20
2010-03-14,0.00,1006.58,1006.90,1006.24,29.38,24.60,29.87,28.82,25.07,24.17,78.17,75.62,76.75,71.54,4.34,1.63
2010-03-15,0.00,1006.54,1006.87,1006.14,29.06,23.86,29.56,28.53,24.27,23.43,75.62,72.96,74.42,106.58,4.11,1.47
2010-03-16,1.65,1007.73,1008.08,1007.39,27.25,23.58,27.91,26.79,24.18,23.04,81.62,79.29,80.67,185.62,4.26,1.50
2010-03-17,0.93,1008.02,1008.40,1007.66,25.88,23.57,26.30,25.44,23.97,23.16,87.96,86.71,87.29,96.50,3.34,1.03
2010-03-18,0.00,1007.76,1008.08,1007.43,27.89,23.80,28.30,27.35,24.20,23.35,80.50,78.42,79.25,87.83,3.60,1.29
2010-03-19,0.00,1008.11,1008.43,1007.75,28.86,23.69,29.40,28.28,24.25,23.29,76.58,73.83,75.08,96.21,3.92,1.22
2010-03-20,0.31,1008.87,1009.19,1008.47,27.12,23.76,27.66,26.62,24.18,23.21,82.75,80.83,82.25,243.92,2.70,0.85
2010-03-21,0.21,1008.67,1009.07,1008.37,27.32,23.85,27.99,26.76,24.53,23.30,83.46,80.96,82.08,113.17,3.99,1.32
2010-03-22,0.00,1007.17,1007.45,1006.88,28.90,23.09,29.46,28.42,23.62,22.76,74.00,71.25,72.42,42.83,4.60,1.78
2010-03-23,0.00,1007.40,1007.73,1007.11,28.32,22.70,28.73,27.80,23.07,22.25,73.96,71.25,72.62,81.21,2.77,1.01
2010-03-24,0.15,1007.49,1007.79,1007.18,27.79,23.62,28.54,27.13,24.19,22.94,79.38,76.42,78.33,97.08,3.68,1.03
2010-03-25,0.23,1007.02,1007.40,1006.68,27.28,24.83,27.77,26.73,25.30,24.31,87.25,86.21,86.62,125.62,2.75,0.81
2010-03-26,1.02,1007.10,1007.46,1006.68,27.53,23.96,28.24,27.00,24.63,23.53,82.79,80.25,81.46,145.21,3.96,1.29
2010-03-27,2.68,1008.31,1008.63,1007.92,24.52,22.71,24.75,24.38,22.90,22.53,89.79,89.08,89.75,268.75,2.81,0.78
2010-03-28,0.82,1008.45,1008.88,1008.09,25.02,23.55,25.33,24.70,23.86,23.27,92.08,91.38,91.62,111.12,2.19,0.56
2010-03-29,0.00,1007.12,1007.50,1006.79,27.13,23.95,27.64,26.66,24.43,23.55,84.79,82.83,83.54,91.12,2.75,0.85
2010-03-30,1.09,1006.93,1007.30,1006.52,26.71,23.86,27.33,26.21,24.35,23.36,85.17,83.21,84.54,106.96,3.10,0.74
2010-03-31,1.02,1006.81,1007.19,1006.39,26.76,23.78,27.43,26.19,24.48,23.22,85.00,83.00,83.96,120.54,3.71,0.99
2010-04-01,0.07,1006.84,1007.12,1006.52,25.73,23.78,26.01,25.45,24.05,23.47,89.38,88.42,89.08,241.21,2.64,0.70
2010-04-02,1.41,1008.18,1008.48,1007.82,25.52,23.64,25.95,25.23,24.06,23.35,89.83,89.00,89.42,158.88,2.61,0.53
2010-04-03,0.00,1007.34,1007.68,1007.10,26.74,23.69,27.15,26.35,24.16,23.38,84.75,83.21,83.71,89.67,3.64,1.29
2010-04-04,0.00,1006.64,1006.95,1006.33,27.25,24.01,27.83,26.80,24.48,23.62,83.42,81.62,82.67,78.92,2.66,0.92
2010-04-05,0.01,1006.50,1006.89,1006.09,28.00,24.76,28.48,27.49,25.19,24.31,84.25,82.17,83.12,138.83,2.55,0.88
2010-04-06,0.00,1006.80,1007.15,1006.40,27.76,24.47,28.15,27.39,24.81,24.15,83.62,81.67,82.75,187.12,2.52,0.79
2010-04-07,2.68,1007.74,1008.06,1007.37,25.18,23.47,25.49,24.96,23.74,23.21,90.54,89.67,90.42,238.21,2.76,0.65
2010-04-08,0.02,1008.28,1008.67,1007.89,26.10,24.18,26.50,25.65,24.59,23.78,89.96,89.00,89.29,208.62,2.06,0.48
2010-04-09,0.00,1008.24,1008.59,1007.89,27.59,24.23,27.94,27.13,24.57,23.84,83.83,81.50,82.54,102.92,2.35,0.54
2010-04-10,1.78,1008.35,1008.69,1008.02,27.05,24.19,27.73,26.62,24.83,23.79,85.25,83.58,84.50,234.96,3.13,0.90
