REGIAO:;N
UF:;AM
ESTACAO:;RIO URUBU
CODIGO (WMO):;A125
LATITUDE:;-2,7211111
LONGITUDE:;-59,94333333
ALTITUDE:;59
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.00,1004.72,1005.14,1004.42,26.09,23.45,26.43,25.71,23.74,23.10,86.17,84.91,85.61,203.83,1.26,0.24
2010-01-02,0.00,1003.70,1004.05,1003.41,26.45,23.15,27.10,25.89,23.76,22.62,83.38,81.62,82.42,152.00,2.62,0.54
2010-01-03,0.00,1003.32,1003.58,1003.02,26.45,23.08,27.01,26.02,23.62,22.71,83.08,81.08,82.12,140.83,2.28,0.68
2010-01-04,0.02,1004.40,1004.71,1004.07,25.50,22.57,26.17,24.90,23.15,22.01,84.75,83.21,84.08,178.29,2.80,0.74
2010-01-05,0.01,1004.04,1004.36,1003.75,26.46,22.64,27.06,25.86,23.22,22.16,82.50,79.83,80.88,172.96,2.80,0.91
2010-01-06,0.00,1003.54,1003.89,1003.24,26.67,22.45,27.38,25.91,23.01,21.82,79.96,77.08,78.58,216.38,2.32,0.70
2010-01-07,1.06,1004.16,1004.45,1003.79,26.43,23.57,26.97,25.91,24.03,23.07,85.25,83.33,84.54,172.08,2.92,0.85
2010-01-08,0.16,1004.42,1004.73,1004.14,26.15,23.53,26.53,25.72,23.86,23.15,86.58,84.88,85.75,122.21,2.35,0.73
2010-01-09,0.04,1003.63,1003.97,1003.35,26.91,23.39,27.41,26.38,23.89,23.01,83.50,81.04,82.00,164.58,3.32,0.89
2010-01-10,0.20,1003.71,1004.05,1003.36,25.43,22.72,26.16,24.82,23.33,22.12,85.67,83.88,85.08,174.25,2.49,0.72
2010-01-11,1.86,1004.88,1005.20,1004.50,25.78,23.62,26.22,25.32,24.04,23.18,88.38,87.46,87.92,173.04,3.20,0.91
2010-01-12,1.47,1006.03,1006.40,1005.66,24.14,22.53,24.45,23.89,22.78,22.27,90.83,90.21,90.67,148.25,1.95,0.43
2010-01-13,0.07,1006.09,1006.38,1005.79,25.70,23.84,26.28,25.21,24.39,23.41,90.46,89.20,89.81,160.06,2.39,0.69
2010-01-14,0.01,1005.31,1005.68,1005.02,26.67,23.34,27.21,26.12,23.89,22.87,84.17,81.71,82.79,189.62,2.34,0.75
2010-01-15,1.20,1005.98,1006.31,1005.59,25.73,23.28,26.24,25.30,23.70,22.80,86.58,85.17,86.25,179.12,3.30,0.64
2010-01-16,1.48,1005.74,1006.09,1005.39,25.05,23.18,25.41,24.58,23.53,22.76,89.92,89.08,89.46,154.25,1.75,0.48
2010-01-17,1.05,1006.59,1006.92,1006.24,24.89,23.15,25.21,24.62,23.42,22.88,90.08,89.54,89.96,217.12,2.23,0.34
2010-01-18,0.12,1006.27,1006.64,1005.97,25.67,24.06,26.04,25.31,24.43,23.73,91.08,90.67,90.88,206.75,2.03,0.53
2010-01-19,0.00,1005.07,1005.44,1004.78,26.69,24.01,27.20,26.07,24.57,23.53,87.12,85.25,85.83,164.67,2.00,0.56
2010-01-20,0.00,1003.81,1004.16,1003.52,26.42,23.07,27.07,25.89,23.62,22.56,83.25,80.75,82.21,215.79,2.46,0.73
2010-01-21,0.67,1003.95,1004.23,1003.56,25.82,23.40,26.29,25.26,23.77,22.82,87.08,85.62,86.58,174.88,3.12,0.58
2010-01-22,0.09,1005.02,1005.35,1004.68,25.43,23.68,25.67,25.18,23.91,23.44,90.38,89.83,90.12,187.96,1.64,0.28
2010-01-23,0.90,1004.43,1004.76,1004.10,25.21,23.65,25.51,24.95,23.93,23.40,91.38,90.83,91.12,199.75,2.23,0.62
2010-01-24,0.02,1004.34,1004.72,1004.00,26.05,24.14,26.48,25.60,24.54,23.73,89.83,89.12,89.29,168.12,2.79,0.86
2010-01-25,0.00,1004.08,1004.36,1003.74,26.08,23.57,26.76,25.50,24.23,23.04,86.83,85.54,86.12,133.50,3.95,1.35
2010-01-26,0.01,1004.12,1004.51,1003.75,26.20,23.05,26.68,25.61,23.47,22.55,84.54,82.50,83.42,168.38,2.98,0.93
2010-01-27,0.12,1004.08,1004.43,1003.75,25.99,23.60,26.44,25.52,24.00,23.14,87.29,86.12,86.79,222.00,2.68,0.79
2010-01-28,0.01,1003.57,1003.91,1003.30,26.22,23.19,26.85,25.60,23.83,22.62,85.25,83.21,84.04,135.21,2.40,0.59
2010-01-29,0.00,1002.35,1002.66,1002.03,26.88,23.39,27.55,26.32,24.03,22.83,83.17,80.25,81.83,155.33,2.68,0.95
2010-01-30,0.46,1003.26,1003.52,1002.90,25.90,23.34,26.40,25.45,23.77,22.85,86.21,84.96,85.83,124.17,4.02,1.08
2010-01-31,0.19,1004.29,1004.62,1004.02,26.11,24.20,26.57,25.64,24.70,23.78,89.92,89.00,89.33,154.67,2.10,0.63
2010-02-01,0.17,1004.31,1004.61,1003.97,25.55,23.60,25.98,25.17,24.00,23.24,89.33,88.54,89.08,175.67,1.98,0.48
2010-02-02,0.24,1003.45,1003.70,1003.20,26.14,24.40,26.55,25.71,24.78,23.97,90.42,89.75,90.08,147.42,2.46,0.70
2010-02-03,0.12,1003.18,1003.48,1002.88,26.75,24.83,27.24,26.16,25.32,24.26,89.88,88.96,89.38,157.42,3.10,0.88
2010-02-04,0.01,1003.01,1003.32,1002.75,27.67,24.00,28.20,27.11,24.55,23.60,83.12,80.75,81.58,154.62,3.31,1.20
2010-02-05,0.01,1002.79,1003.11,1002.48,27.24,24.05,27.76,26.66,24.44,23.40,83.67,81.58,82.96,197.62,2.51,0.75
2010-02-06,0.17,1002.88,1003.21,1002.51,26.48,24.30,26.84,26.23,24.60,24.04,88.21,87.29,87.88,158.62,2.18,0.50
2010-02-07,0.56,1004.09,1004.42,1003.75,25.10,23.32,25.37,24.82,23.56,23.02,90.04,89.42,89.88,170.62,2.10,0.20
2010-02-08,0.42,1004.15,1004.45,1003.86,26.23,24.45,26.83,25.64,25.04,23.92,90.46,89.71,89.96,166.17,1.62,0.44
2010-02-09,0.00,1002.39,1002.71,1002.10,26.56,24.42,26.97,26.22,24.80,24.09,88.50,87.67,88.12,166.88,2.93,0.78
2010-02-10,2.02,1003.08,1003.34,1002.80,25.18,23.44,25.52,24.94,23.74,23.21,90.25,89.75,90.08,178.46,2.32,0.38
2010-02-11,0.00,1002.60,1002.81,1002.33,25.67,23.70,26.08,25.35,24.10,23.40,89.50,88.62,88.96,185.75,1.53,0.16
2010-02-12,0.00,1003.07,1003.39,1002.78,26.43,23.70,26.89,25.85,24.15,23.18,86.29,84.71,85.38,167.88,1.72,0.39
2010-02-13,0.83,1003.88,1004.18,1003.49,25.89,23.55,26.38,25.46,23.98,23.08,87.50,86.17,87.04,113.58,3.24,0.81
2010-02-14,0.42,1003.65,1004.05,1003.35,26.03,24.13,26.56,25.52,24.60,23.62,89.67,88.71,89.29,136.79,2.54,0.56
2010-02-15,0.01,1003.30,1003.59,1002.99,26.40,23.73,26.86,25.90,24.22,23.27,87.04,85.33,85.92,176.54,2.29,0.82
2010-02-16,0.07,1003.20,1003.48,1002.87,26.35,23.12,27.07,25.62,23.76,22.35,83.75,81.29,82.71,158.50,3.22,1.08
2010-02-17,0.36,1003.85,1004.19,1003.48,25.97,23.82,26.58,25.56,24.35,23.40,88.17,87.04,87.79,179.83,2.59,0.56
2010-02-18,0.06,1003.86,1004.19,1003.57,26.39,24.22,27.10,25.56,24.92,23.47,88.96,87.54,88.04,193.17,2.55,0.67
2010-02-19,0.00,1003.89,1004.22,1003.59,27.43,23.57,28.01,26.78,24.13,23.03,82.38,79.58,80.79,187.88,2.44,0.88
2010-02-20,0.51,1003.82,1004.16,1003.46,27.98,24.18,28.55,27.47,24.75,23.71,81.88,79.29,80.62,170.29,2.95,0.80
