REGIAO:;N
UF:;AM
ESTACAO:;PRESIDENTE FIGUEIREDO
CODIGO (WMO):;A126
LATITUDE:;-2,08499999
LONGITUDE:;-60,04888888
ALTITUDE:;92
data,precip_total(mm),p_atmos(mB),p_atmos_max(mB),p_atmos_min(mB),temp_ar-bulbo_seco(C),temp_orvalho(C),temp_ar_max(C),temp_ar_min(C),temp_orvalho_max(C),temp_orvalho_min(C),umid_rel_max(%),umid_rel_min(%),umid_rel_ar(%),dir_vento_horario(gr),vento_rajada_max(m/s),vento_vel(m/s)
2010-01-01,0.00,1002.57,1002.95,1002.23,27.43,22.41,27.75,27.00,22.95,21.97,78.52,73.04,75.52,166.70,2.63,0.64
2010-01-02,0.00,1001.44,1001.78,1001.15,27.99,22.16,28.50,27.51,22.66,21.70,76.17,69.75,72.92,141.54,3.79,1.14
2010-01-03,0.00,1000.99,1001.26,1000.68,27.66,22.18,28.17,27.15,22.68,21.72,77.25,71.75,74.38,174.67,2.74,0.90
2010-01-04,0.20,1001.98,1002.32,1001.59,27.35,22.67,27.97,26.80,23.08,22.15,80.50,74.25,77.83,173.67,3.83,1.19
2010-01-05,0.00,1001.93,1002.26,1001.65,27.23,22.67,27.78,26.60,23.15,22.11,81.92,75.50,78.79,173.92,3.10,0.97
2010-01-06,0.02,1001.65,1001.98,1001.32,26.80,22.38,27.39,26.27,22.90,21.97,81.96,76.08,79.17,173.25,2.55,0.73
2010-01-07,0.54,1002.29,1002.59,1001.95,26.14,23.61,26.62,25.67,23.96,23.05,88.83,82.71,86.33,165.79,3.48,0.74
2010-01-08,0.01,1002.32,1002.64,1002.05,26.80,22.79,27.15,26.41,23.17,22.50,82.50,78.38,80.21,142.29,3.84,1.27
2010-01-09,0.00,1001.57,1001.89,1001.29,27.61,22.14,28.01,27.22,22.53,21.68,76.75,71.21,74.17,154.83,4.21,1.28
2010-01-10,0.01,1001.71,1002.01,1001.38,26.69,22.79,27.16,26.12,23.35,22.43,84.08,77.50,80.25,193.42,3.52,1.12
2010-01-11,0.07,1002.93,1003.22,1002.52,26.48,23.03,26.88,26.15,23.52,22.72,84.62,79.33,82.04,136.17,3.30,0.90
2010-01-12,0.53,1003.90,1004.25,1003.55,24.96,22.86,25.18,24.74,23.14,22.58,89.92,87.12,88.46,119.75,2.60,0.66
2010-01-13,0.03,1004.02,1004.32,1003.68,26.04,22.85,26.39,25.48,23.26,22.40,87.19,81.67,84.02,205.28,2.57,0.77
2010-01-14,0.02,1003.41,1003.76,1003.10,26.05,23.12,26.49,25.56,23.70,22.59,88.00,81.67,84.88,206.83,2.27,0.53
2010-01-15,1.38,1004.02,1004.42,1003.60,25.39,23.76,25.72,25.13,24.07,23.40,92.25,88.79,90.92,224.17,2.74,0.47
2010-01-16,0.87,1003.75,1004.10,1003.40,25.40,23.61,25.63,25.17,23.85,23.28,91.33,88.46,90.17,207.46,1.86,0.37
2010-01-17,1.65,1004.60,1004.93,1004.26,25.35,23.41,25.66,25.13,23.75,23.10,90.83,87.67,89.38,261.75,1.87,0.38
2010-01-18,0.38,1004.35,1004.68,1004.03,25.66,23.61,25.97,25.39,23.94,23.28,90.67,86.83,88.88,174.00,1.98,0.43
2010-01-19,0.01,1002.98,1003.33,1002.69,27.53,22.67,27.97,27.02,23.21,22.22,80.58,75.42,77.71,149.46,2.64,0.89
2010-01-20,0.02,1001.78,1002.10,1001.49,27.50,23.40,28.22,27.01,23.90,22.91,82.71,76.46,80.00,208.67,3.00,0.92
2010-01-21,0.33,1001.92,1002.25,1001.57,26.11,23.18,26.56,25.68,23.69,22.85,88.04,82.67,85.04,178.29,3.34,0.95
2010-01-22,0.01,1002.88,1003.20,1002.56,26.28,23.15,26.52,25.99,23.50,22.84,85.92,82.25,83.92,175.83,2.33,0.74
2010-01-23,0.42,1002.34,1002.69,1002.01,25.60,23.55,25.92,25.38,23.89,23.25,90.17,86.88,88.71,198.12,1.96,0.35
2010-01-24,0.00,1002.00,1002.37,1001.66,27.36,23.19,27.76,26.91,23.64,22.75,82.71,77.71,79.92,168.79,2.87,0.83
2010-01-25,0.82,1001.87,1002.16,1001.55,26.68,23.59,27.29,26.21,23.99,23.13,86.62,80.46,84.17,129.21,3.95,1.12
2010-01-26,0.00,1002.03,1002.42,1001.68,26.80,22.62,27.18,26.40,23.12,22.31,82.50,77.75,79.71,139.33,3.18,1.03
2010-01-27,0.16,1002.07,1002.36,1001.73,26.20,23.55,26.71,25.85,23.88,23.13,87.71,82.71,85.75,178.58,3.38,1.03
2010-01-28,0.00,1001.41,1001.75,1001.18,27.21,22.49,27.62,26.73,22.95,21.98,80.62,75.83,78.08,147.79,2.93,0.97
2010-01-29,0.00,1000.24,1000.55,999.94,27.80,22.51,28.23,27.35,23.02,22.11,78.12,73.21,75.46,170.79,3.12,1.15
2010-01-30,0.44,1001.02,1001.32,1000.65,27.13,23.43,27.65,26.84,23.81,23.10,82.96,77.54,80.79,136.04,4.53,1.53
2010-01-31,0.00,1002.19,1002.50,1001.90,26.97,23.60,27.34,26.53,24.01,23.18,85.67,80.58,83.08,166.75,3.05,0.85
2010-02-01,0.13,1002.13,1002.45,1001.78,26.85,24.24,27.27,26.51,24.63,23.86,88.62,83.50,85.92,188.08,2.43,0.70
2010-02-02,0.19,1001.39,1001.70,1001.15,26.82,24.18,27.22,26.48,24.62,23.84,88.71,83.83,86.12,129.38,3.47,0.94
2010-02-03,0.31,1001.15,1001.46,1000.84,27.48,24.06,27.85,27.10,24.53,23.80,85.12,80.67,82.58,139.25,4.27,1.28
2010-02-04,0.13,1000.99,1001.30,1000.71,28.29,23.68,28.74,27.79,24.12,23.35,80.71,75.58,78.08,156.12,4.04,1.15
2010-02-05,0.01,1000.80,1001.13,1000.49,27.87,24.06,28.30,27.44,24.32,23.73,83.29,78.50,80.92,179.62,3.88,1.31
2010-02-06,0.10,1000.85,1001.19,1000.49,27.15,23.96,27.45,26.88,24.30,23.63,85.38,81.29,83.29,181.58,3.16,1.01
2010-02-07,0.28,1001.98,1002.28,1001.65,26.09,23.75,26.40,25.80,24.15,23.36,89.21,85.17,87.33,225.12,2.32,0.46
2010-02-08,0.13,1002.04,1002.36,1001.73,27.12,24.08,27.60,26.71,24.61,23.58,87.38,81.42,84.46,182.25,2.81,0.80
2010-02-09,0.31,1000.40,1000.70,1000.14,26.34,24.30,26.71,26.07,24.57,24.02,90.42,86.67,88.71,192.50,2.63,0.83
2010-02-10,1.66,1001.02,1001.30,1000.73,25.20,23.23,25.45,24.99,23.55,22.94,90.46,87.62,89.17,168.75,2.67,0.69
2010-02-11,0.00,1000.48,1000.70,1000.21,26.53,22.61,26.92,26.15,23.04,22.05,83.29,77.96,80.50,151.50,2.50,0.65
2010-02-12,0.11,1001.00,1001.30,1000.71,26.68,23.43,27.20,26.22,23.84,22.97,86.58,80.58,83.71,203.83,2.09,0.52
2010-02-13,1.25,1001.77,1002.04,1001.46,26.45,23.18,26.78,26.12,23.58,22.79,85.38,80.54,83.00,142.46,3.58,1.00
2010-02-14,0.89,1001.47,1001.82,1001.19,27.72,23.50,28.12,27.32,23.88,23.18,81.75,77.50,79.50,118.92,3.61,1.30
2010-02-15,0.00,1001.10,1001.41,1000.77,28.11,22.82,28.62,27.63,23.30,22.34,78.42,72.71,75.62,186.58,2.83,1.02
2010-02-16,0.00,1001.09,1001.38,1000.79,27.77,22.60,28.25,27.26,23.05,22.26,78.46,73.29,75.67,183.04,3.26,1.06
2010-02-17,1.88,1001.96,1002.31,1001.59,26.48,23.97,26.90,26.20,24.35,23.65,88.54,84.17,86.75,128.75,3.23,0.83
2010-02-18,0.65,1001.93,1002.29,1001.64,26.71,23.93,27.12,26.20,24.34,23.40,88.25,83.08,85.83,179.21,3.02,0.68
2010-02-19,0.11,1001.87,1002.21,1001.55,28.43,23.98,29.04,27.89,24.57,23.61,82.50,76.83,79.50,191.75,2.73,0.85
2010-02-20,0.22,1001.79,1002.13,1001.45,28.32,24.51,28.88,27.76,24.98,23.91,84.29,78.25,81.50,184.62,2.66,0.72
2010-02-21,0.00,1002.40,1002.67,1002.05,27.67,23.86,27.97,27.42,24.32,23.48,82.79,78.12,80.42,136.50,3.53,1.13
2010-02-22,0.45,1002.42,1002.75,1002.11,25.52,24.08,25.79,25.34,24.33,23.90,92.75,90.67,91.83,226.00,1.95,0.40
2010-02-23,0.16,1001.51,1001.85,1001.21,26.08,23.91,26.43,25.70,24.28,23.53,90.58,86.21,88.38,171.88,2.55,0.45
2010-02-24,0.44,1001.81,1002.28,1001.35,26.61,23.95,27.15,26.20,24.45,23.55,89.00,83.33,86.25,142.29,3.35,0.65
2010-02-25,0.29,1001.96,1002.38,1001.57,25.70,23.59,26.01,25.28,23.82,23.18,90.33,86.08,88.42,220.83,2.36,0.49
2010-02-26,1.16,1002.36,1002.68,1001.89,25.44,23.83,25.89,25.19,24.14,23.62,92.46,89.04,91.00,231.92,2.44,0.60
2010-02-27,0.10,1003.00,1003.42,1002.64,25.31,23.25,25.51,25.02,23.51,22.85,90.38,86.79,88.79,214.29,1.94,0.34
2010-02-28,1.19,1003.53,1003.81,1003.23,26.49,24.06,26.99,26.07,24.47,23.64,89.50,84.75,87.21,157.25,2.23,0.56
2010-03-01,0.02,1003.43,1003.77,1003.12,27.25,23.60,27.71,26.73,23.98,23.20,84.96,79.08,81.92,144.08,2.46,0.87
2010-03-02,0.24,1002.31,1002.65,1002.03,27.82,23.88,28.28,27.33,24.44,23.29,84.12,77.88,81.00,137.33,2.59,0.74
2010-03-03,0.01,1002.19,1002.53,1001.83,27.83,24.01,28.51,27.23,24.48,23.50,84.00,77.83,81.17,189.54,2.90,0.90
2010-03-04,0.38,1002.28,1002.63,1001.90,27.46,24.33,28.00,26.91,24.88,23.83,87.50,81.21,84.42,206.88,3.00,0.68
2010-03-05,1.22,1002.73,1003.11,1002.34,25.73,23.78,26.18,25.38,24.32,23.41,91.50,86.96,89.12,272.46,2.55,0.56
2010-03-06,0.63,1002.18,1002.55,1001.83,26.48,23.38,27.00,26.00,23.78,22.82,86.92,81.00,84.29,209.38,2.88,0.71
2010-03-07,0.43,1001.93,1002.29,1001.56,26.58,23.94,27.10,26.14,24.42,23.55,88.88,83.83,86.25,160.25,2.54,0.66
2010-03-08,0.00,1001.39,1001.78,1001.02,27.83,24.22,28.26,27.38,24.56,23.87,84.38,79.46,82.00,178.25,2.42,0.82
2010-03-09,0.00,1001.79,1002.12,1001.38,27.91,24.62,28.45,27.50,25.10,24.26,86.21,80.88,83.58,194.58,2.30,0.69
2010-03-10,0.00,1001.25,1001.64,1000.93,28.57,23.48,29.03,28.10,23.84,23.03,78.83,74.21,76.62,162.50,3.09,1.03
2010-03-11,0.00,1001.21,1001.56,1000.83,28.59,23.64,29.16,28.08,24.14,23.22,79.67,74.08,76.96,194.88,2.75,0.83
2010-03-12,0.23,1001.93,1002.30,1001.55,27.21,24.43,27.68,26.83,24.78,23.93,87.71,82.42,85.50,209.00,2.68,0.76
2010-03-13,0.07,1001.45,1001.81,1001.17,28.27,23.76,28.70,27.68,24.20,23.22,81.88,76.42,79.04,194.96,3.16,0.92
2010-03-14,0.05,1001.28,1001.65,1000.90,29.01,23.80,29.57,28.40,24.33,23.23,79.08,72.96,75.88,153.42,3.78,1.31
2010-03-15,0.23,1001.52,1001.88,1001.06,28.23,24.04,28.76,27.83,24.48,23.55,81.75,76.12,79.29,197.83,3.38,0.92
2010-03-16,0.02,1002.95,1003.37,1002.54,27.61,23.44,28.07,27.19,24.02,22.98,82.50,76.71,79.38,178.50,3.53,0.97
2010-03-17,0.12,1002.65,1003.01,1002.30,27.32,24.05,27.93,26.79,24.68,23.58,87.00,79.29,83.33,219.04,3.48,0.83
2010-03-18,0.04,1002.77,1003.12,1002.49,27.47,22.80,27.89,26.96,23.23,22.36,80.79,75.71,78.04,180.54,3.35,1.18
2010-03-19,0.31,1003.33,1003.66,1002.90,27.93,23.80,28.40,27.49,24.28,23.25,82.79,76.62,79.79,168.08,4.14,1.20
2010-03-20,1.24,1004.38,1004.75,1004.00,26.85,24.19,27.26,26.48,24.70,23.80,88.50,83.83,86.12,224.25,2.52,0.58
2010-03-21,0.62,1003.77,1004.18,1003.49,26.74,23.32,27.17,26.25,23.83,22.97,86.04,80.54,82.79,138.58,3.80,1.09
2010-03-22,0.00,1002.09,1002.35,1001.82,27.87,22.77,28.38,27.41,23.23,22.33,79.04,74.12,76.54,120.42,3.33,1.32
2010-03-23,0.00,1002.40,1002.70,1002.11,27.23,21.99,27.77,26.72,22.47,21.43,78.46,73.00,75.96,192.58,2.77,1.02
2010-03-24,0.08,1002.52,1002.81,1002.19,26.29,22.94,26.82,25.81,23.36,22.53,85.54,79.67,82.79,152.08,2.91,0.76
2010-03-25,0.68,1002.21,1002.62,1001.82,26.63,23.72,27.16,26.10,24.14,23.16,87.58,81.50,84.83,201.50,2.77,0.77
2010-03-26,0.11,1002.26,1002.67,1001.80,27.16,23.56,27.55,26.78,23.99,23.16,84.62,79.88,82.08,178.00,3.25,1.05
2010-03-27,1.38,1003.74,1004.10,1003.36,24.91,22.97,25.34,24.67,23.36,22.65,90.92,86.92,89.25,186.42,3.24,0.87
2010-03-28,0.12,1003.22,1003.62,1002.91,26.26,22.85,26.72,25.79,23.24,22.35,85.50,79.88,82.88,163.38,2.52,0.56
2010-03-29,0.00,1001.99,1002.38,1001.65,27.62,22.97,28.05,27.07,23.55,22.51,80.92,75.12,77.71,145.62,3.15,0.94
2010-03-30,0.01,1002.01,1002.38,1001.61,26.84,23.79,27.26,26.45,24.22,23.47,86.38,81.96,84.04,187.67,2.99,0.74
2010-03-31,0.65,1001.89,1002.28,1001.50,26.76,23.55,27.22,26.31,24.05,23.03,86.17,80.71,83.50,154.54,3.05,0.80
2010-04-01,0.63,1002.57,1002.85,1002.25,25.43,23.78,25.74,25.28,24.07,23.47,91.75,88.62,90.58,267.00,2.71,0.66
2010-04-02,0.83,1003.50,1003.80,1003.19,24.17,22.85,24.38,24.00,23.12,22.61,93.25,91.54,92.50,190.08,1.62,0.31
2010-04-03,0.01,1002.00,1002.35,1001.74,26.19,22.58,26.60,25.68,23.03,22.09,84.92,79.88,82.38,213.62,2.41,0.68
2010-04-04,1.88,1001.90,1002.25,1001.49,27.14,23.53,27.79,26.62,24.22,23.01,85.71,79.92,82.83,184.67,3.40,0.88
2010-04-05,0.05,1001.69,1002.03,1001.36,26.86,23.20,27.20,26.34,23.55,22.68,84.46,80.04,82.12,185.33,2.64,0.78
