codigo_estacao,municipio,uf
10100000,TABATINGA,AM
10200000,ATALAIA DO NORTE,AM
10300000,ATALAIA DO NORTE,AM
10500000,ATALAIA DO NORTE,AM
10910000,ATALAIA DO NORTE,AM
12100000,JUTAÍ,AM
12150000,JUTAÍ,AM
12880000,TEFÉ,AM
12845000,JAPURÁ,AM
12700000,ITAMARATI,AM
12840000,CARAUARI,AM
12520000,IPIXUNA,AM
12540000,EIRUNEPÉ,AM
12550000,EIRUNEPÉ,AM
12680000,ENVIRA,AM
12180000,JUTAÍ,AM
12210000,JUTAÍ,AM
12240000,JUTAÍ,AM
14990000,MANAUS,AM
14911000,MANAUS,AM
14900100,MANAUS,AM
14900150,MANAUS,AM
14840000,BARCELOS,AM
14440000,BARCELOS,AM
14380000,SANTA IZABEL DO RIO NEGRO,AM
14420000,SANTA IZABEL DO RIO NEGRO,AM
14310000,SÃO GABRIEL DA CACHOEIRA,AM
14325000,SÃO GABRIEL DA CACHOEIRA,AM
14330000,SÃO GABRIEL DA CACHOEIRA,AM
14350000,SÃO GABRIEL DA CACHOEIRA,AM
14280001,SÃO GABRIEL DA CACHOEIRA,AM
14281000,SÃO GABRIEL DA CACHOEIRA,AM
14300000,SÃO GABRIEL DA CACHOEIRA,AM
14230000,SÃO GABRIEL DA CACHOEIRA,AM
14250000,SÃO GABRIEL DA CACHOEIRA,AM
14260000,SÃO GABRIEL DA CACHOEIRA,AM
14215000,SÃO GABRIEL DA CACHOEIRA,AM
14110000,SÃO GABRIEL DA CACHOEIRA,AM
14070000,MANACAPURU,AM
14100000,MANACAPURU,AM
16010000,RIO PRETO DA EVA,AM
16368000,NHAMUNDÁ,AM
16205000,URUCARÁ,AM
16090000,PRESIDENTE FIGUEIREDO,AM
16100000,PRESIDENTE FIGUEIREDO,AM
16070980,PRESIDENTE FIGUEIREDO,AM
16030000,ITACOATIARA,AM
16018000,PRESIDENTE FIGUEIREDO,AM
16019000,PRESIDENTE FIGUEIREDO,AM
16020100,PRESIDENTE FIGUEIREDO,AM
16020200,PRESIDENTE FIGUEIREDO,AM
11200000,TABATINGA,AM
11400000,SÃO PAULO DE OLIVENÇA,AM
11500000,SANTO ANTÔNIO DO IÇÁ,AM
13980000,BERURI,AM
13990000,BERURI,AM
13991000,BERURI,AM
13992000,BERURI,AM
13962000,BERURI,AM
13885000,LÁBREA,AM
13886000,TAPAUÁ,AM
13851000,LÁBREA,AM
13870000,LÁBREA,AM
13880000,CANUTAMA,AM
13710001,BOCA DO ACRE,AM
13740000,PAUINI,AM
13750000,PAUINI,AM
13410000,BOCA DO ACRE,AM
13650000,BOCA DO ACRE,AM
13150003,COARI,AM
13100000,COARI,AM
13150000,COARI,AM
15930000,APUÍ,AM
15901000,BORBA,AM
15910000,APUÍ,AM
15860000,NOVO ARIPUANÃ,AM
15900000,BORBA,AM
15795000,NOVO ARIPUANÃ,AM
15800000,APUÍ,AM
15828000,MANICORÉ,AM
15660000,HUMAITÁ,AM
15670000,MANICORÉ,AM
15680000,MANICORÉ,AM
15700000,MANICORÉ,AM
15629000,HUMAITÁ,AM
15630000,HUMAITÁ,AM
15650000,MANICORÉ,AM
15040000,CAREIRO DA VÁRZEA,AM
15042000,RIO PRETO DA EVA,AM
15030000,MANAUS,AM
17430000,BORBA,AM
30050000,OIAPOQUE,AP
30055000,OIAPOQUE,AP
30058000,OIAPOQUE,AP
30510000,FERREIRA GOMES,AP
30400070,FERREIRA GOMES,AP
30400080,FERREIRA GOMES,AP
30380000,PORTO GRANDE,AP
30380900,PORTO GRANDE,AP
30200050,PORTO GRANDE,AP
30300000,SERRA DO NAVIO,AP
30370000,PEDRA BRANCA DO AMAPARI,AP
30189000,PORTO GRANDE,AP
30075000,TARTARUGALZINHO,AP
30080000,PORTO GRANDE,AP
30070000,CALÇOENE,AP
19090000,LARANJAL DO JARÍ,AP
19095000,LARANJAL DO JARÍ,AP
19110000,LARANJAL DO JARÍ,AP
19151000,LARANJAL DO JARÍ,AP
19151500,LARANJAL DO JARÍ,AP
19150900,LARANJAL DO JARÍ,AP
12650000,FEIJÓ,AC
12590000,TARAUACÁ,AC
12600001,TARAUACÁ,AC
12640000,FEIJÓ,AC
12510000,TARAUACÁ,AC
12510500,TARAUACÁ,AC
12530000,TARAUACÁ,AC
12500000,CRUZEIRO DO SUL,AC
12370000,MARECHAL THAUMATURGO,AC
12390000,PORTO WALTER,AC
12400000,MÂNCIO LIMA,AC
12420000,MÂNCIO LIMA,AC
12360000,MARECHAL THAUMATURGO,AC
13610000,PORTO ACRE,AC
13600002,RIO BRANCO,AC
13568000,CAPIXABA,AC
13572000,RIO BRANCO,AC
13578000,RIO BRANCO,AC
13470000,BRASILÉIA,AC
13540000,XAPURI,AC
13550000,XAPURI,AC
13439000,ASSIS BRASIL,AC
13445000,ASSIS BRASIL,AC
13450000,ASSIS BRASIL,AC
13405000,SENA MADUREIRA,AC
13180000,MANOEL URBANO,AC
13300000,SENA MADUREIRA,AC
13310000,SENA MADUREIRA,AC
13169900,SANTA ROSA DO PURUS,AC
15324000,PLÁCIDO DE CASTRO,AC
32740000,CÂNDIDO MENDES,MA
32830000,MONÇÃO,MA
32850000,TURIAÇU,MA
34010000,ALTO PARNAÍBA,MA
34020000,ALTO PARNAÍBA,MA
34020980,ALTO PARNAÍBA,MA
34820000,COELHO NETO,MA
34001000,ALTO PARNAÍBA,MA
34170000,SÃO FÉLIX DE BALSAS,MA
34311000,BARÃO DE GRAJAÚ,MA
34140000,BALSAS,MA
34145000,SÃO RAIMUNDO DAS MANGABEIRAS,MA
34160000,SAMBAÍBA,MA
34160900,SÃO FÉLIX DE BALSAS,MA
34030000,ALTO PARNAÍBA,MA
34040500,TASSO FRAGOSO,MA
34129980,BALSAS,MA
34130000,BALSAS,MA
33365500,PAULO RAMOS,MA
23490000,ESTREITO,MA
23610000,PORTO FRANCO,MA
23650000,LAJEADO NOVO,MA
23790000,IMPERATRIZ,MA
23466000,CAROLINA,MA
23251000,CAROLINA,MA
23310000,CAROLINA,MA
33780000,NINA RODRIGUES,MA
33760000,SÃO BENEDITO DO RIO PRETO,MA
33770000,VARGEM GRANDE,MA
33750000,MATA ROMA,MA
33730000,VARGEM GRANDE,MA
33720000,AFONSO CUNHA,MA
33700000,BARREIRINHAS,MA
33680000,CANTANHEDE,MA
33661000,PIRAPEMAS,MA
33590000,CODÓ,MA
33620000,CODÓ,MA
33630000,COROATA,MA
33490000,BURITI BRAVO,MA
33520000,BURITI BRAVO,MA
33530000,GOVERNADOR EUGENIO BARROS,MA
33550000,CAXIAS,MA
33430000,FERNANDO FALCÃO,MA
33450000,MIRADOR,MA
33460000,MIRADOR,MA
33480000,COLINAS,MA
33410000,MIRADOR,MA
33420000,MIRADOR,MA
33380000,BELA VISTA DO MARANHÃO,MA
33321000,GRAJAU,MA
33330000,GRAJAU,MA
33333000,ITAIPAVA DO GRAJAU,MA
33290000,BACABAL,MA
33281000,PEDREIRAS,MA
33286000,SÃO LUÍS GONZAGA DO MARANHÃO,MA
33273000,JOSELÂNDIA,MA
33250000,BARRA DO CORDA,MA
33260000,BARRA DO CORDA,MA
33215000,BARRA DO CORDA,MA
33205000,GRAJAU,MA
33190000,PINDARÉ-MIRIM,MA
33170000,SANTA LUZIA,MA
33080000,ALTO ALEGRE DO PINDARÉ,MA
33025000,AÇAILÂNDIA,MA
33070000,BOM JESUS DAS SELVAS,MA
33075000,SANTA LUZIA,MA
18407500,PARANATINGA,MT
18408500,PARANATINGA,MT
18409000,PARANATINGA,MT
18435000,SÃO JOSÉ DO XINGU,MT
18428000,QUERÊNCIA,MT
18422400,NOVA UBIRATÃ,MT
18422500,NOVA UBIRATÃ,MT
18422600,NOVA UBIRATÃ,MT
18409650,CAMPINÁPOLIS,MT
18415000,CANARANA,MT
18420000,PARANATINGA,MT
18421000,FELIZ NATAL,MT
18421600,CLAÚDIA,MT
18422000,MARCELÂNDIA,MT
18409300,PRIMAVERA DO LESTE,MT
18409350,PARANATINGA,MT
18409400,CAMPINÁPOLIS,MT
24850000,ARAGUAIANA,MT
24500000,TESOURO,MT
24511500,TESOURO,MT
24200000,TORIXORÉU,MT
24179090,RIBEIRÃOZINHO,MT
24180050,PARANATINGA,MT
24180080,RIBEIRÃOZINHO,MT
24051000,ALTO ARAGUAIA,MT
24055000,ALTO ARAGUAIA,MT
24035000,ALTO ARAGUAIA,MT
17387000,JUARA,MT
17388000,JUARA,MT
17389000,JUARA,MT
17390100,APIACÁS,MT
17091210,CAMPOS DE JÚLIO,MT
17091310,CAMPOS DE JÚLIO,MT
17091400,SAPEZAL,MT
17091410,CAMPOS DE JÚLIO,MT
17091150,CAMPOS DE JÚLIO,MT
17091170,CAMPOS DE JÚLIO,MT
17091180,SAPEZAL,MT
17091200,SAPEZAL,MT
17091097,CAMPOS DE JÚLIO,MT
17091099,CAMPOS DE JÚLIO,MT
17091130,CAMPOS DE JÚLIO,MT
17091085,SAPEZAL,MT
17091090,SAPEZAL,MT
17091095,CAMPOS DE JÚLIO,MT
17091045,CAMPOS DE JÚLIO,MT
17091046,SAPEZAL,MT
17091048,SAPEZAL,MT
17090600,SAPEZAL,MT
17090700,CAMPOS DE JÚLIO,MT
17091000,SAPEZAL,MT
17091030,CAMPOS DE JÚLIO,MT
17091035,CAMPOS DE JÚLIO,MT
17385000,TABAPORÃ,MT
17090400,CAMPOS DE JÚLIO,MT
17090500,SAPEZAL,MT
17384000,PARANAITA,MT
17382125,PARANAITA,MT
17378000,ALTA FLORESTA,MT
17380000,ALTA FLORESTA,MT
17381100,ALTA FLORESTA,MT
17381600,ALTA FLORESTA,MT
17354950,GUARANTÃ DO NORTE,MT
17354970,NOVO MUNDO,MT
17355000,GUARANTÃ DO NORTE,MT
17354000,GUARANTÃ DO NORTE,MT
17354550,GUARANTÃ DO NORTE,MT
17354800,GUARANTÃ DO NORTE,MT
17340000,CARLINDA,MT
17340200,CARLINDA,MT
17343000,PEIXOTO DE AZEVEDO,MT
17350000,GUARANTÃ DO NORTE,MT
17291000,ITAUBA,MT
17305000,NOVA CANAÃ DO NORTE,MT
17307000,COLÍDER,MT
17280980,SINOP,MT
17277500,SINOP,MT
17278500,SORRISO,MT
17273100,SINOP,MT
17275100,SINOP,MT
17277000,SORRISO,MT
17277300,SINOP,MT
17250550,NOVA MUTUM,MT
17270000,LUCAS DO RIO VERDE,MT
17271000,SORRISO,MT
17271100,SORRISO,MT
17230000,LUCAS DO RIO VERDE,MT
17240900,NOVA MUTUM,MT
17223000,SÃO JOSÉ DO RIO CLARO,MT
17224000,DIAMANTINO,MT
17224100,DIAMANTINO,MT
17228000,NOVA MUTUM,MT
17229000,LUCAS DO RIO VERDE,MT
17200000,SORRISO,MT
17210000,SORRISO,MT
17211100,SAPEZAL,MT
17219600,LUCAS DO RIO VERDE,MT
17123110,JUARA,MT
17130000,APIACÁS,MT
17120050,PORTO DOS GAÚCHOS,MT
17122000,JUARA,MT
17123000,JUARA,MT
17120000,PORTO DOS GAÚCHOS,MT
17099130,DIAMANTINO,MT
17099200,DIAMANTINO,MT
17099300,DIAMANTINO,MT
17099400,DIAMANTINO,MT
17095000,BRASNORTE,MT
17094400,BRASNORTE,MT
17094550,BRASNORTE,MT
17094010,CAMPO NOVO DO PARECIS,MT
17094050,NOVA MARINGÁ,MT
17093500,CAMPO NOVO DO PARECIS,MT
17093700,CAMPO NOVO DO PARECIS,MT
17093400,CAMPO NOVO DO PARECIS,MT
17093000,JUÍNA,MT
17093010,JUÍNA,MT
17092800,CAMPO NOVO DO PARECIS,MT
17092850,BRASNORTE,MT
17091550,BRASNORTE,MT
17091580,BRASNORTE,MT
17091600,BRASNORTE,MT
17410100,APIACÁS,MT
17410200,APIACÁS,MT
17393000,NOVA MONTE VERDE,MT
17395000,NOVA MONTE VERDE,MT
17395800,APIACÁS,MT
17395900,APIACÁS,MT
15122000,COMODORO,MT
15123000,COMODORO,MT
15123100,COMODORO,MT
15124610,COMODORO,MT
15710000,JUÍNA,MT
15720000,JUÍNA,MT
15740000,JUÍNA,MT
15747900,ARIPUANÃ,MT
15750000,ARIPUANÃ,MT
15750500,ARIPUANÃ,MT
15750550,ARIPUANÃ,MT
15750600,ARIPUANÃ,MT
15753900,ARIPUANÃ,MT
15754000,ARIPUANÃ,MT
66450001,RONDONÓPOLIS,MT
66450010,RONDONÓPOLIS,MT
66452500,RONDONÓPOLIS,MT
66453000,RONDONÓPOLIS,MT
66454800,RONDONÓPOLIS,MT
66454900,RONDONÓPOLIS,MT
66455900,SANTO ANTÔNIO DO LEVERGER,MT
66456000,SANTO ANTÔNIO DO LEVERGER,MT
66456050,SANTO ANTÔNIO DO LEVERGER,MT
66460000,SANTO ANTÔNIO DO LEVERGER,MT
66470000,BARÃO DE MELGAÇO,MT
66483000,ITIQUIRA,MT
66489000,ITIQUIRA,MT
66493000,ITIQUIRA,MT
66520000,ITIQUIRA,MT
66521000,ITIQUIRA,MT
66522000,ITIQUIRA,MT
66522100,ITIQUIRA,MT
66525100,ITIQUIRA,MT
66600000,BARÃO DE MELGAÇO,MT
66650000,BARÃO DE MELGAÇO,MT
66666000,ITIQUIRA,MT
66710000,POCONÉ,MT
66830000,ALTO TAQUARI,MT
66210000,CHAPADA DOS GUIMARÃES,MT
66222100,JUSCIMEIRA,MT
66223100,NOVA BRASILÂNDIA,MT
66231000,CHAPADA DOS GUIMARÃES,MT
66250001,ROSÁRIO OESTE,MT
66255000,ACORIZAL,MT
66260001,CUIABÁ,MT
66260110,SANTO ANTÔNIO DO LEVERGER,MT
66280000,BARÃO DE MELGAÇO,MT
66300200,SANTO ANTÔNIO DO LEVERGER,MT
66340000,POCONÉ,MT
66360000,POCONÉ,MT
66370000,BARÃO DE MELGAÇO,MT
66380000,SÃO PEDRO DA CIPA,MT
66384000,JACIARA,MT
66385400,JACIARA,MT
66386000,JACIARA,MT
66388000,JACIARA,MT
66390090,JUSCIMEIRA,MT
66400000,JUSCIMEIRA,MT
66400040,JUSCIMEIRA,MT
66400050,JUSCIMEIRA,MT
66400060,JUSCIMEIRA,MT
66400325,JUSCIMEIRA,MT
66400357,JUSCIMEIRA,MT
66400360,JUSCIMEIRA,MT
66400390,JUSCIMEIRA,MT
66420000,POXORÉO,MT
66420160,POXORÉO,MT
66420250,POXORÉO,MT
66425050,TANGARÁ DA SERRA,MT
66430000,POXORÉO,MT
66431000,PEDRA PRETA,MT
66431500,PEDRA PRETA,MT
66432000,PEDRA PRETA,MT
66432500,PEDRA PRETA,MT
66005100,ALTO PARAGUAI,MT
66005400,NORTELÂNDIA,MT
66005600,NORTELÂNDIA,MT
66005900,NORTELÂNDIA,MT
66005960,NORTELÂNDIA,MT
66006000,NORTELÂNDIA,MT
66010000,BARRA DO BUGRES,MT
66021000,NOVA MARILÂNDIA,MT
66025500,NOVA MARILÂNDIA,MT
66028000,TANGARÁ DA SERRA,MT
66028500,TANGARÁ DA SERRA,MT
66029010,TANGARÁ DA SERRA,MT
66050000,NOVA OLIMPIA,MT
66050500,BARRA DO BUGRES,MT
