ano,municipio,cod_municipio,level_0,level_1,level_2,level_3,level_4,valor_cover,classe_desmatamento,valor_defreg
1986,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539499.681385623,Veg. Primaria,538747.551857375
1987,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539542.745820777,Veg. Primaria,538689.06177294
1987,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539542.745820777,Veg. Secundaria,532.743440551758
1987,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539542.745820777,Supressao Veg. Primaria,199.247932086181
1988,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539422.90448299,Veg. Primaria,538533.362469539
1988,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539422.90448299,Veg. Secundaria,724.890254949951
1988,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539422.90448299,Supressao Veg. Primaria,189.975963952637
1989,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539477.804418769,Veg. Primaria,538286.417856685
1989,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539477.804418769,Veg. Secundaria,802.881140631103
1989,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539477.804418769,Supressao Veg. Primaria,189.54923647461
1989,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539477.804418769,Supressao Veg. Secundaria,15.351098638916
1990,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539540.475583675,Veg. Primaria,538296.814140021
1990,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539540.475583675,Veg. Secundaria,1041.16259813233
1990,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539540.475583675,Supressao Veg. Primaria,73.4267537597656
1990,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539540.475583675,Supressao Veg. Secundaria,5.35347692871094
1991,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539702.64718298,Veg. Primaria,538229.4644867
1991,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539702.64718298,Veg. Secundaria,1141.01960820923
1991,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539702.64718298,Supressao Veg. Primaria,83.3282706604004
1991,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539702.64718298,Supressao Veg. Secundaria,5.08671622314453
1992,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539653.224158162,Veg. Primaria,538109.726390076
1992,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539653.224158162,Veg. Secundaria,1363.49515822754
1992,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539653.224158162,Supressao Veg. Primaria,125.272303857422
1992,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539653.224158162,Supressao Veg. Secundaria,11.4226231079101
1993,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539506.813211086,Veg. Primaria,537964.780194953
1993,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539506.813211086,Veg. Secundaria,1430.41829972534
1993,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539506.813211086,Supressao Veg. Primaria,103.173830352783
1993,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539506.813211086,Supressao Veg. Secundaria,13.1195152038574
1994,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539405.910233299,Veg. Primaria,537678.703658314
1994,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539405.910233299,Veg. Secundaria,1451.9103550354
1994,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539405.910233299,Supressao Veg. Primaria,206.020024804687
1994,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539405.910233299,Supressao Veg. Secundaria,53.3620003356934
1995,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539551.846704165,Veg. Primaria,537463.243874761
1995,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539551.846704165,Veg. Secundaria,1658.9666958313
1995,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539551.846704165,Supressao Veg. Primaria,116.919526544189
1995,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539551.846704165,Supressao Veg. Secundaria,30.9695600097656
1996,Alvaraes,1300029,Natural,1. Forest,Forest Formation,Forest Formation,Forest Formation,539607.268336903,Veg. Primaria,537564.478691363
