dia,mes,ano,municipio,uf_x,areakm,uf_y,vazao,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms,chuva_final
1,1,1991,rio branco,,20.343714764224202,AC,527.98,,,,,,,,,,,,,,,,,
2,1,1991,rio branco,,20.343714764224202,AC,603.59,,,,,,,,,,,,,,,,,
3,1,1991,rio branco,,20.343714764224202,AC,716.61,,,,,,,,,,,,,,,,,
4,1,1991,rio branco,,20.343714764224202,AC,874.6,,,,,,,,,,,,,,,,,
5,1,1991,rio branco,,20.343714764224202,AC,852.75,,,,,,,,,,,,,,,,,
6,1,1991,rio branco,,20.343714764224202,AC,818.23,,,,,,,,,,,,,,,,,
7,1,1991,rio branco,,20.343714764224202,AC,805.42,,,,,,,,,,,,,,,,,
8,1,1991,rio branco,,20.343714764224202,AC,770.26,,,,,,,,,,,,,,,,,
9,1,1991,rio branco,,20.343714764224202,AC,707.13,,,,,,,,,,,,,,,,,
10,1,1991,rio branco,,20.343714764224202,AC,679.0,,,,,,,,,,,,,,,,,
11,1,1991,rio branco,,20.343714764224202,AC,804.01,,,,,,,,,,,,,,,,,
12,1,1991,rio branco,,20.343714764224202,AC,938.4,,,,,,,,,,,,,,,,,
13,1,1991,rio branco,,20.343714764224202,AC,917.44,,,,,,,,,,,,,,,,,
14,1,1991,rio branco,,20.343714764224202,AC,895.18,,,,,,,,,,,,,,,,,
15,1,1991,rio branco,,20.343714764224202,AC,835.42,,,,,,,,,,,,,,,,,
16,1,1991,rio branco,,20.343714764224202,AC,961.05,,,,,,,,,,,,,,,,,
17,1,1991,rio branco,,20.343714764224202,AC,1197.06,,,,,,,,,,,,,,,,,
18,1,1991,rio branco,,20.343714764224202,AC,1392.95,,,,,,,,,,,,,,,,,
19,1,1991,rio branco,,20.343714764224202,AC,1564.93,,,,,,,,,,,,,,,,,
20,1,1991,rio branco,,20.343714764224202,AC,1646.7,,,,,,,,,,,,,,,,,
21,1,1991,rio branco,,20.343714764224202,AC,1695.59,,,,,,,,,,,,,,,,,
22,1,1991,rio branco,,20.343714764224202,AC,1735.13,,,,,,,,,,,,,,,,,
23,1,1991,rio branco,,20.343714764224202,AC,1762.53,,,,,,,,,,,,,,,,,
24,1,1991,rio branco,,20.343714764224202,AC,1787.6,,,,,,,,,,,,,,,,,
25,1,1991,rio branco,,20.343714764224202,AC,1812.8,,,,,,,,,,,,,,,,,
26,1,1991,rio branco,,20.343714764224202,AC,1807.75,,,,,,,,,,,,,,,,,
27,1,1991,rio branco,,20.343714764224202,AC,1725.21,,,,,,,,,,,,,,,,,
28,1,1991,rio branco,,20.343714764224202,AC,1572.08,,,,,,,,,,,,,,,,,
29,1,1991,rio branco,,20.343714764224202,AC,1404.31,,,,,,,,,,,,,,,,,
30,1,1991,rio branco,,20.343714764224202,AC,1259.61,,,,,,,,,,,,,,,,,
31,1,1991,rio branco,,20.343714764224202,AC,1175.69,,,,,,,,,,,,,,,,,
1,2,1991,rio branco,,20.343714764224202,AC,1122.1,,,,,,,,,,,,,,,,,
