ano,mes,estacao,chuva,codigo_estacao,municipio,uf
1991,1,51002,14.34909090909091,51002,mazagao,AP
1991,1,60000,,60000,rorainopolis,RR
1991,1,60001,3.164516129032258,60001,sao luiz,RR
1991,1,61000,5.638709677419355,61000,rorainopolis,RR
1991,1,61001,2.761290322580645,61001,caracarai,RR
1991,1,145006,13.003225806451614,145006,candido mendes,MA
1991,1,242002,9.761290322580646,242002,tutoia,MA
1991,1,244011,14.09032258064516,244011,guimaraes,MA
1991,1,244012,8.689830508474577,244012,sao bento,MA
1991,1,245001,9.735483870967743,245001,moncao,MA
1991,1,245003,17.016129032258064,245003,candido mendes,MA
1991,1,245008,5.800000000000001,245008,viana,MA
1991,1,245009,8.780645161290321,245009,pinheiro,MA
1991,1,245010,10.44516129032258,245010,pinheiro,MA
1991,1,245011,8.16451612903226,245011,santa helena,MA
1991,1,342009,4.9,342009,santa quiteria do maranhao,MA
1991,1,343001,9.758064516129032,343001,vargem grande,MA
1991,1,343003,9.983870967741936,343003,nina rodrigues,MA
1991,1,343004,9.619354838709677,343004,vargem grande,MA
1991,1,343009,3.987096774193548,343009,mata roma,MA
1991,1,343010,9.296774193548387,343010,chapadinha,MA
1991,1,343011,9.109677419354838,343011,urbano santos,MA
1991,1,344004,14.137096774193548,344004,cantanhede,MA
1991,1,344007,9.819354838709677,344007,pirapemas,MA
1991,1,344008,8.106451612903227,344008,pirapemas,MA
1991,1,344010,4.887096774193548,344010,presidente juscelino,MA
1991,1,344011,5.82258064516129,344011,sao mateus do maranhao,MA
1991,1,344012,6.570967741935483,344012,miranda do norte,MA
1991,1,344013,6.590322580645161,344013,conceicao do lago-acu,MA
1991,1,345000,11.483870967741936,345000,bela vista do maranhao,MA
1991,1,345006,14.291935483870969,345006,pindare-mirim,MA
1991,1,345012,9.961290322580645,345012,cajari,MA
1991,1,345013,8.583870967741934,345013,governador newton bello,MA
1991,1,442013,5.867741935483871,442013,duque bacelar,MA
1991,1,443006,5.419354838709677,443006,codo,MA
1991,1,443007,5.800000000000001,443007,codo,MA
1991,1,443011,6.516129032258065,443011,codo,MA
1991,1,443012,4.646774193548388,443012,aldeias altas,MA
1991,1,444001,4.2,444001,coroata,MA
1991,1,444005,5.690322580645161,444005,pedreiras,MA
1991,1,444008,7.929032258064517,444008,barra do corda,MA
1991,1,444013,7.424193548387097,444013,peritoro,MA
1991,1,445001,10.167741935483871,445001,santa luzia,MA
1991,1,445007,7.225806451612903,445007,lago da pedra,MA
1991,1,445008,11.21290322580645,445008,arame,MA
1991,1,445009,7.303225806451613,445009,lago da pedra,MA
1991,1,445010,12.238709677419354,445010,vitorino freire,MA
1991,1,446000,10.141935483870967,446000,bom jesus das selvas,MA
1991,1,446001,5.180645161290323,446001,bom jesus das selvas,MA
1991,1,446002,9.812903225806451,446002,acailandia,MA
1991,1,447002,20.048387096774192,447002,imperatriz,MA
1991,1,543002,3.254838709677419,543002,matoes,MA
1991,1,543004,4.235483870967742,543004,buriti bravo,MA
1991,1,543011,6.729032258064516,543011,lagoa do mato,MA
1991,1,544006,5.961290322580646,544006,barra do corda,MA
1991,1,544009,6.225806451612903,544009,graca aranha,MA
1991,1,545011,2.2096774193548385,545011,barra do corda,MA
1991,1,546006,7.941935483870967,546006,grajau,MA
1991,1,546007,4.683870967741935,546007,sitio novo,MA
1991,1,547005,8.823333333333332,547005,buritirana,MA
1991,1,643011,9.725806451612904,643011,barao de grajau,MA
1991,1,643012,4.216129032258064,643012,passagem franca,MA
1991,1,643013,6.590322580645162,643013,barao de grajau,MA
1991,1,644003,2.903225806451613,644003,colinas,MA
1991,1,644007,8.493548387096775,644007,mirador,MA
1991,1,644012,5.051612903225807,644012,mirador,MA
1991,1,644015,4.988709677419355,644015,mirador,MA
1991,1,645002,7.283870967741936,645002,fernando falcao,MA
1991,1,645003,2.9838709677419355,645003,loreto,MA
1991,1,645004,2.8483870967741933,645004,grajau,MA
1991,1,646005,8.325806451612904,646005,fortaleza dos nogueiras,MA
1991,1,646006,8.719354838709679,646006,grajau,MA
1991,1,744000,12.316129032258065,744000,sao felix de balsas,MA
1991,1,745004,8.458064516129031,745004,sambaiba,MA
1991,1,745005,8.687096774193549,745005,sao raimundo das mangabeiras,MA
1991,1,746006,12.180645161290323,746006,balsas,MA
1991,1,746007,11.399999999999999,746007,balsas,MA
1991,1,746008,3.4919354838709675,746008,riachao,MA
1991,1,746009,5.764516129032257,746009,balsas,MA
1991,1,747000,9.380645161290323,747000,carolina,MA
1991,1,771001,2.3870967741935485,771001,tarauaca,AC
1991,1,845003,17.906451612903226,845003,tasso fragoso,MA
1991,1,845004,15.290322580645162,845004,tasso fragoso,MA
1991,1,845005,11.958064516129031,845005,alto parnaiba,MA
1991,1,846005,7.783870967741936,846005,tasso fragoso,MA
1991,1,862000,,862000,machadinho d'oeste,RO
1991,1,872000,5.429032258064517,872000,marechal thaumaturgo,AC
1991,1,945011,7.293548387096774,945011,alto parnaiba,MA
1991,1,961003,,961003,machadinho d'oeste,RO
1991,1,963000,9.151612903225805,963000,ariquemes,RO
1991,1,963001,11.316129032258065,963001,porto velho,RO
1991,1,963004,14.129032258064516,963004,ariquemes,RO
1991,1,966000,8.193548387096774,966000,porto velho,RO
1991,1,972000,7.888709677419355,972000,marechal thaumaturgo,AC
1991,1,1061003,9.987096774193548,1061003,ouro preto do oeste,RO
1991,1,1062001,7.416129032258064,1062001,jaru,RO
1991,1,1062002,10.896774193548387,1062002,jaru,RO
1991,1,1062003,6.238709677419355,1062003,mirante da serra,RO
1991,1,1062004,,1062004,theobroma,RO
1991,1,1065002,14.658064516129032,1065002,guajara-mirim,RO
1991,1,1068000,13.664516129032258,1068000,xapuri,AC
1991,1,1160002,13.116129032258065,1160002,pimenta bueno,RO
1991,1,1161000,49.877419354838715,1161000,cacoal,RO
1991,1,1264000,7.55483870967742,1264000,costa marques,RO
1991,1,1360000,10.412903225806453,1360000,colorado do oeste,RO
1991,1,1360001,11.212903225806452,1360001,cerejeiras,RO
1991,1,1360002,22.387096774193548,1360002,pimenteiras do oeste,RO
1991,1,8050000,12.735483870967743,8050000,macapa,AP
1991,1,8051010,9.626666666666667,8051010,macapa,AP
1991,1,8052000,8.948387096774193,8052000,serra do navio,AP
1991,1,8059001,2.5796610169491525,8059001,caroebe,RR
1991,1,8060000,,8060000,rorainopolis,RR
1991,1,8150000,15.245161290322581,8150000,tartarugalzinho,AP
1991,1,8160001,0.6645161290322581,8160001,rorainopolis,RR
1991,1,8161001,,8161001,caracarai,RR
1991,1,8251001,34.377419354838715,8251001,calcoene,AP
1991,1,8260003,0.264516129032258,8260003,bonfim,RR
1991,1,8261000,1.1419354838709677,8261000,mucajai,RR
1991,1,8261001,,8261001,mucajai,RR
1991,1,8359000,0.0,8359000,bonfim,RR
1991,1,8360000,0.8677419354838709,8360000,pacaraima,RR
1991,1,8360002,0.0,8360002,boa vista,RR
1991,1,8361000,1.3741935483870968,8361000,amajari,RR
1991,1,8361001,0.12580645161290321,8361001,alto alegre,RR
1991,1,8361004,0.9129032258064517,8361004,alto alegre,RR
1991,1,8361005,0.5806451612903226,8361005,amajari,RR
1991,1,8459000,1.2193548387096773,8459000,uiramuta,RR
1991,1,8460001,0.0,8460001,pacaraima,RR
1991,2,51002,33.14782608695652,51002,mazagao,AP
1991,2,60000,,60000,rorainopolis,RR
1991,2,60001,2.8392857142857144,60001,sao luiz,RR
1991,2,61000,4.860714285714286,61000,rorainopolis,RR
1991,2,61001,8.97857142857143,61001,caracarai,RR
1991,2,145006,18.682142857142857,145006,candido mendes,MA
1991,2,242002,6.908928571428571,242002,tutoia,MA
1991,2,244011,18.02857142857143,244011,guimaraes,MA
1991,2,244012,7.5,244012,sao bento,MA
1991,2,245001,4.832142857142857,245001,moncao,MA
1991,2,245003,8.621428571428572,245003,candido mendes,MA
1991,2,245008,7.014285714285714,245008,viana,MA
1991,2,245009,3.225,245009,pinheiro,MA
1991,2,245010,6.067857142857143,245010,pinheiro,MA
1991,2,245011,7.564285714285715,245011,santa helena,MA
1991,2,342009,4.4678571428571425,342009,santa quiteria do maranhao,MA
1991,2,343001,10.642857142857142,343001,vargem grande,MA
1991,2,343003,8.4,343003,nina rodrigues,MA
1991,2,343004,7.903571428571428,343004,vargem grande,MA
1991,2,343009,7.082142857142857,343009,mata roma,MA
1991,2,343010,4.928571428571429,343010,chapadinha,MA
1991,2,343011,10.321428571428571,343011,urbano santos,MA
1991,2,344004,14.094642857142857,344004,cantanhede,MA
1991,2,344007,8.096428571428572,344007,pirapemas,MA
1991,2,344008,7.314285714285715,344008,pirapemas,MA
1991,2,344010,5.583928571428571,344010,presidente juscelino,MA
1991,2,344011,3.1035714285714286,344011,sao mateus do maranhao,MA
1991,2,344012,7.101785714285714,344012,miranda do norte,MA
1991,2,344013,3.3607142857142853,344013,conceicao do lago-acu,MA
1991,2,345000,,345000,bela vista do maranhao,MA
1991,2,345006,16.133928571428573,345006,pindare-mirim,MA
1991,2,345012,5.685714285714285,345012,cajari,MA
1991,2,345013,4.532142857142857,345013,governador newton bello,MA
1991,2,442013,7.192857142857143,442013,duque bacelar,MA
1991,2,443006,7.9678571428571425,443006,codo,MA
1991,2,443007,9.232142857142858,443007,codo,MA
1991,2,443011,6.871428571428572,443011,codo,MA
