,ano,mes,dia,chuva_final,vazao,areakm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
count,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0,12022.0
mean,2007.0138911994677,6.46098818832141,15.728747296622858,0.2680136483050709,126911.02074585087,0.12468936184996224,1004.1393057731349,1004.5727509546248,1003.8406996827714,1210.7651909566061,28.592235980300995,23.000328158016938,29.21816471443053,27.871972036494586,23.62246882417421,22.41028684420439,77.22228846002444,69.942503918698,73.31582956064993,135.38330350624489,4.426441365879359,1.565804847546778
std,9.59031292515022,3.4490504554441572,8.800095499658994,0.7020457835062598,40198.34076935141,0.33535380841663864,1.7717160432469015,1.8133829898946485,1.69710711472779,420.9550024711309,1.7428630671945273,1.1103387310812889,1.759117202965031,1.6452690014517588,1.0612181475503615,1.1416961667240269,9.008614274064024,9.139539573023983,9.320164681469691,41.140585546869985,0.7910053411100965,0.42020989217817134
min,1991.0,1.0,1.0,0.0,45847.793,0.0281043269230147,990.825,991.3833333333332,989.6083333333332,0.0,21.091666666666665,14.383333333333333,21.45833333333333,20.825,15.858333333333334,12.983333333333334,40.25,33.333333333333336,36.25,23.4,1.05,0.15
25%,1999.0,3.0,8.0,0.0,92636.35,0.0421027208227014,1003.4701048951049,1003.8833333333332,1003.1666666666666,908.7930288461538,27.754166666666663,22.47272727272728,28.431111111111115,27.05784722222222,23.02863677536232,21.905194805194803,72.22569444444444,64.76041666666666,67.79513888888889,105.0,4.0,1.3105555555555557
50%,2007.0,6.0,16.0,0.156492013733393,124381.23199999999,0.0694773737929089,1004.287638888889,1004.7070138888888,1004.0234027777778,1291.2965277777778,27.90833333333333,23.425,28.53846153846154,27.2,24.028869047619047,22.875,80.38461538461539,73.08333333333333,76.5,148.66666666666666,4.40875,1.4083333333333332
75%,2015.0,9.0,23.0,0.2119444444444444,157972.94,0.0886871546220812,1004.7089920948616,1005.1306856187291,1004.4153846153846,1478.25,29.68513301513301,23.679930555555558,30.308969610636275,28.95594985261652,24.258333333333333,23.04034722222222,83.2201388888889,74.94375,79.17013888888889,149.58194444444445,4.723076923076923,1.7999999999999998
max,2024.0,12.0,31.0,40.8,221909.25,2.014483696533337,1026.8714285714286,1030.0571428571427,1025.5142857142855,3665.0,35.542857142857144,26.116666666666664,36.3,35.128571428571426,27.2,25.8,100.0,99.0,99.6,355.0,16.849999999999998,3.7
mediana,2007.0,6.0,16.0,0.156492013733393,124381.23199999999,0.0694773737929089,1004.287638888889,1004.7070138888888,1004.0234027777778,1291.2965277777778,27.90833333333333,23.425,28.53846153846154,27.2,24.028869047619047,22.875,80.38461538461539,73.08333333333333,76.5,148.66666666666666,4.40875,1.4083333333333332
variancia,91.97410200230338,11.895949044199547,77.44168080311847,0.49286828213891826,1615906600.6088998,0.11246217681954357,3.1389777378984567,3.2883578680392547,2.8801725588596847,177203.11410546984,3.0375716709907152,1.2328520977392066,3.0944933337675145,2.7069100871380676,1.126183956690221,1.3034701371123372,81.1551311388701,83.53118360687142,86.86546968971503,1692.5477791393275,0.6256894496647,0.17657635348439038
desvio_padrao,9.59031292515022,3.4490504554441572,8.800095499658994,0.7020457835062598,40198.34076935141,0.33535380841663864,1.7717160432469015,1.8133829898946485,1.69710711472779,420.9550024711309,1.7428630671945273,1.1103387310812889,1.759117202965031,1.6452690014517588,1.0612181475503615,1.1416961667240269,9.008614274064024,9.139539573023983,9.320164681469691,41.140585546869985,0.7910053411100965,0.42020989217817134
