,ano,mes,dia,chuva_final,vazao,areakm,pressao_nivel_estacao_mb,pressao_max_ant_mb,pressao_min_ant_mb,radiacao_global_kj_m2,temperatura_bulbo_seco_c,temperatura_orvalho_c,temperatura_max_ant_c,temperatura_min_ant_c,orvalho_max_ant_c,orvalho_min_ant_c,umidade_max_ant_pct,umidade_min_ant_pct,umidade_ar_pct,vento_direcao_graus,vento_rajada_max_ms,vento_velocidade_ms
count,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0,12419.0
mean,2007.5003623480152,6.522747403172558,15.730171511393833,0.23672686722013997,318.2842525587744,0.12242724175137379,987.4722486919098,987.9119969820795,987.2287125193014,1353.2609708049863,27.91413214851777,20.40377455609868,28.705134154620044,26.930529587328373,21.12576023127726,19.74370124282981,71.00989532403354,63.544461782053524,66.69755233822212,185.06066875020923,4.617162811163391,1.9344344111982212
std,9.811497410065426,3.4488920199292354,8.800672040980773,0.41812903618418146,380.0478643767036,0.33020506530897975,3.200515015419003,3.158756901214324,3.182770626997529,394.1847004888854,1.789750296980434,2.2941707887335943,1.9279864766139252,1.5548119623763261,2.2252041051815357,2.3615604891550275,11.297446600414567,12.707479819725087,12.35230515676988,57.30256233545528,1.1720428049258929,0.7785931045955743
min,1991.0,1.0,1.0,0.0,0.2589,0.0281043269230147,978.8384615384616,979.3153846153848,978.4846153846154,0.1,12.441666666666668,-8.84,12.708333333333334,12.195833333333333,-8.559999999999999,-9.28,10.75,10.0,10.5,6.0,0.0,0.0
25%,1999.0,4.0,8.0,0.1259090909090909,53.92,0.0421027208227014,986.623076923077,987.0480769230769,986.3192307692309,1031.7779487179487,26.428360215053765,19.08560606060606,27.08588709677419,25.802150537634407,19.90226325757576,18.363910984848484,62.34820075757575,53.53390151515151,57.03153409090909,183.68990384615384,4.107117812061711,1.515384615384615
50%,2008.0,7.0,16.0,0.1259090909090909,143.14,0.0714663974482176,986.8684943181818,987.3366003787878,986.6901893939394,1612.733229166667,29.073958333333334,19.08560606060606,30.002632575757577,27.86601325757576,19.90226325757576,18.363910984848484,62.34820075757575,53.53390151515151,57.03153409090909,195.1379734848485,5.162225378787879,2.386534090909091
75%,2016.0,10.0,23.0,0.226367461430575,464.59,0.0886871546220812,986.8684943181818,987.3366003787878,986.6901893939394,1612.733229166667,29.073958333333334,22.246153846153845,30.002632575757577,27.86601325757576,22.840064102564103,21.661538461538463,81.2513440860215,74.6021505376344,78.00403225806451,195.1379734848485,5.162225378787879,2.386534090909091
max,2024.0,12.0,31.0,8.85,2896.83,2.014483696533337,1002.5625,1002.8458333333332,1002.225,3685.233333333333,34.63076923076923,26.49230769230769,35.7,33.45384615384615,27.43076923076924,25.569230769230767,97.3076923076923,94.76923076923076,95.05882352941175,360.0,11.51,6.069999999999999
mediana,2008.0,7.0,16.0,0.1259090909090909,143.14,0.0714663974482176,986.8684943181818,987.3366003787878,986.6901893939394,1612.733229166667,29.073958333333334,19.08560606060606,30.002632575757577,27.86601325757576,19.90226325757576,18.363910984848484,62.34820075757575,53.53390151515151,57.03153409090909,195.1379734848485,5.162225378787879,2.386534090909091
variancia,96.26548142772056,11.894856165131563,77.45182837290068,0.1748318909003125,144436.3792172933,0.10903538515570757,10.243296363922502,9.97774516096912,10.130028864078245,155381.5780995123,3.2032061255415516,5.263219607878521,3.7171318540061775,2.4174402383485223,4.951533309716759,5.576967943938132,127.63229968921864,161.48004336872035,152.57944268596378,3283.5836502087377,1.3736843365785545,0.6062072225237749
desvio_padrao,9.811497410065426,3.4488920199292354,8.800672040980773,0.41812903618418146,380.0478643767036,0.33020506530897975,3.200515015419003,3.158756901214324,3.182770626997529,394.1847004888854,1.789750296980434,2.2941707887335943,1.9279864766139252,1.5548119623763261,2.2252041051815357,2.3615604891550275,11.297446600414567,12.707479819725087,12.35230515676988,57.30256233545528,1.1720428049258929,0.7785931045955743
